nace_r2,emp_cont,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
I,LTD,THS,LV	1.3 u	: u	1.4 u	: u	: u	: u	: u	: u	: u	1.4 bu
I,LTD,THS,ME	9.4 	9.1 	6.9 	6.7 	6.5 	4.1 	3.2 	: 	: 	: 
I,LTD,THS,MK	6.5 	6.4 	5.7 	6.8 	5.4 	5.1 	6.2 	: 	: 	: 
I,LTD,THS,MT	0.5 u	0.8 u	0.9 	1.8 	2.0 	1.5 	1.3 	1.1 	1.4 	1.0 b
I,LTD,THS,NL	136.4 	134.3 	132.7 	129.3 	121.0 b	123.1 	118.9 	120.8 b	121.8 	117.4 b
I,LTD,THS,NO	10.2 	9.8 	8.7 	8.5 	8.7 	8.9 	7.1 	8.0 	7.7 	8.4 b
I,LTD,THS,PL	154.0 	159.6 	143.7 	140.0 	121.7 	127.1 	126.3 	122.1 b	114.3 	115.7 b
I,LTD,THS,PT	88.4 	75.9 	66.9 	66.8 	69.0 	56.4 	67.0 b	68.6 	64.2 	72.1 b
I,LTD,THS,RO	: u	: u	: u	: u	6.8 u	7.0 u	6.5 u	: bu	6.6 u	6.9 bu
I,LTD,THS,SE	60.6 	57.0 	55.6 	55.9 	54.8 	51.5 	49.3 	52.4 	49.2 	51.4 b
I,LTD,THS,SI	15.0 	14.8 	15.5 	11.1 	11.1 	11.3 	12.1 	12.8 	11.3 	13.1 b
I,LTD,THS,SK	13.3 	16.8 	19.7 	17.3 	10.6 	9.1 	7.0 b	7.0 	9.2 b	9.6 b
I,LTD,THS,TR	182.8 	155.9 	160.2 	152.7 b	132.4 	107.1 	107.4 	96.1 	79.0 	: 
I,LTD,THS,UK	149.6 	165.6 	150.6 	138.8 	136.7 	119.0 	111.8 	118.9 	96.8 	101.0 b
I,NLTD,THS,AT	187.0 	184.5 	171.7 	161.6 	164.8 	173.6 	167.4 	167.0 	171.0 	156.7 b
I,NLTD,THS,BE	83.0 b	82.0 	81.6 	87.0 	82.9 	81.2 	83.5 	79.0 	79.1 	86.0 b
I,NLTD,THS,BG	136.4 	125.7 	123.8 	118.1 	112.3 	120.0 	129.2 b	128.9 b	134.2 	130.3 b
I,NLTD,THS,CH	135.7 	128.2 	136.9 	132.2 	133.4 	125.7 	132.9 	130.7 b	105.6 	106.7 b
I,NLTD,THS,CY	22.5 	19.2 	17.2 	16.4 	18.0 	18.8 	18.7 	19.7 	18.0 b	17.3 b
I,NLTD,THS,CZ	114.6 	118.7 	132.0 	134.8 	121.8 	121.2 	131.6 b	132.3 	130.4 	126.2 b
I,NLTD,THS,DE	1142.1 	1121.7 	1091.0 	1074.9 	1065.9 	1036.7 	983.2 	946.0 b	977.7 	934.8 b
I,NLTD,THS,DK	89.9 b	91.2 b	96.7 	86.7 	80.9 	78.6 	74.3 	71.7 	68.5 	69.0 b
I,NLTD,THS,EA17	4385.2 	4295.8 	4080.6 	3891.8 	3866.6 	3909.5 	3861.2 	3823.1 	3855.2 	3763.9 b
I,NLTD,THS,EA18	4411.2 	4322.4 	4107.5 	3918.4 	3888.7 	3933.6 	3884.7 	3846.2 	3876.1 	3789.7 b
I,NLTD,THS,EA19	4440.9 	4354.3 	4138.1 	3949.4 	3918.1 	3963.0 	3913.6 	3874.9 	3905.4 	3820.9 b
I,NLTD,THS,EE	22.0 	22.8 	23.3 	21.6 	20.1 	15.4 	15.6 	16.5 	16.3 	21.4 b
I,NLTD,THS,EL	164.4 	159.0 	146.0 	136.3 	109.0 	113.2 	118.6 	124.8 	136.8 b	134.0 b
I,NLTD,THS,ES	803.0 	779.3 	710.3 	647.5 	635.2 	663.3 	690.3 	696.4 	714.8 b	686.1 b
I,NLTD,THS,EU15	5825.7 	5698.4 	5436.0 	5209.4 	5093.9 	5125.8 	5051.7 	4973.5 	4978.3 	4776.7 b
I,NLTD,THS,EU27	6817.1 	6664.9 	6367.5 	6124.5 	5981.5 	6016.2 	5947.1 	5857.9 	5872.4 	5663.3 b
I,NLTD,THS,EU28	6872.3 	6716.9 	6418.3 	6175.9 	6036.6 	6069.3 	5998.2 	5919.4 	5932.4 	5725.4 b
I,NLTD,THS,FI	62.1 	58.5 	62.5 	60.3 	62.9 	61.6 	61.5 	59.3 	61.7 	65.7 b
I,NLTD,THS,FR	647.1 	661.1 	631.0 	597.4 b	609.9 	627.4 	635.9 	617.8 	582.7 	545.3 b
I,NLTD,THS,HR	55.2 	52.0 	50.8 	51.3 b	55.1 	53.1 	51.2 	61.5 	60.0 	62.1 b
I,NLTD,THS,HU	160.5 	161.6 	150.9 	135.5 	123.8 	126.4 	120.2 	109.6 	116.2 	126.3 b
I,NLTD,THS,IE	125.4 b	117.9 	110.8 	105.0 	100.3 	88.3 	83.3 	91.7 	97.3 	99.2 b
I,NLTD,THS,IS	9.0 	8.9 	8.2 	7.4 	6.8 	5.8 	6.4 	6.0 	6.0 	4.8 b
I,NLTD,THS,IT	680.7 	674.3 	629.8 	580.3 	583.3 	596.0 	570.6 	573.0 	570.2 	573.5 b
I,NLTD,THS,LT	29.6 	31.9 	30.6 	31.0 	29.4 	29.3 	28.9 	28.7 	29.3 	31.2 b
I,NLTD,THS,LU	5.6 	7.0 	6.8 b	6.5 	5.7 	6.6 	6.2 	4.0 	5.0 b	4.9 b
