nace_r2,wstatus,worktime,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,NRP,FT,THS,EA19	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,FT,THS,ES	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,FT,THS,EU15	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,FT,THS,EU27	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,FT,THS,EU28	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,PT,THS,EA17	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,PT,THS,EA18	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,PT,THS,EA19	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,PT,THS,ES	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,PT,THS,EU15	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,PT,THS,EU27	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,PT,THS,EU28	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,TOTAL,THS,EA17	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,TOTAL,THS,EA18	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,TOTAL,THS,EA19	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,TOTAL,THS,ES	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,TOTAL,THS,EU15	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,TOTAL,THS,EU27	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,TOTAL,THS,EU28	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,SAL,FT,THS,AT	5.4 u	5.3 u	5.8 u	6.3 	6.9 	6.7 	7.0 	5.8 u	7.1 	6.5 b
H51,SAL,FT,THS,BE	8.7 b	9.5 	8.3 	7.9 	7.2 	9.4 	8.2 b	9.5 	7.0 	8.6 b
H51,SAL,FT,THS,BG	: u	: u	: u	: u	3.3 u	: u	: bu	: bu	: u	: bu
H51,SAL,FT,THS,CH	8.0 	9.4 	6.5 	6.6 	6.0 	6.0 	6.7 	6.6 b	5.0 u	3.8 bu
H51,SAL,FT,THS,CY	: u	: u	: u	1.3 u	1.6 	1.1 u	1.8 	1.4 u	1.5 b	2.0 b
H51,SAL,FT,THS,CZ	7.7 	6.0 	3.4 	6.9 	8.2 	6.3 	11.4 b	10.8 	8.9 	9.0 b
H51,SAL,FT,THS,DE	57.7 	57.0 	58.7 	57.8 	60.2 	69.6 	62.5 b	67.8 b	64.9 	63.3 b
H51,SAL,FT,THS,DK	4.0 bu	4.0 b	5.1 	5.4 	5.3 	6.7 	6.3 	4.9 	3.4 u	5.4 b
H51,SAL,FT,THS,EA17	235.0 	238.3 	252.3 	257.5 	252.5 	271.7 	273.4 	275.9 	278.1 	295.2 b
H51,SAL,FT,THS,EA18	237.3 	240.7 	253.8 	259.0 	253.7 	274.3 	276.0 	278.4 	280.3 	296.4 b
H51,SAL,FT,THS,EA19	238.0 	241.1 	254.3 	259.8 	254.0 	274.6 	276.4 	278.7 	280.7 	296.9 b
H51,SAL,FT,THS,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,SAL,FT,THS,EL	7.6 	7.8 	8.8 	7.9 	7.0 	8.3 	8.6 	7.0 	6.0 b	6.2 b
H51,SAL,FT,THS,ES	36.5 	32.8 	34.7 	39.1 	36.9 	33.4 	40.4 	46.1 	41.7 b	47.2 b
H51,SAL,FT,THS,EU15	297.5 	298.2 	309.2 	315.5 	302.0 	329.6 	335.8 	332.2 	339.7 	342.6 b
H51,SAL,FT,THS,EU27	338.8 	336.5 	344.8 	356.3 	340.6 	369.0 	381.8 	374.9 	380.8 	382.0 b
H51,SAL,FT,THS,EU28	339.7 	336.6 	344.8 	357.4 	341.4 	369.1 	382.3 	375.6 	381.3 	382.6 b
H51,SAL,FT,THS,FI	5.5 	4.5 	4.5 	4.8 	5.2 	4.2 	4.6 	5.6 	6.9 	8.4 b
H51,SAL,FT,THS,FR	54.2 	62.0 	70.1 	65.0 b	64.7 	74.5 	69.6 	61.1 	61.8 	71.2 b
H51,SAL,FT,THS,HR	: u	: c	: 	1.1 bu	: u	: c	: c	: c	: c	: bu
H51,SAL,FT,THS,HU	4.6 u	5.6 	5.4 	5.7 	3.7 u	2.9 u	7.2 	6.5 	5.0 	4.1 bu
H51,SAL,FT,THS,IE	6.2 b	6.6 	9.1 	9.6 	7.8 	7.1 	6.9 	8.3 	7.7 	6.5 b
H51,SAL,FT,THS,IS	2.8 	2.6 	1.9 	1.9 	1.8 	1.4 	1.5 	1.6 	1.6 	1.6 b
H51,SAL,FT,THS,IT	21.6 	17.2 	19.7 	27.7 	24.9 	26.2 	28.5 	27.6 	28.8 	32.9 b
H51,SAL,FT,THS,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,SAL,FT,THS,LU	2.0 	2.1 	1.9 b	2.3 	1.8 	2.0 	2.3 	2.4 	2.2 b	2.9 b
H51,SAL,FT,THS,LV	2.4 	2.4 	1.5 u	1.5 u	: u	2.6 u	2.6 u	2.5 u	2.1 u	1.2 bu
H51,SAL,FT,THS,ME	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
H51,SAL,FT,THS,MK	: c	: c	: c	: c	: c	: c	0.6 u	: 	: 	: 
H51,SAL,FT,THS,MT	1.1 	1.3 	1.4 	1.4 	0.9 	1.1 	1.6 	1.6 	1.1 	1.2 b
H51,SAL,FT,THS,NL	16.6 	15.2 	15.3 	15.2 	16.6 b	19.2 	22.1 b	21.1 b	22.7 	23.0 b
H51,SAL,FT,THS,NO	4.8 	5.5 	5.7 	6.5 	7.1 	7.0 	5.4 	5.3 	6.2 	6.0 b
H51,SAL,FT,THS,PL	13.2 u	8.9 u	9.2 u	11.2 u	7.0 u	9.7 u	7.6 u	6.1 bu	: u	5.8 bu
H51,SAL,FT,THS,PT	9.8 	12.3 	10.0 	8.4 	7.3 	6.6 	6.5 b	6.8 	13.2 	9.8 b
H51,SAL,FT,THS,RO	6.5 u	7.0 u	7.9 u	: u	8.9 u	10.2 u	8.5 u	7.2 bu	8.7 u	7.5 bu
H51,SAL,FT,THS,SE	5.7 	5.9 	4.3 	4.2 	4.8 	5.0 	4.6 	5.4 	6.0 	6.0 b
H51,SAL,FT,THS,SI	: u	0.7 u	0.8 u	0.5 u	1.5 u	1.1 u	1.3 u	1.6 u	1.8 u	1.6 bu
H51,SAL,FT,THS,SK	: u	2.5 u	2.4 u	2.3 u	: u	: u	: bu	: u	2.3 bu	2.8 bu
H51,SAL,FT,THS,TR	35.2 	35.5 	29.4 	21.3 b	40.3 	23.0 	21.5 	21.0 	25.1 	: 
H51,SAL,FT,THS,UK	56.3 	55.8 	53.0 	54.0 	45.5 	50.5 	57.8 	52.4 	60.2 	44.8 b
H51,SAL,NRP,THS,CH	: 	: 	: 	: 	: 	: 	: 	: bc	: 	: 
H51,SAL,NRP,THS,EA17	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 
H51,SAL,NRP,THS,EA18	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 
H51,SAL,NRP,THS,EA19	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 
