worktime,wstatus,sex,nace_r2,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
FT,EMP,F,I55,THS,FI	5.4 	5.7 	6.8 	6.2 	6.2 	6.5 	7.3 	7.3 	7.3 	8.1 b
FT,EMP,F,I55,THS,FR	108.4 	102.9 	88.7 	90.0 b	90.8 	105.0 	106.4 	103.5 	92.8 	86.6 b
FT,EMP,F,I55,THS,HR	22.8 	21.8 	20.7 	21.5 	16.1 	17.0 	16.1 	15.0 	16.5 	17.2 b
FT,EMP,F,I55,THS,HU	24.2 	23.5 	22.4 	22.8 	23.8 	24.1 	22.1 	16.1 	17.1 	19.1 b
FT,EMP,F,I55,THS,IE	17.4 b	18.1 	16.8 	14.7 	13.3 	12.3 	11.6 	12.7 	13.6 	16.8 b
FT,EMP,F,I55,THS,IS	1.5 	1.6 	1.6 	1.4 	1.5 	1.3 	1.6 	0.6 	0.8 	0.8 b
FT,EMP,F,I55,THS,IT	94.2 	99.1 	86.5 	72.9 	79.4 	83.0 	81.5 	74.8 	84.7 	93.2 b
FT,EMP,F,I55,THS,LT	: u	4.8 u	: u	5.3 u	4.9 u	: u	: u	: u	: u	: bu
FT,EMP,F,I55,THS,LU	0.6 u	0.8 u	0.6 bu	0.7 u	0.8 u	0.7 u	0.6 u	0.6 u	0.6 bu	0.9 bu
FT,EMP,F,I55,THS,LV	2.4 	3.0 	4.4 	4.0 	2.9 	2.0 u	2.6 u	2.9 u	3.3 	3.9 b
FT,EMP,F,I55,THS,ME	3.7 	4.0 	4.2 	4.5 	3.6 	1.9 u	2.3 	: 	: 	: 
FT,EMP,F,I55,THS,MK	1.8 	1.8 	2.3 	2.4 	2.3 	2.0 	2.5 	: 	: 	: 
FT,EMP,F,I55,THS,MT	2.8 	2.5 	2.0 	2.2 	2.1 	2.0 	2.0 	1.6 	2.0 	2.8 b
FT,EMP,F,I55,THS,NL	11.0 	11.1 	8.9 	7.5 	6.2 b	10.2 	10.1 b	9.4 b	9.0 	12.5 b
FT,EMP,F,I55,THS,NO	5.1 	5.0 	6.5 	8.1 	6.7 	7.8 	8.2 	8.7 	8.1 	9.2 b
FT,EMP,F,I55,THS,PL	77.3 	74.4 	66.6 	64.1 	61.7 	69.6 	59.0 	54.1 b	53.7 	55.6 b
FT,EMP,F,I55,THS,PT	39.9 	33.0 	31.1 	31.2 	32.2 	30.7 	37.2 b	28.9 	28.8 	34.5 b
FT,EMP,F,I55,THS,RO	32.0 	30.4 	26.0 	34.5 	32.1 	27.6 	25.9 	24.4 b	30.0 	30.0 b
FT,EMP,F,I55,THS,SE	14.3 	12.9 	13.7 	12.6 	11.5 	10.9 	12.0 	13.4 	11.7 	12.2 b
FT,EMP,F,I55,THS,SI	6.1 	4.7 	5.0 	6.1 	6.9 	6.7 	7.1 	6.9 	5.4 	7.0 b
FT,EMP,F,I55,THS,SK	15.6 	16.3 	23.3 	20.9 	18.9 	18.0 	15.9 b	17.7 	17.7 b	16.2 b
FT,EMP,F,I55,THS,TR	88.9 	80.1 	81.7 	68.6 b	76.8 	62.1 	54.0 	43.9 	43.1 	: 
FT,EMP,F,I55,THS,UK	124.1 	119.9 	112.4 	106.2 	108.4 	97.9 	100.8 	93.3 	104.3 	90.0 b
FT,EMP,F,N79,THS,AT	7.8 	6.3 	6.0 	6.1 	6.4 	6.8 	8.1 	6.8 	7.9 	9.2 b
FT,EMP,F,N79,THS,BE	5.4 b	5.0 u	4.9 u	3.2 u	4.2 u	4.7 u	5.1 b	5.1 	5.2 	4.6 bu
FT,EMP,F,N79,THS,BG	5.5 u	3.9 u	3.8 u	4.9 u	3.9 u	: u	: bu	4.0 bu	3.8 u	: bu
FT,EMP,F,N79,THS,CH	5.9 	5.6 	5.5 	5.8 	6.1 	4.9 u	5.0 u	4.9 bu	4.8 u	4.6 bu
FT,EMP,F,N79,THS,CY	1.5 u	1.4 u	0.6 u	: u	1.0 u	1.5 u	0.9 u	1.5 u	2.0 b	1.5 bu
FT,EMP,F,N79,THS,CZ	6.8 	9.6 	9.3 	8.8 	8.2 	7.8 	7.5 b	8.5 	8.5 	10.3 b
FT,EMP,F,N79,THS,DE	58.5 	57.9 	55.5 	57.6 	63.1 	54.3 	53.4 b	51.7 b	53.9 	56.5 b
FT,EMP,F,N79,THS,DK	3.1 bu	4.3 b	3.8 u	2.2 u	2.8 u	2.8 u	2.8 u	3.0 u	3.2 u	3.1 bu
FT,EMP,F,N79,THS,EA17	211.5 	194.8 	192.0 	191.6 	197.9 	200.8 	194.7 	191.7 	192.4 	208.6 b
FT,EMP,F,N79,THS,EA18	213.0 	195.5 	193.6 	193.2 	199.7 	202.7 	195.3 	192.9 	193.6 	210.3 b
FT,EMP,F,N79,THS,EA19	214.6 	197.6 	196.3 	194.9 	200.7 	203.8 	196.9 	195.6 	196.5 	212.2 b
FT,EMP,F,N79,THS,EE	: u	: u	: u	: u	2.2 u	1.7 u	: u	: c	: u	2.5 bu
FT,EMP,F,N79,THS,EL	8.3 	8.5 	7.5 	8.9 	6.4 	5.9 	6.4 	7.7 	9.1 b	9.1 b
FT,EMP,F,N79,THS,ES	36.5 	35.2 	37.9 	30.7 	33.6 	33.3 	36.1 	32.7 	34.4 	41.6 b
FT,EMP,F,N79,THS,EU15	263.3 	242.5 	238.5 	231.3 	242.8 	242.4 	240.3 	240.2 	249.6 	258.0 b
FT,EMP,F,N79,THS,EU27	314.4 	295.6 	289.3 	284.1 	287.9 	286.4 	285.7 	287.6 	294.9 	304.3 b
FT,EMP,F,N79,THS,EU28	319.3 	300.7 	292.6 	287.5 	288.5 	287.1 	286.9 	289.9 	296.7 	306.6 b
FT,EMP,F,N79,THS,FI	3.5 u	2.6 u	2.8 u	2.8 u	3.1 u	2.0 u	2.3 u	3.0 u	3.5 u	3.8 bu
FT,EMP,F,N79,THS,FR	36.0 	29.5 	25.8 	33.2 b	30.0 	41.0 	30.2 	28.5 	27.9 	25.8 b
FT,EMP,F,N79,THS,HR	4.9 u	5.1 u	3.3 u	3.4 u	: u	: u	1.2 u	2.3 u	1.8 u	2.2 bu
FT,EMP,F,N79,THS,HU	5.9 	5.3 	4.9 	5.3 	4.0 u	4.4 u	5.4 	4.7 u	4.0 u	4.6 bu
FT,EMP,F,N79,THS,IE	3.5 b	2.8 u	2.6 u	3.1 	3.0 u	2.9 u	3.6 	3.6 	4.0 	3.4 b
FT,EMP,F,N79,THS,IS	1.5 	1.2 	0.7 	0.7 	0.6 	0.7 	: u	: u	: u	: bu
FT,EMP,F,N79,THS,IT	31.7 	28.8 	28.6 	27.2 	29.0 	30.9 	32.2 	33.0 	26.9 	32.2 b
FT,EMP,F,N79,THS,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
FT,EMP,F,N79,THS,LU	: u	: u	: bu	: c	: u	: u	: u	: u	: bu	: bu
FT,EMP,F,N79,THS,LV	1.5 u	: u	1.6 u	1.6 u	1.8 u	1.9 u	: u	: u	: u	1.7 bu
FT,EMP,F,N79,THS,ME	: u	: u	1.6 u	1.6 u	: u	: u	: u	: 	: 	: 
FT,EMP,F,N79,THS,MK	0.8 u	: u	1.0 u	1.2 	0.8 u	: u	: u	: 	: 	: 
FT,EMP,F,N79,THS,MT	: u	0.5 u	0.7 u	0.7 u	0.4 u	: u	0.4 u	0.5 u	0.4 u	0.4 bu
FT,EMP,F,N79,THS,NL	6.4 	5.6 	6.0 	4.9 	5.1 b	6.7 	5.9 b	6.3 b	6.2 	7.5 b
FT,EMP,F,N79,THS,NO	3.3 	3.3 	2.6 	3.0 	3.1 	3.7 	3.1 	3.2 	5.5 	4.5 b
FT,EMP,F,N79,THS,PL	12.0 u	15.8 	13.7 u	14.8 u	12.9 u	15.0 u	14.4 u	12.5 bu	11.4 u	9.9 bu
FT,EMP,F,N79,THS,PT	6.7 	6.0 	7.9 	7.5 	5.8 	4.8 	5.2 b	6.4 	5.3 	5.0 b
FT,EMP,F,N79,THS,RO	10.6 u	9.3 u	8.6 u	9.3 u	: u	: u	6.8 u	6.9 bu	: u	: bu
FT,EMP,F,N79,THS,SE	5.5 	4.8 	4.2 	5.0 	5.9 	5.9 	5.4 	5.4 	7.1 	7.5 b
FT,EMP,F,N79,THS,SI	1.7 u	1.6 u	1.0 u	2.0 u	1.9 u	1.3 u	1.0 u	1.3 u	1.4 u	1.5 bu
FT,EMP,F,N79,THS,SK	2.7 u	2.2 u	3.1 	2.2 u	2.2 u	2.7 u	2.8 bu	3.2 	3.5 b	4.0 b
FT,EMP,F,N79,THS,TR	13.4 	16.8 	14.5 	14.5 b	12.1 	12.8 	13.2 	9.8 	9.5 	: 
FT,EMP,F,N79,THS,UK	50.4 	45.1 	44.8 	38.9 	43.9 	40.3 	43.2 	46.8 	54.8 	48.5 b
FT,EMP,F,TOTAL,THS,AT	1048.7 	1038.7 	1027.7 	1029.0 	1046.8 	1051.2 	1056.8 	1050.2 	1051.7 	1069.3 
FT,EMP,F,TOTAL,THS,BE	1256.1 b	1223.6 	1237.3 	1236.2 	1190.7 	1160.2 	1158.1 b	1172.9 	1165.7 	1173.8 
FT,EMP,F,TOTAL,THS,BG	1427.9 	1373.4 	1384.5 	1361.4 	1343.3 	1354.2 	1361.7 b	1397.6 b	1480.5 	1525.0 b
FT,EMP,F,TOTAL,THS,CH	825.7 	822.1 	811.3 	789.6 	786.2 	780.7 	781.3 	748.2 b	784.1 	788.9 
FT,EMP,F,TOTAL,THS,CY	152.6 	145.9 	145.8 	147.0 	146.8 	158.6 	164.9 	162.9 	156.2 b	151.1 
FT,EMP,F,TOTAL,THS,CZ	2025.5 	2009.9 	1975.8 	1932.5 	1907.7 	1910.1 	1899.2 b	1880.5 	1916.3 	1957.6 
FT,EMP,F,TOTAL,THS,DE	10218.4 	10130.4 	9869.2 	9846.8 	9684.4 	9791.3 	9712.1 b	9517.9 b	9632.5 	9507.3 
FT,EMP,F,TOTAL,THS,DK	850.5 b	832.2 b	836.1 	824.2 	819.9 	811.4 	799.9 	794.9 	822.4 	855.1 
FT,EMP,F,TOTAL,THS,EA17	42515.9 	41770.0 	40970.5 	40535.0 	39959.1 	40589.5 	41042.4 	41066.4 	41534.7 	42007.5 
FT,EMP,F,TOTAL,THS,EA18	42916.7 	42171.7 	41373.6 	40937.9 	40366.5 	40985.0 	41438.9 	41463.1 	41960.1 	42486.6 
FT,EMP,F,TOTAL,THS,EA19	43538.1 	42800.3 	41982.7 	41535.0 	40952.0 	41568.7 	42020.2 	42058.3 	42582.1 	43132.2 
FT,EMP,F,TOTAL,THS,EE	272.7 	268.4 	265.3 	265.8 	262.9 	258.9 	252.5 	246.9 	260.4 	288.0 
FT,EMP,F,TOTAL,THS,EL	1349.9 	1330.8 	1323.5 	1284.4 	1264.2 	1344.9 	1493.6 	1601.8 	1642.7 b	1642.0 
FT,EMP,F,TOTAL,THS,ES	6491.6 	6326.8 	6066.4 	5879.9 	5845.8 	6103.0 	6374.8 	6419.3 	6500.7 	6754.9 
FT,EMP,F,TOTAL,THS,EU15	51755.7 	50773.9 	49846.1 	49195.2 	48370.6 	48730.2 	49107.2 	49007.7 	49569.6 	50158.3 
FT,EMP,F,TOTAL,THS,EU27	70042.9 	68710.2 	67549.8 	66645.8 	65516.5 	65902.3 	66208.6 	66174.3 	67469.3 	68323.3 
FT,EMP,F,TOTAL,THS,EU28	70735.8 	69381.8 	68218.9 	67307.2 	66166.1 	66550.7 	66858.2 	66857.5 	68180.9 	69023.5 
FT,EMP,F,TOTAL,THS,FI	933.7 	929.7 	952.2 	952.0 	953.3 	963.0 	960.0 	954.6 	973.6 	994.3 b
FT,EMP,F,TOTAL,THS,FR	9046.8 	8962.4 	8889.7 	8797.0 b	8562.5 	8576.9 	8541.6 	8530.8 	8534.0 	8622.4 
FT,EMP,F,TOTAL,THS,HR	693.0 	671.6 	669.1 	661.4 	649.6 	648.4 	649.6 	683.2 	711.7 	700.2 
FT,EMP,F,TOTAL,THS,HU	1866.8 	1842.3 	1768.8 	1710.4 	1621.5 	1604.3 	1579.4 	1599.0 	1594.8 	1644.5 
FT,EMP,F,TOTAL,THS,IE	686.4 b	645.0 	613.4 	589.1 	570.5 	562.4 	561.2 	577.6 	605.5 	649.6 
FT,EMP,F,TOTAL,THS,IS	56.8 	55.2 	55.4 	54.2 	56.1 	54.7 	54.0 	51.5 	50.0 	53.4 
FT,EMP,F,TOTAL,THS,IT	6527.1 	6402.3 	6331.6 	6325.6 	6329.2 	6472.5 	6556.8 	6505.5 	6606.9 	6693.3 
FT,EMP,F,TOTAL,THS,LT	621.3 	628.7 	609.1 	597.1 	585.6 	583.6 	581.3 	595.2 	622.0 	645.6 
FT,EMP,F,TOTAL,THS,LU	80.8 	75.8 	75.3 b	70.0 	67.1 	66.0 	61.9 	61.0 	60.4 b	53.6 
FT,EMP,F,TOTAL,THS,LV	400.8 	401.6 	403.1 	402.9 	407.4 	395.5 	396.5 	396.7 	425.4 	479.1 
FT,EMP,F,TOTAL,THS,ME	94.9 	96.5 	94.5 	91.4 	88.5 	85.0 	81.3 	: 	: 	: 
FT,EMP,F,TOTAL,THS,MK	277.4 	267.7 	268.9 	257.1 	257.9 	238.8 	237.9 	227.6 	223.8 	217.7 
FT,EMP,F,TOTAL,THS,MT	66.0 	60.5 	56.3 	53.1 	51.3 	47.4 	43.3 	42.0 	41.0 	39.5 
