unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,AME_C_S_OTH,EE	: 	: 	: 	: 	: 	: 	: 	: u	0 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,EL	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,ES	: 	: u	: u	: 	: u	: 	3418 	0 	92463 	1798 	1220 	7548 	2853 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,FI	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,FR	: 	: u	: u	: 	: 	: u	0 	3318 	0 	7255 	0 	4625 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,HR	: 	: u	: u	: u	: u	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,HU	: 	: 	: 	: 	: 	: 	0 	0 	: u	0 	: u	: u	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,IE	: 	: 	: u	: 	: u	: u	: u	: u	0 	0 	2000 	2000 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,IT	: u	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,LT	: 	: 	: 	: 	: 	: 	: u	: u	0 	0 	0 	: u	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,LU	: 	: 	: 	: u	: u	: 	247 	0 	203 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,LV	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,MT	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,NL	: c	: u	: u	: u	: 	: u	0 	0 	0 	0 	0 	7000 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,NO	: 	: 	: 	: u	: u	: 	15723 	3424 	7409 	10121 	16708 	5589 	2977 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,PL	: 	: u	: u	: u	: 	: 	0 e	0 	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,PT	: c	: 	: 	: 	: 	: 	0 	3328 	0 	: u	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,RO	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,SE	: 	: u	: u	: u	: 	: 	5000 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,SI	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,SK	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,UK	: 	: 	: 	: 	: 	: u	9051 	2047 	5023 	8052 	6511 	2147 	4740 	2019 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_N,AT	: c	: u	: u	: u	: 	: u	2882 	: u	2306 	0 	0 	0 	0 	2250 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
