unit,purpose,duration,partner,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,OUT,UNK,BE	3497669 b	3743983 	3032998 	2884899 	2624343 	2156721 
NR,PERS,N1-3,OUT,UNK,BG	178450 	149846 	130947 	189931 	162018 	135246 
NR,PERS,N1-3,OUT,UNK,CH	: 	3938949 	4361258 	3644864 	3986475 	3224504 
NR,PERS,N1-3,OUT,UNK,CY	235260 	183437 	156972 	148305 	171641 	157928 
NR,PERS,N1-3,OUT,UNK,CZ	1328754 	1275739 	1237811 	1180757 	1111178 	1050506 
NR,PERS,N1-3,OUT,UNK,DE	14924947 	17094355 	15354115 	13920042 	14900957 	13876657 
NR,PERS,N1-3,OUT,UNK,DK	: 	2507991 	2717992 	2599579 	2374379 	1527244 
NR,PERS,N1-3,OUT,UNK,EA	: 	: 	: 	: 	27432983 e	26435556 e
NR,PERS,N1-3,OUT,UNK,EL	: 	95920 	107218 	97519 	67605 	90327 
NR,PERS,N1-3,OUT,UNK,EU27	: 	: 	46603888 e	: 	42900944 e	38916695 e
NR,PERS,N1-3,OUT,UNK,EU28	: 	: 	47599428 e	: 	42895038 e	38910555 e
NR,PERS,N1-3,OUT,UNK,FR	6316258 	4722287 	5047258 	5356788 	4962452 	4858392 
NR,PERS,N1-3,OUT,UNK,HR	759033 	640416 	919897 	1027094 	: 	: 
NR,PERS,N1-3,OUT,UNK,HU	3075831 	2913650 	2363757 	2027675 	1678402 	1418008 
NR,PERS,N1-3,OUT,UNK,IE	2025638 	1572400 	1573439 	1457267 	1427108 	1416706 
NR,PERS,N1-3,OUT,UNK,IT	3068314 	2467363 	2570124 	2498814 	2381599 	3371504 
NR,PERS,N1-3,OUT,UNK,LT	448611 	467922 	445482 	430686 	448477 	437053 
NR,PERS,N1-3,OUT,UNK,LU	: 	453780 	552818 	603412 	491504 	: 
NR,PERS,N1-3,OUT,UNK,MT	102008 	: 	: 	: 	59273 	46841 
NR,PERS,N1-3,OUT,UNK,NL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,UNK,NO	2014927 	1960761 	2216416 	2288247 	2037051 	: 
NR,PERS,N1-3,OUT,UNK,PL	1947431 	1845190 	1776437 	1598368 	1683933 	1700825 
NR,PERS,N1-3,OUT,UNK,PT	: 	: 	: 	263395 	: 	: 
NR,PERS,N1-3,OUT,UNK,RO	: 	: 	: 	: 	: 	85809 
NR,PERS,N1-3,OUT,UNK,SE	: 	2882490 	3126353 	2995149 	: 	: 
NR,PERS,N1-3,OUT,UNK,SI	1277136 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,UNK,SK	1043141 	746000 	497727 	674033 	320288 	431300 
NR,PERS,N1-3,OUT,UNK,UK	: 	: 	: 	: 	7318438 	7065007 
NR,PERS,N1-3,WORLD,ED0-2,AT	1316516 	1417728 	1243338 	1244205 	1273225 	1423310 
NR,PERS,N1-3,WORLD,ED0-2,EA	: 	: 	: 	: 	43524254 e	46064632 e
NR,PERS,N1-3,WORLD,ED0-2,EE	462522 	423413 	247705 	295484 	163466 	158231 
NR,PERS,N1-3,WORLD,ED0-2,ES	33117006 	30010987 	28718529 	27204424 	28480025 	29793761 
NR,PERS,N1-3,WORLD,ED0-2,EU27	: 	: 	51827876 e	: 	45622190 e	50124528 e
NR,PERS,N1-3,WORLD,ED0-2,EU28	: 	: 	51764781 e	: 	46013753 e	50783511 e
NR,PERS,N1-3,WORLD,ED0-2,FI	4927414 	4521450 	5175045 	5005414 	5598772 	6153848 
NR,PERS,N1-3,WORLD,ED0-2,HR	: 	: 	: 	: 	391457 	654717 
NR,PERS,N1-3,WORLD,ED0-2,HU	1059520 	1282197 	1401549 	: 	: 	: 
NR,PERS,N1-3,WORLD,ED0-2,LU	: 	: 	: 	: 	: 	59220 
NR,PERS,N1-3,WORLD,ED0-2,LV	: 	303505 	291108 	227610 	296914 	401309 
NR,PERS,N1-3,WORLD,ED0-2,MT	: 	28361 	32572 	23800 	: 	: 
NR,PERS,N1-3,WORLD,ED0-2,NL	3234972 	3410177 	3417166 	3906678 	3997633 	4438158 
NR,PERS,N1-3,WORLD,ED0-2,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,WORLD,ED0-2,PT	3856351 	3686410 	3479011 	: 	3680749 	3824070 
NR,PERS,N1-3,WORLD,ED0-2,RO	982730 	1057891 	1005841 	1014410 	1067807 	: 
NR,PERS,N1-3,WORLD,ED0-2,SI	: 	318555 	244972 	213417 	325043 	208369 
NR,PERS,N1-3,WORLD,ED3_4,AT	5778078 	5761441 	5241624 	5693078 	5136090 	4826370 
NR,PERS,N1-3,WORLD,ED3_4,EA	: 	: 	: 	: 	53608674 e	54294713 e
NR,PERS,N1-3,WORLD,ED3_4,EE	1254476 	1367007 	1129894 	1150247 	808031 	764537 
