unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,OUT,EDUC,AT	361405 	371622 	289797 	390099 	417961 	363539 
NR,PERS,N1-3,OUT,EDUC,EA	: 	: 	: 	: 	1685367 e	1697461 e
NR,PERS,N1-3,OUT,EDUC,EE	42509 u	43718 u	24917 u	61799 	47754 	: u
NR,PERS,N1-3,OUT,EDUC,ES	564241 	276172 	213497 b	267029 	313926 	356655 
NR,PERS,N1-3,OUT,EDUC,EU27	: 	: 	1827209 e	: 	1783397 e	2169062 e
NR,PERS,N1-3,OUT,EDUC,EU28	: 	: 	2051174 e	: 	1783152 e	2168720 e
NR,PERS,N1-3,OUT,EDUC,FI	355827 	465500 	355322 	368764 	360479 	452774 
NR,PERS,N1-3,OUT,EDUC,HR	123201 u	: 	197734 u	202792 	: 	: 
NR,PERS,N1-3,OUT,EDUC,LU	: 	: 	: 	: 	: 	47070 
NR,PERS,N1-3,OUT,EDUC,LV	: 	: c	: u	: u	62892 u	92550 u
NR,PERS,N1-3,OUT,EDUC,MT	: 	11934 	7714 u	: 	: 	: 
NR,PERS,N1-3,OUT,EDUC,NL	574178 	426651 	464129 	382374 	390723 	266759 
NR,PERS,N1-3,OUT,EDUC,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,EDUC,PT	25616 u	38684 u	52453 u	: 	: u	: u
NR,PERS,N1-3,OUT,EDUC,RO	: c	: u	: u	: u	: u	: u
NR,PERS,N1-3,OUT,EDUC,SI	: 	140257 	133931 	174326 	140234 	159311 
NR,PERS,N1-3,OUT,EMP,AT	2172476 	2184171 	1925516 	1854544 	1732671 	1825214 
NR,PERS,N1-3,OUT,EMP,EA	: 	: 	: 	: 	8888312 e	9878727 e
NR,PERS,N1-3,OUT,EMP,EE	316556 	294358 	293919 	342342 	285050 	348732 
NR,PERS,N1-3,OUT,EMP,ES	2796573 	2474348 	2516468 b	1955183 	1553484 	1892451 
NR,PERS,N1-3,OUT,EMP,EU27	: 	: 	12227304 e	: 	9393670 e	11285156 e
NR,PERS,N1-3,OUT,EMP,EU28	: 	: 	12710171 e	: 	9392377 e	11283376 e
NR,PERS,N1-3,OUT,EMP,FI	2383922 	2072974 	2158314 	2059843 	2114496 	2263311 
NR,PERS,N1-3,OUT,EMP,HR	432839 	: 	435134 	546586 	: 	: 
NR,PERS,N1-3,OUT,EMP,LU	: 	: 	: 	: 	: 	350855 
NR,PERS,N1-3,OUT,EMP,LV	: 	391196 	365686 	298097 	262234 	330681 
NR,PERS,N1-3,OUT,EMP,MT	: 	60550 	43601 	: 	: 	: 
NR,PERS,N1-3,OUT,EMP,NL	2644821 	2436600 	2369053 	2299927 	2397643 	2476884 
NR,PERS,N1-3,OUT,EMP,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,EMP,PT	108157 	244432 	227340 	: 	102314 	205809 
NR,PERS,N1-3,OUT,EMP,RO	109326 	119869 	94904 	52912 	92145 	63730 
NR,PERS,N1-3,OUT,EMP,SI	: 	667184 	681399 	752242 	701563 	514254 
NR,PERS,N1-3,OUT,INAC_OTH,AT	629536 	604384 	558475 	586025 	540212 	590036 
NR,PERS,N1-3,OUT,INAC_OTH,EA	: 	: 	: 	: 	2736447 e	2631834 e
NR,PERS,N1-3,OUT,INAC_OTH,EE	50154 u	43952 u	39555 u	60544 	43856 	56592 u
NR,PERS,N1-3,OUT,INAC_OTH,ES	464138 	365134 	349021 b	421949 	443289 	425594 
NR,PERS,N1-3,OUT,INAC_OTH,EU27	: 	: 	3055705 e	: 	2838776 e	3038140 e
NR,PERS,N1-3,OUT,INAC_OTH,EU28	: 	: 	3259826 e	: 	2838385 e	3037661 e
NR,PERS,N1-3,OUT,INAC_OTH,FI	885559 	841162 	918457 	859592 	999835 	751634 
NR,PERS,N1-3,OUT,INAC_OTH,HR	105410 	: 	181694 	161273 	: 	: 
NR,PERS,N1-3,OUT,INAC_OTH,LU	: 	: 	: 	: 	: 	53734 
NR,PERS,N1-3,OUT,INAC_OTH,LV	: 	45075 u	42362 u	67074 u	38744 u	51209 u
NR,PERS,N1-3,OUT,INAC_OTH,MT	: 	11721 u	12925 u	: 	: 	: 
NR,PERS,N1-3,OUT,INAC_OTH,NL	569307 	504455 	494544 	560078 	487786 	548324 
NR,PERS,N1-3,OUT,INAC_OTH,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,INAC_OTH,PT	: c	68768 	34664 u	: 	44515 u	60995 
NR,PERS,N1-3,OUT,INAC_OTH,RO	: c	: u	: u	: u	: u	: u
NR,PERS,N1-3,OUT,INAC_OTH,SI	: 	208656 	210126 	140899 	176618 	144601 
NR,PERS,N1-3,OUT,UNE,AT	57818 u	57628 u	59240 u	: u	: u	: u
NR,PERS,N1-3,OUT,UNE,EA	: 	: 	: 	: 	675989 e	622047 e
NR,PERS,N1-3,OUT,UNE,EE	: c	: u	: u	20580 u	18662 u	: u
NR,PERS,N1-3,OUT,UNE,ES	291892 	318728 	344029 b	262413 	245045 	238928 
NR,PERS,N1-3,OUT,UNE,EU27	: 	: 	888414 e	: 	713912 e	792395 e
NR,PERS,N1-3,OUT,UNE,EU28	: 	: 	1007825 e	: 	713813 e	792270 e
NR,PERS,N1-3,OUT,UNE,FI	134470 u	166306 u	109440 u	102994 u	106690 u	69624 u
NR,PERS,N1-3,OUT,UNE,HR	97584 	: 	105335 u	116443 	: 	: 
NR,PERS,N1-3,OUT,UNE,LU	: 	: 	: 	: 	: 	25193 
NR,PERS,N1-3,OUT,UNE,LV	: 	: c	: u	27666 u	: u	: u
NR,PERS,N1-3,OUT,UNE,MT	: 	: c	: c	: 	: 	: 
