unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,OUT,TOTAL,IT	3068314 	2467363 	2570124 	2498814 b	2381599 	3371504 
NR,PERS,N1-3,OUT,TOTAL,LT	448611 	467922 	445482 	430686 	448477 	437053 
NR,PERS,N1-3,OUT,TOTAL,LU	: 	453780 	552818 	603412 	491504 	476851 
NR,PERS,N1-3,OUT,TOTAL,LV	: 	496219 	466337 	424494 	390320 	502822 
NR,PERS,N1-3,OUT,TOTAL,MT	102008 	84734 	64305 	57048 b	59273 	46841 
NR,PERS,N1-3,OUT,TOTAL,NL	3923769 	3556962 	3463745 	3410717 	3448328 	3479117 
NR,PERS,N1-3,OUT,TOTAL,NO	2014927 	1960761 	2216416 	2288247 	2037051 	: 
NR,PERS,N1-3,OUT,TOTAL,PL	1947431 	1845190 	1776437 	1598368 b	1683933 	1700825 
NR,PERS,N1-3,OUT,TOTAL,PT	416465 	394075 	338485 	263395 	199226 	304597 
NR,PERS,N1-3,OUT,TOTAL,RO	135611 	146155 	118083 	71337 	116584 	85809 
NR,PERS,N1-3,OUT,TOTAL,SE	: 	2882490 	3126353 	2995149 	: 	: 
NR,PERS,N1-3,OUT,TOTAL,SI	1277136 	1067855 	1097612 	1107793 	1108834 	886486 
NR,PERS,N1-3,OUT,TOTAL,SK	1043141 	746000 	497727 	674033 	320288 b	431300 
NR,PERS,N1-3,OUT,TOTAL,UK	: 	: 	: 	: 	7318438 	7065007 
NR,PERS,N1-3,OUT,UNK,AT	3221235 	3217806 	2833028 	2850096 	2723405 	2818254 
NR,PERS,N1-3,OUT,UNK,BE	3497669 b	3743983 	3032998 	2884899 	2624343 	2156721 
NR,PERS,N1-3,OUT,UNK,BG	178450 	149846 	130947 	189931 	162018 	135246 
NR,PERS,N1-3,OUT,UNK,CH	: 	3938949 	4361258 	3644864 	3986475 	3224504 
NR,PERS,N1-3,OUT,UNK,CY	235260 	183437 	156972 	148305 	171641 	157928 
NR,PERS,N1-3,OUT,UNK,CZ	1328754 	1275739 	1237811 	1180757 	1111178 	1050506 
NR,PERS,N1-3,OUT,UNK,DE	14924947 	17094355 	15354115 	13920042 	14900957 	13876657 
NR,PERS,N1-3,OUT,UNK,DK	: 	2507991 	2717992 	2599579 	2374379 b	1527244 
NR,PERS,N1-3,OUT,UNK,EA	: 	: 	: 	: 	37602940 e	40828937 e
NR,PERS,N1-3,OUT,UNK,EL	: 	95920 	107218 	97519 	67605 	90327 
NR,PERS,N1-3,OUT,UNK,ES	4116844 	3434381 	3423014 b	2906575 	2555744 	2913628 
NR,PERS,N1-3,OUT,UNK,EU27	: 	: 	: 	: 	53633721 e	55669207 e
NR,PERS,N1-3,OUT,UNK,EU28	: 	: 	: 	: 	54664034 e	56734321 e
NR,PERS,N1-3,OUT,UNK,FI	3759778 	3545942 	3541532 	3391192 	3581500 	3537344 
NR,PERS,N1-3,OUT,UNK,FR	6316258 	4722287 	5047258 	5356788 	4962452 	4858392 
NR,PERS,N1-3,OUT,UNK,HR	759033 	640416 	919897 	1027094 	1021039 	1054293 
NR,PERS,N1-3,OUT,UNK,HU	3075831 	2913650 	2363757 	2027675 	1678402 	1418008 
NR,PERS,N1-3,OUT,UNK,IE	2025638 	1572400 	1573439 	1457267 	1427108 	1416706 
NR,PERS,N1-3,OUT,UNK,IT	3068314 	2467363 	2570124 	2498814 b	2381599 	3371504 
NR,PERS,N1-3,OUT,UNK,LT	448611 	467922 	445482 	430686 	448477 	437053 
NR,PERS,N1-3,OUT,UNK,LU	: 	453780 	552818 	603412 	491504 	476851 
NR,PERS,N1-3,OUT,UNK,LV	: 	496219 	466337 	424494 	390320 	502822 
NR,PERS,N1-3,OUT,UNK,MT	102008 	84734 	64305 	57048 b	59273 	46841 
NR,PERS,N1-3,OUT,UNK,NL	: 	: 	: 	: 	: 	3479117 
NR,PERS,N1-3,OUT,UNK,NO	2014927 	1960761 	2216416 	2288247 	2037051 	: 
NR,PERS,N1-3,OUT,UNK,PL	1947431 	1845190 	1776437 	1598368 b	1683933 	1700825 
NR,PERS,N1-3,OUT,UNK,PT	416465 	394075 	338485 	263395 	199226 	304597 
NR,PERS,N1-3,OUT,UNK,RO	: 	: 	: 	: 	: 	85809 
NR,PERS,N1-3,OUT,UNK,SE	: 	2882490 	3126353 	2995149 	: 	: 
NR,PERS,N1-3,OUT,UNK,SI	1277136 	1067855 	1097612 	1107793 	1108834 	886486 
NR,PERS,N1-3,OUT,UNK,SK	1043141 	746000 	497727 	674033 	320288 b	431300 
NR,PERS,N1-3,OUT,UNK,UK	: 	: 	: 	: 	7318438 	7065007 
NR,PERS,N1-3,WORLD,Q1,EA	: 	: 	: 	: 	3956787 e	285242 e
NR,PERS,N1-3,WORLD,Q1,EE	348389 	349512 	306773 	378649 	377738 	285206 
NR,PERS,N1-3,WORLD,Q1,EU27	: 	: 	: 	: 	8808887 e	290555 e
NR,PERS,N1-3,WORLD,Q1,EU28	: 	: 	: 	: 	8807674 e	290509 e
NR,PERS,N1-3,WORLD,Q1,NL	2340617 	3593966 	4021383 	3607613 	3578563 	: 
NR,PERS,N1-3,WORLD,Q1,RO	3020495 	3770537 	4054332 	4364633 	4709983 	: 
NR,PERS,N1-3,WORLD,Q2,EA	: 	: 	: 	: 	5326612 e	256943 e
NR,PERS,N1-3,WORLD,Q2,EE	519307 	583393 	446068 	625045 	292589 	256912 
NR,PERS,N1-3,WORLD,Q2,EU27	: 	: 	: 	: 	9674770 e	261730 e
NR,PERS,N1-3,WORLD,Q2,EU28	: 	: 	: 	: 	9673438 e	261688 e
NR,PERS,N1-3,WORLD,Q2,NL	3651807 	4034501 	3510976 	4606679 	5033369 	: 
NR,PERS,N1-3,WORLD,Q2,RO	5172407 	4833885 	4665787 	4587717 	4192192 	: 
NR,PERS,N1-3,WORLD,Q3,EA	: 	: 	: 	: 	7295578 e	330249 e
NR,PERS,N1-3,WORLD,Q3,EE	802071 	849867 	706074 	617671 	382636 	330209 
NR,PERS,N1-3,WORLD,Q3,EU27	: 	: 	: 	: 	8744875 e	336401 e
NR,PERS,N1-3,WORLD,Q3,EU28	: 	: 	: 	: 	8743671 e	336348 e
NR,PERS,N1-3,WORLD,Q3,NL	5887748 	6763439 	7016897 	7025500 	6912047 	: 
NR,PERS,N1-3,WORLD,Q3,RO	2666613 	1780932 	1311740 	1257095 	1308625 	: 
NR,PERS,N1-3,WORLD,Q4,EA	: 	: 	: 	: 	6193780 e	941074 e
NR,PERS,N1-3,WORLD,Q4,EE	1349006 	1209779 	1056918 	911922 	728830 	940958 
NR,PERS,N1-3,WORLD,Q4,EU27	: 	: 	: 	: 	6488356 e	958604 e
NR,PERS,N1-3,WORLD,Q4,EU28	: 	: 	: 	: 	6487463 e	958453 e
NR,PERS,N1-3,WORLD,Q4,NL	8123645 	5359854 	5071495 	5195437 	5464189 	: 
NR,PERS,N1-3,WORLD,Q4,RO	287767 	212116 	114167 	122365 	190300 	: 
NR,PERS,N1-3,WORLD,TOTAL,AT	9985891 	10100129 	9184641 	9559279 	9038213 	8595366 
NR,PERS,N1-3,WORLD,TOTAL,BE	5673199 b	5442459 	5268669 	4320681 	4295129 	3646602 
NR,PERS,N1-3,WORLD,TOTAL,BG	2915297 	1746019 	1555242 	2045795 	2039729 	2076532 
NR,PERS,N1-3,WORLD,TOTAL,CH	: 	7775806 	8419555 	7637876 	8436917 	7129625 
NR,PERS,N1-3,WORLD,TOTAL,CY	1402370 	1297550 	1239566 	1111090 	1051445 	1232492 
NR,PERS,N1-3,WORLD,TOTAL,CZ	21390393 	18977831 	17441143 	19708974 	18326261 	19679409 
NR,PERS,N1-3,WORLD,TOTAL,DE	93988468 	104198690 	104888560 	94029597 	102251230 	98784720 
NR,PERS,N1-3,WORLD,TOTAL,DK	: 	19908207 	22214379 	22110771 	21570785 b	18870153 
NR,PERS,N1-3,WORLD,TOTAL,EA	: 	: 	: 	: 	396644387 e	404436974 e
NR,PERS,N1-3,WORLD,TOTAL,EE	3018772 	2992551 	2515832 	2533287 	1781794 	1813285 
NR,PERS,N1-3,WORLD,TOTAL,EL	: 	1433087 	1579747 	1693928 	1425062 	2749255 
NR,PERS,N1-3,WORLD,TOTAL,ES	102557523 	95850185 	91367973 b	83086699 	84614036 	86453206 
NR,PERS,N1-3,WORLD,TOTAL,EU27	: 	: 	: 	: 	570146527 e	575650180 e
NR,PERS,N1-3,WORLD,TOTAL,EU28	: 	: 	: 	: 	574326590 e	579717658 e
NR,PERS,N1-3,WORLD,TOTAL,FI	24956040 	24184077 	24042202 	23460842 	24801381 	25020682 
NR,PERS,N1-3,WORLD,TOTAL,FR	105328361 	91863468 	93780902 	105556338 	104653851 	105949227 
NR,PERS,N1-3,WORLD,TOTAL,HR	1991587 	1959133 	2778748 	3890091 	4190195 	4082385 
NR,PERS,N1-3,WORLD,TOTAL,HU	12043639 	11700993 	11542092 	11033501 	9961409 	11822319 
NR,PERS,N1-3,WORLD,TOTAL,IE	8012920 	7228071 	6985478 	6040993 	5842192 	5868127 
NR,PERS,N1-3,WORLD,TOTAL,IT	24060688 	25424548 	21392604 	22134614 b	19997694 	26286323 
NR,PERS,N1-3,WORLD,TOTAL,LT	2250528 	2277168 	2339706 	2289727 	2221233 	2238041 
NR,PERS,N1-3,WORLD,TOTAL,LU	: 	465197 	564541 	623587 	539578 	514979 
NR,PERS,N1-3,WORLD,TOTAL,LV	: 	3223912 	3043094 	3144005 	3099854 	3772198 
NR,PERS,N1-3,WORLD,TOTAL,MT	313070 	288353 	233611 	222967 b	223461 	212476 
NR,PERS,N1-3,WORLD,TOTAL,NL	20003818 	19751760 	19620751 	20435230 	20988168 	23134196 
NR,PERS,N1-3,WORLD,TOTAL,NO	9848941 	9502715 	9714487 	10462995 	8604374 	: 
NR,PERS,N1-3,WORLD,TOTAL,PL	28679723 	27279217 	25071994 	24050453 b	24455021 	25254782 
NR,PERS,N1-3,WORLD,TOTAL,PT	11165181 	10258475 	9796315 	9293124 	9074999 	8961655 
NR,PERS,N1-3,WORLD,TOTAL,RO	11147282 	10597470 	10146026 	10331810 	10401100 	9704733 
NR,PERS,N1-3,WORLD,TOTAL,SE	: 	22926968 	23254985 	20764611 	: 	: 
NR,PERS,N1-3,WORLD,TOTAL,SI	2693797 	2322693 	2225445 	2579844 	2676826 	2490441 
NR,PERS,N1-3,WORLD,TOTAL,SK	5483276 	4939045 	3814796 	3485754 	2986815 b	2322293 
NR,PERS,N1-3,WORLD,TOTAL,UK	: 	: 	: 	: 	72245586 	73161030 
NR,PERS,N1-3,WORLD,UNK,AT	9985891 	10100129 	9184641 	9559279 	9038213 	8595366 
NR,PERS,N1-3,WORLD,UNK,BE	5673199 b	5442459 	5268669 	4320681 	4295129 	3646602 
NR,PERS,N1-3,WORLD,UNK,BG	2915297 	1746019 	1555242 	2045795 	2039729 	2076532 
NR,PERS,N1-3,WORLD,UNK,CH	: 	7775806 	8419555 	7637876 	8436917 	7129625 
NR,PERS,N1-3,WORLD,UNK,CY	1402370 	1297550 	1239566 	1111090 	1051445 	1232492 
NR,PERS,N1-3,WORLD,UNK,CZ	21390393 	18977831 	17441143 	19708974 	18326261 	19679409 
NR,PERS,N1-3,WORLD,UNK,DE	93988468 	104198690 	104888560 	94029597 	102251230 	98784720 
NR,PERS,N1-3,WORLD,UNK,DK	: 	19908207 	22214379 	22110771 	21570785 b	18870153 
NR,PERS,N1-3,WORLD,UNK,EA	: 	: 	: 	: 	373871631 e	402623467 e
NR,PERS,N1-3,WORLD,UNK,EL	: 	1433087 	1579747 	1693928 	1425062 	2749255 
NR,PERS,N1-3,WORLD,UNK,ES	102557523 	95850185 	91367973 b	83086699 	84614036 	86453206 
NR,PERS,N1-3,WORLD,UNK,EU27	: 	: 	: 	: 	536429638 e	573802890 e
NR,PERS,N1-3,WORLD,UNK,EU28	: 	: 	: 	: 	540614343 e	577870659 e
NR,PERS,N1-3,WORLD,UNK,FI	24956040 	24184077 	24042202 	23460842 	24801381 	25020682 
NR,PERS,N1-3,WORLD,UNK,FR	105328361 	91863468 	93780902 	105556338 	104653851 	105949227 
NR,PERS,N1-3,WORLD,UNK,HR	1991587 	1959133 	2778748 	3890091 	4190195 	4082385 
NR,PERS,N1-3,WORLD,UNK,HU	12043639 	11700993 	11542092 	11033501 	9961409 	11822319 
NR,PERS,N1-3,WORLD,UNK,IE	8012920 	7228071 	6985478 	6040993 	5842192 	5868127 
NR,PERS,N1-3,WORLD,UNK,IT	24060688 	25424548 	21392604 	22134614 b	19997694 	26286323 
NR,PERS,N1-3,WORLD,UNK,LT	2250528 	2277168 	2339706 	2289727 	2221233 	2238041 
NR,PERS,N1-3,WORLD,UNK,LU	: 	465197 	564541 	623587 	539578 	514979 
NR,PERS,N1-3,WORLD,UNK,LV	: 	3223912 	3043094 	3144005 	3099854 	3772198 
NR,PERS,N1-3,WORLD,UNK,MT	313070 	288353 	233611 	222967 b	223461 	212476 
NR,PERS,N1-3,WORLD,UNK,NL	: 	: 	: 	: 	: 	23134196 
NR,PERS,N1-3,WORLD,UNK,NO	9848941 	9502715 	9714487 	10462995 	8604374 	: 
NR,PERS,N1-3,WORLD,UNK,PL	28679723 	27279217 	25071994 	24050453 b	24455021 	25254782 
NR,PERS,N1-3,WORLD,UNK,PT	11165181 	10258475 	9796315 	9293124 	9074999 	8961655 
NR,PERS,N1-3,WORLD,UNK,RO	: 	: 	: 	: 	: 	9704733 
NR,PERS,N1-3,WORLD,UNK,SE	: 	22926968 	23254985 	20764611 	: 	: 
NR,PERS,N1-3,WORLD,UNK,SI	2693797 	2322693 	2225445 	2579844 	2676826 	2490441 
NR,PERS,N1-3,WORLD,UNK,SK	5483276 	4939045 	3814796 	3485754 	2986815 b	2322293 
NR,PERS,N1-3,WORLD,UNK,UK	: 	: 	: 	: 	72245586 	73161030 
NR,PERS,N_GE1,DOM,Q1,EA	: 	: 	: 	: 	5035280 e	345873 e
NR,PERS,N_GE1,DOM,Q1,EE	366256 	369827 	327463 	355166 	340218 	345830 
NR,PERS,N_GE1,DOM,Q1,EU27	: 	: 	: 	: 	11942869 e	352316 e
