duration,unit,partner,geo,time\isced11	TOTAL 	ED0-2 	ED3_4 	ED5-8 
N1-3,PC_POP,WORLD,CY,2015	33.95 e	: 	: 	: 
N1-3,PC_POP,WORLD,CY,2016	38.58 e	: 	: 	: 
N1-3,PC_POP,WORLD,CY,2017	34.57 e	: 	: 	: 
N1-3,PC_POP,WORLD,CZ,2012	63.13 	: 	: 	: 
N1-3,PC_POP,WORLD,CZ,2013	61.81 	: 	: 	: 
N1-3,PC_POP,WORLD,CZ,2014	69.7 	: 	: 	: 
N1-3,PC_POP,WORLD,CZ,2015	68.39 	: 	: 	: 
N1-3,PC_POP,WORLD,CZ,2016	69.96 	: 	: 	: 
N1-3,PC_POP,WORLD,CZ,2017	71.37 	: 	: 	: 
N1-3,PC_POP,WORLD,DE,2012	70.46 	: 	: 	: 
N1-3,PC_POP,WORLD,DE,2013	70.99 	: 	: 	: 
N1-3,PC_POP,WORLD,DE,2014	70.96 	: 	: 	: 
N1-3,PC_POP,WORLD,DE,2015	69.41 	: 	: 	: 
N1-3,PC_POP,WORLD,DE,2016	71.05 	: 	: 	: 
N1-3,PC_POP,WORLD,DE,2017	64.83 	: 	: 	: 
N1-3,PC_POP,WORLD,DK,2012	42.16 	: 	: 	: 
N1-3,PC_POP,WORLD,DK,2013	45.29 	: 	: 	: 
N1-3,PC_POP,WORLD,DK,2014	47.1 	: 	: 	: 
N1-3,PC_POP,WORLD,DK,2015	42.08 	: 	: 	: 
N1-3,PC_POP,WORLD,DK,2016	43.33 	: 	: 	: 
N1-3,PC_POP,WORLD,EE,2012	51.64 	: 	: 	: 
N1-3,PC_POP,WORLD,EE,2013	52.73 	: 	: 	: 
N1-3,PC_POP,WORLD,EE,2014	64.45 	: 	: 	: 
N1-3,PC_POP,WORLD,EE,2015	51.72 	: 	: 	: 
N1-3,PC_POP,WORLD,EE,2016	54.88 	: 	: 	: 
N1-3,PC_POP,WORLD,EE,2017	63.54 	: 	: 	: 
N1-3,PC_POP,WORLD,EL,2012	13.84 	: 	: 	: 
N1-3,PC_POP,WORLD,EL,2013	9.14 	: 	: 	: 
N1-3,PC_POP,WORLD,EL,2014	11.72 	: 	: 	: 
N1-3,PC_POP,WORLD,EL,2015	11.69 	: 	: 	: 
N1-3,PC_POP,WORLD,EL,2016	10.42 	: 	: 	: 
N1-3,PC_POP,WORLD,EL,2017	12.29 	: 	: 	: 
N1-3,PC_POP,WORLD,ES,2012	36.77 	25.69 	42.88 	59.58 
N1-3,PC_POP,WORLD,ES,2013	37.05 	25.87 	43.28 	58.54 
N1-3,PC_POP,WORLD,ES,2014	37.43 	26.43 	43.46 	58.41 
N1-3,PC_POP,WORLD,ES,2015	45.98 b	31.84 b	53.02 b	68.15 b
N1-3,PC_POP,WORLD,ES,2016	47.26 	32.45 	55.74 	69.35 
N1-3,PC_POP,WORLD,ES,2017	51.54 	36.22 	59.5 	74.32 
N1-3,PC_POP,WORLD,FI,2012	87.29 	79.03 	89.08 	92.63 
N1-3,PC_POP,WORLD,FI,2013	85.15 	74.57 	84.51 	94.19 
N1-3,PC_POP,WORLD,FI,2014	86.01 	77.31 	87.03 	91.61 
N1-3,PC_POP,WORLD,FI,2015	85.18 	75.46 	84.22 	92.74 
N1-3,PC_POP,WORLD,FI,2016	86.93 	79.3 	84.46 	94.74 
N1-3,PC_POP,WORLD,FI,2017	86.85 	83.45 	84.03 	92.02 
N1-3,PC_POP,WORLD,FR,2012	51.82 	: 	: 	: 
N1-3,PC_POP,WORLD,FR,2013	50.81 	: 	: 	: 
N1-3,PC_POP,WORLD,FR,2014	50.84 	: 	: 	: 
N1-3,PC_POP,WORLD,FR,2015	50.94 	: 	: 	: 
N1-3,PC_POP,WORLD,FR,2016	50.2 	: 	: 	: 
N1-3,PC_POP,WORLD,FR,2017	55.12 	: 	: 	: 
N1-3,PC_POP,WORLD,HR,2012	34 u	19.23 u	39.19 u	49.8 u
N1-3,PC_POP,WORLD,HR,2013	30.72 	19.75 	31.3 	46.89 
N1-3,PC_POP,WORLD,HR,2014	28.77 	: 	: 	: 
N1-3,PC_POP,WORLD,HR,2015	22 b	: b	: b	: b
N1-3,PC_POP,WORLD,HR,2016	21.14 	: 	: 	: 
N1-3,PC_POP,WORLD,HR,2017	20.72 	: 	: 	: 
N1-3,PC_POP,WORLD,HU,2012	39.37 	: 	: 	: 
N1-3,PC_POP,WORLD,HU,2013	36.92 	: 	: 	: 
N1-3,PC_POP,WORLD,HU,2014	39.41 	: 	: 	: 
N1-3,PC_POP,WORLD,HU,2015	39.36 	: 	: 	: 
N1-3,PC_POP,WORLD,HU,2016	41.72 	: 	: 	: 
N1-3,PC_POP,WORLD,IE,2012	46.56 	: 	: 	: 
N1-3,PC_POP,WORLD,IE,2013	43.33 	: 	: 	: 
N1-3,PC_POP,WORLD,IE,2014	47.03 	: 	: 	: 
N1-3,PC_POP,WORLD,IE,2015	46.52 	: 	: 	: 
N1-3,PC_POP,WORLD,IE,2016	46.92 	: 	: 	: 
N1-3,PC_POP,WORLD,IE,2017	48.87 	: 	: 	: 
N1-3,PC_POP,WORLD,IT,2012	22.86 	: 	: 	: 
N1-3,PC_POP,WORLD,IT,2013	18.88 	: 	: 	: 
N1-3,PC_POP,WORLD,IT,2014	17.69 b	: 	: 	: 
N1-3,PC_POP,WORLD,IT,2015	19.51 	: 	: 	: 
N1-3,PC_POP,WORLD,IT,2016	21.64 	: 	: 	: 
N1-3,PC_POP,WORLD,IT,2017	18.91 	: 	: 	: 
N1-3,PC_POP,WORLD,LT,2012	27.55 	: 	: 	: 
N1-3,PC_POP,WORLD,LT,2013	29.83 	: 	: 	: 
N1-3,PC_POP,WORLD,LT,2014	30.16 	: 	: 	: 
N1-3,PC_POP,WORLD,LT,2015	30.46 	: 	: 	: 
N1-3,PC_POP,WORLD,LT,2016	30.66 	: 	: 	: 
N1-3,PC_POP,WORLD,LT,2017	30.81 	: 	: 	: 
N1-3,PC_POP,WORLD,LU,2012	49.24 	: 	: 	: 
N1-3,PC_POP,WORLD,LU,2013	54.7 	33.42 e	52.39 e	67.8 e
N1-3,PC_POP,WORLD,LU,2014	48.36 	29.37 e	47.42 e	56.88 e
N1-3,PC_POP,WORLD,LU,2015	57.72 	: 	: 	: 
N1-3,PC_POP,WORLD,LU,2016	52.42 	: 	: 	: 
N1-3,PC_POP,WORLD,LV,2012	50.9 	: 	: 	: 
N1-3,PC_POP,WORLD,LV,2013	43.44 	: 	: 	: 
N1-3,PC_POP,WORLD,LV,2014	44.97 	: 	: 	: 
N1-3,PC_POP,WORLD,LV,2015	47.4 	28.21 	44.21 	66.13 
N1-3,PC_POP,WORLD,LV,2016	50.75 	38.27 	46.74 	63.88 
N1-3,PC_POP,WORLD,LV,2017	47.69 	37.58 	43.35 	62.75 
N1-3,PC_POP,WORLD,ME,2016	: c	: 	: 	: 
N1-3,PC_POP,WORLD,MT,2012	23.61 	: 	: 	: 
N1-3,PC_POP,WORLD,MT,2013	23.67 	: 	: 	: 
N1-3,PC_POP,WORLD,MT,2014	24.49 	: 	: 	: 
N1-3,PC_POP,WORLD,MT,2015	22.66 	: 	: 	: 
N1-3,PC_POP,WORLD,MT,2016	27.24 	: 	: 	: 
