accommod,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551-I553,NCST_A,FR	: 	3096237 	3094665 	3070118 	3020755 	3020559 
BEDPL,NR,I551-I553,NCST_A,HR	80320 	74783 	58690 	48208 	47838 	40901 
BEDPL,NR,I551-I553,NCST_A,HU	418912 	446400 	440449 	435620 	422039 	382819 
BEDPL,NR,I551-I553,NCST_A,IE	: 	72282 	72282 	75799 e	79143 	: 
BEDPL,NR,I551-I553,NCST_A,IS	5793 	6026 	4991 	4853 	: 	: 
BEDPL,NR,I551-I553,NCST_A,IT	2194644 	2189154 	2152151 	2120404 	2090613 	2090548 
BEDPL,NR,I551-I553,NCST_A,LI	2378 	2434 	2041 	2011 	: 	: 
BEDPL,NR,I551-I553,NCST_A,LT	58766 	55237 	53639 	52604 	50106 	48787 
BEDPL,NR,I551-I553,NCST_A,LU	63612 	63862 	64011 	64858 	66747 	68159 
BEDPL,NR,I551-I553,NCST_A,LV	19235 	15601 	14547 	13312 	12677 	12098 
BEDPL,NR,I551-I553,NCST_A,ME	: 	9123 	: 	: 	: 	6688 
BEDPL,NR,I551-I553,NCST_A,MK	46446 	45377 	44270 	43432 	: 	: 
BEDPL,NR,I551-I553,NCST_A,MT	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551-I553,NCST_A,NL	974437 	972949 	958840 	955378 	984702 b	828744 
BEDPL,NR,I551-I553,NCST_A,NO	208827 	204066 	206375 	213848 	206269 	191846 
BEDPL,NR,I551-I553,NCST_A,PL	565902 	553256 	526736 	512868 	502008 	499359 
BEDPL,NR,I551-I553,NCST_A,PT	140560 	124539 	117710 	110749 	101894 	118956 
BEDPL,NR,I551-I553,NCST_A,RO	253270 	239893 	236937 	219852 	215877 	204505 
BEDPL,NR,I551-I553,NCST_A,RS	: 	: 	: 	102420 	101729 	107962 
BEDPL,NR,I551-I553,NCST_A,SE	364090 	362597 	364284 	371488 	371696 	369101 
BEDPL,NR,I551-I553,NCST_A,SI	96462 u	92586 u	89135 u	86398 	85326 	85085 
BEDPL,NR,I551-I553,NCST_A,SK	185771 	183903 	189634 	183404 	190306 	193369 
BEDPL,NR,I551-I553,NCST_A,UK	: 	2053771 	2056645 	: 	2108699 	1681870 
BEDPL,NR,I551-I553,NCST_A,XK	8433 u	: 	: 	: 	: 	: 
BEDPL,NR,I551-I553,TOTAL,AT	1013199 	1001442 	993465 	993554 	981070 	979329 
BEDPL,NR,I551-I553,TOTAL,BE	373802 	368468 	368492 	366166 	372867 	371731 
BEDPL,NR,I551-I553,TOTAL,BG	348724 	328264 	322465 	314257 	302433 	301140 
BEDPL,NR,I551-I553,TOTAL,CH	: 	681306 	: 	: 	: 	: 
BEDPL,NR,I551-I553,TOTAL,CY	85965 	84239 	85414 	87578 	87143 	86645 
BEDPL,NR,I551-I553,TOTAL,CZ	715540 	716563 	715014 	710381 	740671 	748337 b
BEDPL,NR,I551-I553,TOTAL,DE	3377728 	3336207 	3340072 	3318592 	3326821 	3326576 
BEDPL,NR,I551-I553,TOTAL,DK	424035 	418447 	415825 	420031 	417594 	440410 
BEDPL,NR,I551-I553,TOTAL,EA	22917209 e	22601949 	22527052 	: 	: 	: 
BEDPL,NR,I551-I553,TOTAL,EE	61663 	59471 	58072 	58095 	55482 	52979 
BEDPL,NR,I551-I553,TOTAL,EL	1273476 e	1241414 e	1244850 e	1238586 e	1207394 	1204845 e
