accommod,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PCH_PRE,GE100,HU	1.23 	2.46 	0.98 	: 	: 	: 
BEDPL,PCH_PRE,GE100,IS	8.52 	22.29 	-48.78 	12.67 	: 	: 
BEDPL,PCH_PRE,GE100,IT	0.12 	0.29 	0.06 	2.15 	1.5 	: 
BEDPL,PCH_PRE,GE100,LT	0.65 	5.01 	-1.06 	5.8 	-0.8 	: 
BEDPL,PCH_PRE,GE100,LU	0.86 	: 	: 	: 	: 	: 
BEDPL,PCH_PRE,GE100,LV	3.51 	6.27 	4.39 	-1.51 	0.3 	: 
BEDPL,PCH_PRE,GE100,MT	2.6 	1.03 	1.79 	-3 	-10.4 	: 
BEDPL,PCH_PRE,GE100,NO	1.42 	4.4 	2.49 	2.27 	3.2 	: 
BEDPL,PCH_PRE,GE100,PL	1.75 	3.2 	4.26 	9.81 	6.4 	: 
BEDPL,PCH_PRE,GE100,RO	1.68 	-0.55 	-1.67 	0.81 	-1.9 	: 
BEDPL,PCH_PRE,GE100,SE	2.82 	2.51 	36.54 	2.77 	4.9 	: 
BEDPL,PCH_PRE,GE100,UK	: 	59.38 	0.59 	: 	: 	: 
BEDPL,PCH_PRE,GE250,BG	8.66 	-0.29 	3.3 	2.56 	-2.6 	: 
BEDPL,PCH_PRE,GE250,CY	4.86 	0.13 	0.45 	: 	: 	: 
BEDPL,PCH_PRE,GE250,CZ	4.62 	-0.78 	9.57 	-0.23 	-5.8 	: 
BEDPL,PCH_PRE,GE250,DE	2.96 	1.12 	-0.24 	1.39 	0.4 	: 
BEDPL,PCH_PRE,GE250,EA	: u	: u	: u	: 	: 	: 
BEDPL,PCH_PRE,GE250,EL	0.3 	-0.27 	1.22 	4.14 	0.56 	: 
BEDPL,PCH_PRE,GE250,ES	1.51 	-0.91 	3.29 	0.09 	0 	: 
BEDPL,PCH_PRE,GE250,EU27	: u	: u	: u	: u	: 	: 
BEDPL,PCH_PRE,GE250,EU28	: u	: u	: u	: u	: 	: 
BEDPL,PCH_PRE,GE250,HR	-9.5 	0.43 	0.11 	1.57 	5.1 	: 
BEDPL,PCH_PRE,GE250,HU	0.02 	-1.57 	0.95 	: 	: 	: 
BEDPL,PCH_PRE,GE250,IS	0 	-24.38 	-35.6 	-7.12 	: 	: 
BEDPL,PCH_PRE,GE250,LT	-0.55 	0 	0 	0.18 	-0.4 	: 
BEDPL,PCH_PRE,GE250,LV	0 	26.03 	: c	: 	: 	: 
BEDPL,PCH_PRE,GE250,MT	8.51 	-0.01 	7.23 	-10.45 	-35.9 	: 
BEDPL,PCH_PRE,GE250,NO	0.29 	10.32 	8.93 	9.05 	4.8 	: 
BEDPL,PCH_PRE,GE250,PL	-5.98 	0.95 	2.93 	11.58 	1.1 	: 
BEDPL,PCH_PRE,GE250,RO	1.57 	0.55 	-4.34 	-1.83 	-4.8 	: 
BEDPL,PCH_PRE,GE250,SE	1.53 	5.16 	186.22 	9.27 	8.8 	: 
BEDPL,PCH_PRE,GE250,UK	: 	47.87 	10.02 	: 	: 	: 
BEDPL,PCH_PRE,LT25,BG	-4.24 	-15.66 	-2.69 	7.65 	8.8 	: 
BEDPL,PCH_PRE,LT25,CY	0.79 	0.94 	-4.08 	: 	: 	: 
BEDPL,PCH_PRE,LT25,CZ	-1.46 	-0.13 	3.3 	-7.54 	-1.5 	: 
BEDPL,PCH_PRE,LT25,DE	-1.32 	-2.11 	-1.26 	-2 	-0.7 	: 
BEDPL,PCH_PRE,LT25,EA	: u	: u	: u	: 	: 	: 
BEDPL,PCH_PRE,LT25,EL	-2.34 	-1.51 	-0.43 	5.19 	-0.02 	: 
BEDPL,PCH_PRE,LT25,ES	0.68 	-0.91 	1 	0.32 	0.7 	: 
BEDPL,PCH_PRE,LT25,EU27	: u	: u	: u	: u	: 	: 
BEDPL,PCH_PRE,LT25,EU28	: u	: u	: u	: u	: 	: 
BEDPL,PCH_PRE,LT25,HR	4.42 	12.16 	7.14 	3.02 	4.1 	: 
BEDPL,PCH_PRE,LT25,HU	-1.19 	1.17 	3.1 	: 	: 	: 
BEDPL,PCH_PRE,LT25,IS	-3.98 	4.54 	216.32 	19.44 	: 	: 
BEDPL,PCH_PRE,LT25,IT	-0.88 	-0.19 	0.38 	0.05 	0.9 	: 
BEDPL,PCH_PRE,LT25,LT	-1.79 	1.28 	1.56 	-1.71 	6.8 	: 
BEDPL,PCH_PRE,LT25,LU	-3.22 	: 	: 	: 	: 	: 
BEDPL,PCH_PRE,LT25,LV	0 	5.82 	34.81 	6.71 	0.3 	: 
BEDPL,PCH_PRE,LT25,MT	40.83 	-0.09 	23.83 	4.05 	230.3 	: 
BEDPL,PCH_PRE,LT25,NO	-11.74 	-0.55 	-11.59 	-21.04 	12.1 	: 
BEDPL,PCH_PRE,LT25,PL	0.81 	4.81 	2.16 	4.91 	1.6 	: 
BEDPL,PCH_PRE,LT25,RO	4.67 	-13.43 	8.48 	3.21 	2.9 	: 
BEDPL,PCH_PRE,LT25,SE	-2.66 	3.06 	-72.43 	0.57 	1.5 	: 
