accommod,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551-I553,DEG2,DK	48193 	48188 	47017 	48147 	47688 	68549 
BEDPL,NR,I551-I553,DEG2,EA	8015334 e	6914219 	6933864 	: 	: 	: 
BEDPL,NR,I551-I553,DEG2,EE	12064 	10698 	11609 	10760 	9955 	10192 
BEDPL,NR,I551-I553,DEG2,EL	249943 e	236804 e	236837 e	232541 e	225410 	223959 e
BEDPL,NR,I551-I553,DEG2,ES	1781886 	1258596 	1264205 	1257522 	1254074 	1257094 
BEDPL,NR,I551-I553,DEG2,EU27	10622229 e	9437011 	9445699 	9419153 e	9356074 	9162247 e
BEDPL,NR,I551-I553,DEG2,EU28	10897589 e	9690775 	9698010 	9653432 e	9574647 	9352841 e
BEDPL,NR,I551-I553,DEG2,FI	56518 	55293 	56196 	55827 	57289 	50764 
BEDPL,NR,I551-I553,DEG2,FR	: 	1114334 	1118572 	1117605 	1116910 	1114718 
BEDPL,NR,I551-I553,DEG2,HR	275360 	253764 	252311 	234279 	218573 	198359 
BEDPL,NR,I551-I553,DEG2,HU	157913 	138996 	137687 	135199 	131567 	61839 
BEDPL,NR,I551-I553,DEG2,IE	: 	48418 	48418 	50811 e	51697 	: 
BEDPL,NR,I551-I553,DEG2,IS	9260 	9177 	8947 	7879 	: 	: 
BEDPL,NR,I551-I553,DEG2,IT	2334129 	1823429 	1815017 	1848922 	1792182 	1794834 
BEDPL,NR,I551-I553,DEG2,LI	2378 	2434 	2041 	2011 	: 	: 
BEDPL,NR,I551-I553,DEG2,LT	21787 	19285 	17954 	17349 	16835 	17026 
BEDPL,NR,I551-I553,DEG2,LU	9415 	9294 	9046 	9066 	9302 	9370 
BEDPL,NR,I551-I553,DEG2,LV	12682 	11631 	9967 	9895 	8190 	8226 
BEDPL,NR,I551-I553,DEG2,MK	16553 	16428 	16003 	: 	: 	: 
BEDPL,NR,I551-I553,DEG2,MT	22546 	20731 	20688 	19307 	20734 	18828 
BEDPL,NR,I551-I553,DEG2,NL	527357 	525963 	534677 	542948 	557453 b	465923 
BEDPL,NR,I551-I553,DEG2,NO	110087 	105203 	107717 	111951 	115748 	107793 
BEDPL,NR,I551-I553,DEG2,PL	257460 	223651 	211007 	205305 	201073 	200626 
BEDPL,NR,I551-I553,DEG2,PT	243882 	229311 	232572 	213377 	207263 	211964 
