unit,purpose,duration,partner,accommod,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,R_CAMP,MT	: 	: c	: u	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,R_CAMP,NL	: 	24273.91 	18127.38 	16721.05 	21205.91 	24035.49 
THS_EUR,PERS,N1-3,DOM,R_CAMP,NO	22461.28 	24159.33 	27518.17 	20764.61 	18978.28 	: 
THS_EUR,PERS,N1-3,DOM,R_CAMP,PL	7689.26 	4864.94 	4466.87 	2809.29 b	15453.49 	16821.8 
THS_EUR,PERS,N1-3,DOM,R_CAMP,PT	1404.24 	948.77 u	5449.61 	3913.61 	1276.54 u	2002.99 
THS_EUR,PERS,N1-3,DOM,R_CAMP,RO	2102.27 	2351.56 	3257.69 	1435.02 	1192.17 	951.78 u
THS_EUR,PERS,N1-3,DOM,R_CAMP,SE	: 	32556.5 	36016.11 	26785.64 	: 	: 
THS_EUR,PERS,N1-3,DOM,R_CAMP,SI	1454.84 u	1708.11 u	928.05 u	1016.11 u	2366.05 	1392.57 
THS_EUR,PERS,N1-3,DOM,R_CAMP,SK	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,R_CAMP,UK	: 	: 	: 	: 	263616.56 	: u
THS_EUR,PERS,N1-3,DOM,R_HOT,AT	634925.55 	630998.44 	543219.18 	517841.85 	537292.61 	646426.89 
THS_EUR,PERS,N1-3,DOM,R_HOT,BE	105134.79 b	75492 	96950.12 	64051.7 	79513.14 	67775.94 
THS_EUR,PERS,N1-3,DOM,R_HOT,BG	25331.11 	16221.35 	13531.92 	19273.7 	13972.6 	12484.81 
THS_EUR,PERS,N1-3,DOM,R_HOT,CH	: 	310461.33 	319573.41 	275838.88 	333128.09 	227315.27 
THS_EUR,PERS,N1-3,DOM,R_HOT,CY	30678.92 	28583.06 	31354.04 	30516.64 	19043.09 b	30076.96 
THS_EUR,PERS,N1-3,DOM,R_HOT,CZ	93081.23 	82882.73 	56731.82 	51360.95 	48311.35 	50553.24 
THS_EUR,PERS,N1-3,DOM,R_HOT,DE	3772707.19 	3840308.19 	3781341.58 	3450623.44 	4105563.63 	3596621.29 
