unit,purpose,duration,partner,expend,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,REST,NL	342955.96 	317716.96 	278197.54 	267839.98 	295105.73 	309461.84 
THS_EUR,PERS,N1-3,DOM,REST,NO	506051.12 	472317.54 	521602.43 	588995.58 	591854 	: 
THS_EUR,PERS,N1-3,DOM,REST,PL	575368.27 	489181.16 	410648.83 	323611.38 b	747468.49 	677996.22 
THS_EUR,PERS,N1-3,DOM,REST,PT	240835.22 	194104.3 	216063.5 	150583.17 	80636.17 	95427.15 
THS_EUR,PERS,N1-3,DOM,REST,RO	210566.23 	197398.98 	168531.79 	156774.46 	147004.84 	102995.4 
THS_EUR,PERS,N1-3,DOM,REST,SI	20516.93 	17435.37 	14932.08 	21539.62 	20409.85 	19907.72 
THS_EUR,PERS,N1-3,DOM,REST,SK	117926.2 	81431.42 	59481.06 	47968.62 	40777.51 b	: 
THS_EUR,PERS,N1-3,DOM,REST,UK	: 	: 	: 	: 	2870023.2 	: u
THS_EUR,PERS,N1-3,DOM,TOTAL,AT	1756473.44 	1783930.58 	1677039.56 	1618274.85 	1498800.73 	1378005.39 
THS_EUR,PERS,N1-3,DOM,TOTAL,BE	346106.11 b	268493.33 	350499.98 	225324.19 	282559.75 	244673.7 
THS_EUR,PERS,N1-3,DOM,TOTAL,BG	173655.3 	110528.56 	103411.01 	162008.16 	131436.61 	117381.31 
THS_EUR,PERS,N1-3,DOM,TOTAL,CH	: 	902648.07 	867966.81 	802639.94 	891896.36 	723739.41 
THS_EUR,PERS,N1-3,DOM,TOTAL,CY	121395.98 	107557.56 	101756.47 	104826.99 	82144.51 	66034.09 
THS_EUR,PERS,N1-3,DOM,TOTAL,CZ	824972.3 	725201.02 	627175.44 	587701.59 	566020.34 	601801.5 
THS_EUR,PERS,N1-3,DOM,TOTAL,DE	13172793.97 	13489819.56 	13724107.36 	12723397.25 	14640156.16 	13659349.25 
THS_EUR,PERS,N1-3,DOM,TOTAL,DK	: 	3471648.75 	3254787.43 	3804051.36 b	3415845.5 b	1658801.99 
THS_EUR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	42264065.22 e	43788681.51 e	43967578.83 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EE	191024.59 	173756.59 	154671.28 	118488.01 	79050.4 	69581.92 
THS_EUR,PERS,N1-3,DOM,TOTAL,EL	: 	193492.75 	203928.14 	214047.73 	167120.75 	274190.62 
THS_EUR,PERS,N1-3,DOM,TOTAL,ES	10298583.43 	9264929.74 	8418607.26 b	6357128.08 	6372824.09 	6348553.43 
THS_EUR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	62362957.17 e	58347264.44 e	63165479.89 e	62300754.51 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	62463397.24 e	58545807.2 e	63442970.61 e	62533721.37 e
THS_EUR,PERS,N1-3,DOM,TOTAL,FI	2986597.16 	2884047.47 	2930696.68 	2838131.51 	3075514.35 	3179220.68 
THS_EUR,PERS,N1-3,DOM,TOTAL,FR	13613974.99 	11466563.94 	11481802.59 	12672459.76 	12266654.44 	12403848.56 
THS_EUR,PERS,N1-3,DOM,TOTAL,HR	136713.52 	123298.14 	154173.85 	235661.41 	282374.58 	238508.66 
THS_EUR,PERS,N1-3,DOM,TOTAL,HU	550419.97 	476846.01 	463800.01 	425073.92 	365598.41 	427972.81 
THS_EUR,PERS,N1-3,DOM,TOTAL,IE	1007655.72 	936724.73 	881141.98 	763306.94 	713903.17 	710416.44 
THS_EUR,PERS,N1-3,DOM,TOTAL,IT	3789711.8 	4006239.35 	3182930.75 	2664743.92 b	2715778.83 	3638688.57 
THS_EUR,PERS,N1-3,DOM,TOTAL,LT	113377.99 	103850.89 	98605.28 	84394.8 	70238.07 	76251.83 
THS_EUR,PERS,N1-3,DOM,TOTAL,LU	: 	2962.9 u	3619.04 u	5610.72 	8184.42 	3640.28 
THS_EUR,PERS,N1-3,DOM,TOTAL,LV	: 	87553.23 	89146.36 	87922.42 	97069.94 	98562.41 
THS_EUR,PERS,N1-3,DOM,TOTAL,MT	30590.96 	30276.51 	23404.06 	23056.86 b	17479.11 	20592.74 
THS_EUR,PERS,N1-3,DOM,TOTAL,NL	1447982.14 	1381433.35 	1238397.72 	1212119.69 	1161548.32 	1231365.15 
THS_EUR,PERS,N1-3,DOM,TOTAL,NO	2246129.42 	1984230.14 	1949039.44 	2073311.04 	1743094.64 	: 
THS_EUR,PERS,N1-3,DOM,TOTAL,PL	1859631.79 	1589957.15 	1386776.23 	1153214.2 b	2457222.72 	2637260.92 
THS_EUR,PERS,N1-3,DOM,TOTAL,PT	703420.78 	593336.11 	594962.29 	519632.98 	375931.28 	405358.43 
THS_EUR,PERS,N1-3,DOM,TOTAL,RO	820711.11 	768882.77 	666266 	632149.61 	591999.3 	474353.41 
THS_EUR,PERS,N1-3,DOM,TOTAL,SE	: 	2467830.78 	2413757.05 	1878830.75 	: 	: 
THS_EUR,PERS,N1-3,DOM,TOTAL,SI	93663.85 	86760.32 	77051.98 	99678.5 	98135.66 	97417.87 
THS_EUR,PERS,N1-3,DOM,TOTAL,SK	521409.95 	392681.4 	302901.57 	274000.48 	227522.69 b	231232.59 
THS_EUR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	: 	10481544.02 	: u
THS_EUR,PERS,N1-3,DOM,TRA,AT	357272.27 	354084.63 	359483.52 	366604.09 	344456.22 	274649.36 
THS_EUR,PERS,N1-3,DOM,TRA,BE	48694.32 b	35132.54 	41698.91 	35552.47 	40153.38 	39842.79 
