unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,AME_N,HR	: 	: u	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AME_N,HU	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AME_N,IE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_N,IT	: u	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AME_N,LT	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_N,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_N,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_N,MT	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AME_N,NL	: c	: 	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AME_N,NO	: u	: u	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AME_N,PL	: c	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME_N,PT	: c	: 	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AME_N,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME_N,SI	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_N,UK	: 	: 	: 	: 	8430.95 	: u
THS_EUR,PERS,N1-3,AME_N_OTH,HR	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_N_OTH,MT	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_N_OTH,SE	: 	: u	: 	: u	: 	: 
THS_EUR,PERS,N1-3,AR,EE	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AR,ES	: c	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AR,EU27	: 	: 	11.34 e	: 	: 	: 
THS_EUR,PERS,N1-3,AR,EU28	: 	: 	11.33 e	: 	: 	: 
THS_EUR,PERS,N1-3,AR,LT	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AR,NL	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AR,SE	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,AT	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,BE	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI,BG	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,CH	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,CY	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,DE	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,DK	: 	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI,EE	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI,EL	: 	: u	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,ES	: 	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,EU27	: 	: 	19186.97 e	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,EU28	: 	: 	19638 e	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,FI	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,HR	: u	: 	: u	: 	: u	: 
THS_EUR,PERS,N1-3,ASI,HU	507.23 u	849.05 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,IE	: c	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,LT	: 	: u	: u	838.43 u	: 	: u
THS_EUR,PERS,N1-3,ASI,LU	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,MT	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,ASI,NL	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,NO	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI,PL	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI,RO	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,UK	: 	: 	: 	: 	6316.35 	: u
THS_EUR,PERS,N1-3,ASI_OTH,AT	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,BE	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,BG	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,CH	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,CY	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,DE	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,DK	: 	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,EE	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,EL	: 	: u	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,ES	: 	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,EU27	: 	: 	18314.01 e	: 	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,EU28	: 	: 	18766.11 e	: 	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,FI	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,HR	: u	: 	: u	: 	: u	: 
