unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,ASI,BG	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,CH	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,CY	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,DE	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,DK	: 	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI,EE	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI,EL	: 	: u	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,ES	: 	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,FI	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,HR	: u	: 	: u	: 	: u	: 
THS_EUR,PERS,N1-3,ASI,HU	1754.55 u	1111.84 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,IE	: c	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,LT	: 	: u	: u	1330.71 u	: 	: u
THS_EUR,PERS,N1-3,ASI,LU	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,MT	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,ASI,NL	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,NO	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI,PL	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI,RO	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,UK	: 	: 	: 	: 	7636.99 	: u
THS_EUR,PERS,N1-3,ASI_OTH,AT	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,BE	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,BG	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,CH	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,CY	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,DE	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,DK	: 	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,EE	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,EL	: 	: u	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,ES	: 	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,FI	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,HR	: u	: 	: u	: 	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,HU	1754.55 u	1111.84 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,IE	: 	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,LT	: 	: u	: u	1330.71 u	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,LU	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,MT	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,NL	: c	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,NO	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,PL	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,RO	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,UK	: 	: 	: 	: 	6761.55 u	: u
THS_EUR,PERS,N1-3,AT,AT	357272.27 	354084.63 	359483.52 	366604.09 	344456.22 	274649.36 
THS_EUR,PERS,N1-3,AT,BE	: u	3716.55 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,BG	: 	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AT,CH	: 	20581.44 u	41542.93 	24614.68 	26296.52 u	20763.6 u
THS_EUR,PERS,N1-3,AT,CY	: c	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,CZ	7859.38 	9397.46 	7718.97 	11888.39 	12925.67 	9966.83 
THS_EUR,PERS,N1-3,AT,DE	247522.59 	344195.25 	324434.38 	230142.31 	325453.37 	302181.12 
THS_EUR,PERS,N1-3,AT,DK	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,EE	: c	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AT,EL	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,ES	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,FI	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,FR	22646.96 u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,HR	6696.37 	6152.46 	11100.72 	9804.98 	6984.73 	10773.24 u
THS_EUR,PERS,N1-3,AT,HU	3769.78 	3120.95 	1943.41 	3778.03 	0 	0 
THS_EUR,PERS,N1-3,AT,IE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,IT	31569.94 u	: u	: u	: u	15883.45 u	60360.5 
THS_EUR,PERS,N1-3,AT,LT	643.13 u	539.76 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,LU	: 	2620.51 u	1352.91 u	2031.29 u	1476.71 u	976.6 u
THS_EUR,PERS,N1-3,AT,LV	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,MT	: c	: u	: c	: u	: u	: u
THS_EUR,PERS,N1-3,AT,NL	10634.41 u	6252.57 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,NO	: u	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AT,PL	5993.4 	4648.99 	5964.55 	4780.92 b	: u	: u
THS_EUR,PERS,N1-3,AT,PT	: c	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AT,RO	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AT,SI	3370.42 	2208.41 	3191.51 	2601.4 	3598.91 	2664.45 
THS_EUR,PERS,N1-3,AT,SK	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,UK	: 	: 	: 	: 	7125.45 	: u
THS_EUR,PERS,N1-3,AU,AT	: c	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AU,DE	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,DK	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,HR	: u	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AU,IE	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AU,LT	: 	: 	: 	: 	: 	: u
