unit,purpose,duration,partner,tra_mode,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,TOTAL,BG	45059.9 	31148.87 	30343.6 	55359.02 	46571.05 	43801.03 
THS_EUR,PERS,N1-3,DOM,TOTAL,CH	: 	118944.89 	120249.82 	132256.62 	141567.77 	123727.08 
THS_EUR,PERS,N1-3,DOM,TOTAL,CY	16516.59 	15104.96 	22551.91 	20978.69 	18545.16 	25051.63 
THS_EUR,PERS,N1-3,DOM,TOTAL,CZ	179677.19 	155293.56 	142401.54 	165554.98 	154325.15 	160636.92 
THS_EUR,PERS,N1-3,DOM,TOTAL,DE	4475441.53 	4679568.74 	4862199.55 	4702603.45 	5324163.83 	5221603.08 
THS_EUR,PERS,N1-3,DOM,TOTAL,DK	: 	1144817.06 	1090399.88 	1442441.03 b	1151424.23 b	559160.88 
THS_EUR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	13542447.81 e	14008254.12 e	14247957.69 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EE	51301.77 	51540 	52775.3 	43109.65 	30034.29 	27557.45 
THS_EUR,PERS,N1-3,DOM,TOTAL,EL	: 	57618.09 	61263.97 	68462.06 	57060.37 	97398.39 
THS_EUR,PERS,N1-3,DOM,TOTAL,ES	2599161.52 	2379226.22 	2499062.45 b	1664788.38 	1657179.24 	1516959.82 
THS_EUR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	19179799.39 e	18685165.77 e	19654035.61 e	19465575.06 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	19225181.59 e	18756217.56 e	19747601.61 e	19566307.19 e
THS_EUR,PERS,N1-3,DOM,TOTAL,FI	848154.72 	810716.06 	882030.35 	889240.97 	961134.06 	1022274.5 
THS_EUR,PERS,N1-3,DOM,TOTAL,FR	4356984.73 	3446956.26 	3644821.51 	4091257.44 	4049704.81 	4153772.83 
THS_EUR,PERS,N1-3,DOM,TOTAL,HR	48611.29 	45633.67 	60085.01 	81998.91 	94948.94 	101937.3 
THS_EUR,PERS,N1-3,DOM,TOTAL,HU	116013.78 	105625.13 	106521.5 	109174.38 	99823.45 	118323.16 
THS_EUR,PERS,N1-3,DOM,TOTAL,IE	151431.47 	151875.05 	148963.18 	139753.28 	136253.44 	138798.03 
THS_EUR,PERS,N1-3,DOM,TOTAL,IT	1277557.98 	1225942.19 	948775.34 	931533.65 b	861375.59 	1156710.44 
THS_EUR,PERS,N1-3,DOM,TOTAL,LT	27929.28 	29269.11 	29471.22 	21948.86 	17490.77 	18025.1 
THS_EUR,PERS,N1-3,DOM,TOTAL,LU	: 	1078.83 u	1330.43 u	2728.27 	2993.02 	1192.86 
THS_EUR,PERS,N1-3,DOM,TOTAL,LV	: 	33681.03 	34848.9 	34867.21 	39572.14 	39809.41 
THS_EUR,PERS,N1-3,DOM,TOTAL,MT	2270.61 	2119.35 	1664.1 	1786.78 b	1486.95 	1490.04 
THS_EUR,PERS,N1-3,DOM,TOTAL,NL	343502.19 	290394.7 	286338.19 	326810.68 	291471.47 	323828.45 
THS_EUR,PERS,N1-3,DOM,TOTAL,NO	807965.49 	708187.68 	682815.64 	691918.29 	561067.82 	: 
THS_EUR,PERS,N1-3,DOM,TOTAL,PL	469856.73 	409577.97 	360063.48 	319913.33 b	760954.17 	820157.64 
THS_EUR,PERS,N1-3,DOM,TOTAL,PT	252813.84 	212606.88 	182693.94 	191237.98 	160014.95 	160806.31 
THS_EUR,PERS,N1-3,DOM,TOTAL,RO	309550.53 	271812.27 	246800.3 	235987.27 	214879.69 	119337.32 
THS_EUR,PERS,N1-3,DOM,TOTAL,SE	: 	572530.56 	636351.94 	517695.78 	: 	: 
