unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,OUT,Q2,EE	14394.26 	17898.86 	10846.39 	18982.01 	13923.51 	8679.24 u
THS_EUR,PERS,N1-3,OUT,Q2,EU27	: 	: 	: 	: 	185783.63 e	8842.01 u
THS_EUR,PERS,N1-3,OUT,Q2,EU28	: 	: 	: 	: 	185758.05 e	8840.61 u
THS_EUR,PERS,N1-3,OUT,Q2,NL	139174.06 	117714.34 	84842.03 	140595.4 	157528.22 	: 
THS_EUR,PERS,N1-3,OUT,Q2,RO	6646.71 u	14691.53 u	9041.33 u	6620.93 u	11324.34 u	: 
THS_EUR,PERS,N1-3,OUT,Q3,EA	: 	: 	: 	: 	269828.03 e	17765.78 e
THS_EUR,PERS,N1-3,OUT,Q3,EE	23881.56 	20777.15 	20279.73 	20385.69 	18220.81 	17763.59 u
THS_EUR,PERS,N1-3,OUT,Q3,EU27	: 	: 	: 	: 	283296.05 e	18096.72 u
THS_EUR,PERS,N1-3,OUT,Q3,EU28	: 	: 	: 	: 	283257.04 e	18093.86 u
THS_EUR,PERS,N1-3,OUT,Q3,NL	300555.64 	244944.71 	240470.71 	243733.82 	251574.12 	: 
THS_EUR,PERS,N1-3,OUT,Q3,RO	20298.21 	9904.35 u	11266.52 u	6293.6 u	8914.98 u	: 
THS_EUR,PERS,N1-3,OUT,Q4,EA	: 	: 	: 	: 	370298.07 e	36683.83 e
THS_EUR,PERS,N1-3,OUT,Q4,EE	48877.86 	39801.3 	38585.98 	35229.25 	35438.83 	36679.32 
THS_EUR,PERS,N1-3,OUT,Q4,EU27	: 	: 	: 	: 	380950.9 e	37367.18 e
THS_EUR,PERS,N1-3,OUT,Q4,EU28	: 	: 	: 	: 	380898.45 e	37361.28 e
THS_EUR,PERS,N1-3,OUT,Q4,NL	844377.45 	387754.34 	339565.49 	286772.97 	334813.8 	: 
THS_EUR,PERS,N1-3,OUT,Q4,RO	: c	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,OUT,TOTAL,AT	1310139.73 	1233538.56 	1134861.83 	1224971.76 	1066761.07 	1029678.17 
THS_EUR,PERS,N1-3,OUT,TOTAL,BE	953979.2 b	1055463.89 	767898.25 	781022.76 	766032.75 	597194.82 
THS_EUR,PERS,N1-3,OUT,TOTAL,BG	36572.82 	34315.43 	28090.02 	34432.14 	31802.33 	26904.84 
THS_EUR,PERS,N1-3,OUT,TOTAL,CH	: 	1599611.05 	1728871.71 	1292369.16 	1600393.83 	1085819.7 
THS_EUR,PERS,N1-3,OUT,TOTAL,CY	140968.45 	102434.18 	81520.91 	76849.22 	88243.22 	66785.61 
THS_EUR,PERS,N1-3,OUT,TOTAL,CZ	209937.03 	212929.39 	189231.86 	182949.07 	182319.59 	158040.12 
THS_EUR,PERS,N1-3,OUT,TOTAL,DE	5283352.38 	5174516.39 	5374725.31 	4346236.26 	4987903.06 	5136056.38 
THS_EUR,PERS,N1-3,OUT,TOTAL,DK	: 	890885.74 	909842.4 	788289.04 b	742353.51 b	405971.31 
THS_EUR,PERS,N1-3,OUT,TOTAL,EA	: 	: 	: 	: 	13785443.83 e	13822500.34 e
THS_EUR,PERS,N1-3,OUT,TOTAL,EE	94655.77 	85508.49 	75954.92 	83695.92 	76895.75 	68273.31 
THS_EUR,PERS,N1-3,OUT,TOTAL,EL	: 	30003.19 	35411.96 	32039.77 	22731.94 	21433.03 
THS_EUR,PERS,N1-3,OUT,TOTAL,ES	1393413.26 	1217349.27 	1142590.24 b	830159.34 	719265.58 	700212.43 
THS_EUR,PERS,N1-3,OUT,TOTAL,EU27	: 	: 	: 	: 	18399136.92 e	17581873.93 e
THS_EUR,PERS,N1-3,OUT,TOTAL,EU28	: 	: 	: 	: 	18629102.95 e	17763965.15 e
THS_EUR,PERS,N1-3,OUT,TOTAL,FI	1564388.03 	1435682.61 	1409035.23 	1347238.87 	1485339.41 	1526037.91 
THS_EUR,PERS,N1-3,OUT,TOTAL,FR	2272403.07 	1695512.41 	1873594.12 	1968398.99 	1746331.32 	1778389.97 
THS_EUR,PERS,N1-3,OUT,TOTAL,HR	179880.35 	130525.91 	214482.44 	193312.04 	228766.79 	181490.39 
THS_EUR,PERS,N1-3,OUT,TOTAL,HU	453533.29 	397817.32 	286459.36 	285363.03 	241577.65 	188056.08 
THS_EUR,PERS,N1-3,OUT,TOTAL,IE	795185.36 	567486.62 	634152.86 	550569.94 	497711.47 	501844.28 
THS_EUR,PERS,N1-3,OUT,TOTAL,IT	1206750.64 	946588.58 	908801.11 	691099.21 b	877962.71 	1094675.7 
THS_EUR,PERS,N1-3,OUT,TOTAL,LT	70858.58 	72826.53 	74264.29 	72784.61 	67989.96 	64268.37 
