THS_EUR,PERS,N1-3,OUT,TOTAL,DK	: 	909842.4 	788289.04 	742353.51 	405971.31 
THS_EUR,PERS,N1-3,OUT,TOTAL,EA	: 	: 	: 	13785443.83 e	13822500.34 e
THS_EUR,PERS,N1-3,OUT,TOTAL,EE	: 	75954.92 	83695.92 	76895.75 	68273.31 
THS_EUR,PERS,N1-3,OUT,TOTAL,EL	: 	35411.96 	32039.77 	22731.94 	21433.03 
THS_EUR,PERS,N1-3,OUT,TOTAL,ES	: 	1142590.24 	830159.34 	719265.58 	700212.43 
THS_EUR,PERS,N1-3,OUT,TOTAL,EU27	: 	20744935.37 e	: 	18399136.92 e	17581873.93 e
THS_EUR,PERS,N1-3,OUT,TOTAL,EU28	: 	20965028.19 e	: 	18629102.95 e	17763965.15 e
THS_EUR,PERS,N1-3,OUT,TOTAL,FI	: 	1409035.23 	1347238.87 	1485339.41 	1526037.91 
THS_EUR,PERS,N1-3,OUT,TOTAL,FR	: 	1873594.12 	1968398.99 	1746331.32 	1778389.97 
THS_EUR,PERS,N1-3,OUT,TOTAL,HR	: 	214482.44 	193312.04 	228766.79 	181490.39 
THS_EUR,PERS,N1-3,OUT,TOTAL,HU	: 	286459.36 	285363.03 	241577.65 	188056.08 
THS_EUR,PERS,N1-3,OUT,TOTAL,IE	: 	634152.86 	550569.94 	497711.47 	501844.28 
THS_EUR,PERS,N1-3,OUT,TOTAL,IT	: 	908801.11 	691099.21 	877962.71 	1094675.7 
THS_EUR,PERS,N1-3,OUT,TOTAL,LT	: 	74264.29 	72784.61 	67989.96 	64268.37 
THS_EUR,PERS,N1-3,OUT,TOTAL,LU	: 	205756.18 	207712.31 	152173.65 	143485.38 
THS_EUR,PERS,N1-3,OUT,TOTAL,LV	: 	80426.14 	52770.9 	56511.04 	68006.06 
THS_EUR,PERS,N1-3,OUT,TOTAL,MT	: 	39094 	32337.74 	34427.92 	28525.77 
THS_EUR,PERS,N1-3,OUT,TOTAL,NL	1372414.71 	783075.1 	758979.35 	821607.52 	849114.18 
THS_EUR,PERS,N1-3,OUT,TOTAL,PL	: 	413864.63 	336134.8 	537673.29 	621680.03 
THS_EUR,PERS,N1-3,OUT,TOTAL,PT	: 	87794.31 	72196.58 	41517.76 	58415.32 
THS_EUR,PERS,N1-3,OUT,TOTAL,RO	: 	28641.91 	16275.03 	27128.93 	25753.52 
THS_EUR,PERS,N1-3,OUT,TOTAL,SE	: 	1310148.81 	951723.83 	: 	: 
THS_EUR,PERS,N1-3,OUT,TOTAL,SI	: 	135780.71 	124434.36 	129866.3 	116000.69 
THS_EUR,PERS,N1-3,OUT,TOTAL,SK	: 	102096.31 	113925.42 	57115.69 	96250.99 
THS_EUR,PERS,N1-3,OUT,TOTAL,UK	: 	: 	: 	2471548.18 	1793850.77 
THS_EUR,PERS,N1-3,OUT,UNK,BE	953979.2 	767898.25 	781022.76 	766032.75 	597194.82 
THS_EUR,PERS,N1-3,OUT,UNK,BG	: 	28090.02 	34432.14 	31802.33 	26904.84 
THS_EUR,PERS,N1-3,OUT,UNK,CH	: 	1728871.71 	1292369.16 	1600393.83 	1085819.7 
THS_EUR,PERS,N1-3,OUT,UNK,CY	: 	81520.91 	76849.22 	88243.22 	66785.61 
THS_EUR,PERS,N1-3,OUT,UNK,CZ	: 	189231.86 	182949.07 	182319.59 	158040.12 
THS_EUR,PERS,N1-3,OUT,UNK,DE	: 	5374725.31 	4346236.26 	4987903.06 	5136056.38 
THS_EUR,PERS,N1-3,OUT,UNK,DK	: 	909842.4 	788289.04 	742353.51 	405971.31 
THS_EUR,PERS,N1-3,OUT,UNK,EA	: 	: 	: 	9443657.7 e	9333918.48 e
THS_EUR,PERS,N1-3,OUT,UNK,EL	: 	35411.96 	32039.77 	22731.94 	21433.03 
