unit,purpose,duration,partner,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
THS_EUR,PERS,N1-3,DOM,Y25-34,SK	114557.51 	65736.53 	72238.32 	59335.63 	80791.28 b	51386.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-34,UK	: 	: 	: 	: 	1791608.53 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,AT	615464.21 	652217.48 	595741.71 	599453.73 	554398.21 	527856.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,BE	127765.17 b	97984.94 	103793.16 	77479.18 	103688.12 	94817.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,BG	83576.39 	53683.41 	55910.99 	84549.79 	63970.56 	57163.71 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,CH	: 	292438.03 	290006.38 	290540.13 	280757.34 	240004.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,CY	53581.05 	46257.83 	49282.77 	56708.43 	38674.49 	37982.18 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,CZ	345984.96 	317911 	273467.44 	224786.55 	255375.15 	239528.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,DE	3843806.85 	4187422.22 	3868872.92 	3442009.35 	4173461.78 	4213576.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,DK	: 	885163.04 	1024865.65 	1000659.19 b	729113.21 b	451435.22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,EA	: 	: 	: 	14445580.83 e	15488071.6 e	16318714.03 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,EE	89265.54 	86301.69 	69796.71 	53519.25 	40350.82 	29792.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,EL	: 	76760.69 	85087.58 	87901.4 	65965.58 	117662.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,ES	4386431.91 	4081963.04 	3811439.09 b	2312875.37 	2318029.34 	2467016.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,EU27	: 	: 	22976317.41 e	19868417.1 e	22175209.48 e	23453097.91 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,EU28	: 	: 	23024428.19 e	19927964.21 e	22291835.98 e	23552550.71 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,FI	1036743.28 	1011913.93 	1024640.33 	1005939.95 	1120798.44 	1078493.54 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,FR	5088297.85 	4248537.61 	4503824.07 	4903355.86 	4974141.83 	5230779.86 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,HR	60855.04 	49406.38 	66510.74 	73200.8 	117977.62 	101317.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,HU	214811.43 	191230.27 	189914.61 	173429.5 	147387.94 	171496.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,IE	428507.74 	431877.52 	387806.6 	210466.92 	215537.95 	207351.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,IT	1395284.84 	1403580.16 	1323649.04 	1016332.94 b	1164169.4 	1604755.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y25-44,LT	45069.75 	39798.26 	38507.62 	32502.01 	29112.77 	34388.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
