unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,BE	953979.2 b	1055463.89 	767898.25 	781022.76 	766032.75 	597194.82 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,BG	36572.82 	34315.43 	28090.02 	34432.14 	31802.33 	26904.84 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,CH	: 	1599611.05 	1728871.71 	1292369.16 	1600393.83 	1085819.7 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,CY	140968.45 	102434.18 	81520.91 	76849.22 	88243.22 	66785.61 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,CZ	209937.03 	212929.39 	189231.86 	182949.07 	182319.59 	158040.12 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,DE	5283352.38 	5174516.39 	5374725.31 	: 	4987903.06 	5136056.38 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,DK	: 	890885.74 	909842.4 	788289.04 b	742353.51 b	405971.31 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,EA	: 	: 	: 	: 	13785443.83 e	13822500.34 e
THS_EUR,PERS,N1-3,OUT,ACT_INAC,EE	94655.77 	85508.49 	75954.92 	83695.92 	76895.75 	68273.31 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,EL	: 	30003.19 	35411.96 	32039.77 	22731.94 	21433.03 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,ES	1393413.26 	1217349.27 	1142590.24 b	830159.34 	719265.58 	700212.43 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,EU27	: 	: 	20744935.37 e	: 	18399136.92 e	17581873.93 e
THS_EUR,PERS,N1-3,OUT,ACT_INAC,EU28	: 	: 	20965028.19 e	: 	18629102.95 e	17763965.15 e
THS_EUR,PERS,N1-3,OUT,ACT_INAC,FI	1564388.03 	1435682.61 	1409035.23 	1347238.87 	1485339.41 	1526037.91 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,FR	2272403.07 	1695512.41 	1873594.12 	1968398.99 	1746331.32 	1778389.97 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,HR	179880.35 	130525.91 	214482.44 	193312.04 	228766.79 	181490.39 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,HU	453533.29 	397817.32 	286459.36 	285363.03 	241577.65 	188056.08 
