accommod,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,ES13	49.35 	48.38 	44.11 	40.3 	38.5 	36.7 
BEDPL,PC,ES2	46.33 	44 	41.25 	37.9 	36.2 	35.7 
BEDPL,PC,ES21	55.06 	53.06 	51.66 	47.3 	46.3 	47.5 
BEDPL,PC,ES22	46.24 	43.39 	39.37 	36 	33.6 	32.5 
BEDPL,PC,ES23	45.1 	45.85 	45.28 	43.7 	41 	39.5 
BEDPL,PC,ES24	39.99 	37.21 	33.57 	30.9 	29.2 	27.9 
BEDPL,PC,ES3	61.11 	57.53 	56.25 	51.5 	46.1 	48.5 
BEDPL,PC,ES30	61.11 	57.53 	56.25 	51.5 	46.1 	48.5 
BEDPL,PC,ES4	35.35 	33.36 	31.29 	28.8 	27.2 	27 
BEDPL,PC,ES41	38.43 	36.36 	34.42 	31.1 	29.6 	28.9 
BEDPL,PC,ES42	30.72 	28.98 	26.57 	25.1 	23.1 	22.9 
BEDPL,PC,ES43	33.85 	31.79 	29.91 	28.1 	27.2 	28.3 
BEDPL,PC,ES5	70.02 	69.22 	65.72 	63.9 	64.1 	63.6 
BEDPL,PC,ES51	63.44 	61.58 	58.64 	57.5 	57.1 	56.9 
BEDPL,PC,ES52	64.32 	63.29 	59.96 	56.9 	55.8 	53.9 
BEDPL,PC,ES53	81.8 	82.69 	78.4 	76.5 	78.2 	77.9 
BEDPL,PC,ES6	56.13 	54.93 	52.24 	49.2 	47.2 	45.4 
BEDPL,PC,ES61	56.59 	55.35 	52.68 	49.6 	47.7 	46 
BEDPL,PC,ES62	49.42 	48.42 	45.65 	43.2 	40.9 	38.2 
BEDPL,PC,ES63	63.73 	62.87 	55.69 	57.3 	51.4 	49.6 
BEDPL,PC,ES64	49.72 	51.36 	46.31 	49.9 	39.4 	39.8 
BEDPL,PC,ES7	80.33 	80.54 	75.68 	75.4 	71.7 	68.9 
BEDPL,PC,ES70	80.33 	80.54 	75.68 	75.4 	71.7 	68.9 
BEDPL,PC,EU27	46.09 	46.24 	: 	: 	: 	: 
BEDPL,PC,EU28	46.21 	46.32 	: 	: 	: 	: 
BEDPL,PC,FI	41.5 	40.25 	38.92 	38.3 	39 	40 
BEDPL,PC,FI1	41.67 	40.37 	39.05 	38.4 	39.1 	40.2 
BEDPL,PC,FI19	38.61 	36.69 	35.81 	34.9 	35.4 	37.7 
BEDPL,PC,FI1B	53.04 	52.29 	50.18 	49.1 	48.9 	50 
BEDPL,PC,FI1C	38.9 	39.56 	36.38 	37.7 	39.7 	40.5 
BEDPL,PC,FI1D	36.44 	35 	34.62 	33.8 	34.7 	35 
BEDPL,PC,FI2	32.33 	33.43 	32.13 	32.6 	32.6 	31 
BEDPL,PC,FI20	32.33 	33.43 	32.13 	32.6 	32.6 	31 
BEDPL,PC,FR	: c	46.3 	47 	46.5 	47.4 	48.3 
BEDPL,PC,FR1	60.5 	54.7 	60 	61.3 	61.8 	62.7 
BEDPL,PC,FR10	60.5 	54.7 	60 	61.3 	61.8 	62.7 
BEDPL,PC,FR2	: 	41.4 	42 	41.3 	41.5 	42.4 
BEDPL,PC,FR21	: 	41.3 	41 	42.2 	42.4 	41.7 
BEDPL,PC,FR22	: 	40.4 	41 	39.9 	40 	41.9 
BEDPL,PC,FR23	: 	40.2 	40 	41 	40.8 	41.4 
BEDPL,PC,FR24	: 	40.3 	40 	39.2 	40.1 	41.6 
BEDPL,PC,FR25	: 	43.1 	44 	43.6 	43.5 	44.4 
BEDPL,PC,FR26	: 	42.6 	43 	41.9 	41.7 	43 
BEDPL,PC,FR3	: 	44.4 	43 	41.9 	40.7 	41.5 
BEDPL,PC,FR30	: 	44.4 	43 	41.9 	40.7 	41.5 
BEDPL,PC,FR4	: 	42.9 	42 	41.6 	41.9 	41.6 
BEDPL,PC,FR41	: 	39.8 	39 	37.3 	38.9 	38.8 
BEDPL,PC,FR42	: 	46.5 	46 	46.6 	46 	45.2 
BEDPL,PC,FR43	: 	38.7 	39 	35.7 	36.6 	37 
BEDPL,PC,FR5	: 	42.6 	41 	39.5 	40.1 	41.4 
BEDPL,PC,FR51	: 	42 	40 	38.1 	38.5 	40.2 
BEDPL,PC,FR52	: 	42.1 	41 	39.1 	39.1 	40.4 
BEDPL,PC,FR53	: 	44.5 	44 	42.2 	44.3 	44.9 
BEDPL,PC,FR6	: 	40.9 	40 	38.3 	39 	39.7 
BEDPL,PC,FR61	: 	43.7 	43 	40.9 	41.4 	41.1 
BEDPL,PC,FR62	: 	39.1 	38 	36.9 	37.7 	39.1 
BEDPL,PC,FR63	: 	35.2 	34 	31.8 	33.2 	34.9 
BEDPL,PC,FR7	: 	43.6 	42 	40.6 	43.1 	43.3 
BEDPL,PC,FR71	: 	44.9 	43 	41.7 	44.4 	44.4 
BEDPL,PC,FR72	: 	37.5 	37 	35.6 	37.1 	38.2 
BEDPL,PC,FR8	: 	46.2 	47 	45.6 	46.6 	47.7 
BEDPL,PC,FR81	: 	42.1 	42 	41.4 	42.7 	43.5 
BEDPL,PC,FR82	: 	46.5 	48 	46.5 	47.2 	48.5 
BEDPL,PC,FR83	: 	56.8 	55 	51.5 	53.8 	54.3 
BEDPL,PC,FRA	: 	49.8 	50 	45.9 	: 	: 
BEDPL,PC,FRA1	: 	49 	49 	42.8 	: 	: 
BEDPL,PC,FRA2	: 	57.1 	59 	51.5 	56.2 	53.5 
BEDPL,PC,FRA3	: 	32.3 	32 	33.4 	34.2 	38 
BEDPL,PC,FRA4	: 	52.6 	52 	49 	52.6 	53.2 
BEDPL,PC,FRA5	: 	45.6 	0 	: 	: 	: 
BEDPL,PC,FRB	42.1 	: 	: 	: 	: 	: 
BEDPL,PC,FRB0	42.1 	: 	: 	: 	: 	: 
BEDPL,PC,FRC	42.8 	: 	: 	: 	: 	: 
BEDPL,PC,FRC1	43.9 	: 	: 	: 	: 	: 
BEDPL,PC,FRC2	40.1 	: 	: 	: 	: 	: 
BEDPL,PC,FRD	43.4 	: 	: 	: 	: 	: 
BEDPL,PC,FRD1	44.8 	: 	: 	: 	: 	: 
BEDPL,PC,FRD2	41.3 	: 	: 	: 	: 	: 
BEDPL,PC,FRE	43.2 	: 	: 	: 	: 	: 
BEDPL,PC,FRE1	43.9 	: 	: 	: 	: 	: 
BEDPL,PC,FRE2	41.6 	: 	: 	: 	: 	: 
BEDPL,PC,FRF	45.8 	: 	: 	: 	: 	: 
BEDPL,PC,FRF1	49.2 	: 	: 	: 	: 	: 
BEDPL,PC,FRF2	43.5 	: 	: 	: 	: 	: 
BEDPL,PC,FRF3	42.3 	: 	: 	: 	: 	: 
BEDPL,PC,FRG	42.4 	: 	: 	: 	: 	: 
BEDPL,PC,FRG0	42.4 	: 	: 	: 	: 	: 
BEDPL,PC,FRH	44 	: 	: 	: 	: 	: 
BEDPL,PC,FRH0	44 	: 	: 	: 	: 	: 
BEDPL,PC,FRI	44.2 	: 	: 	: 	: 	: 
BEDPL,PC,FRI1	45 	: 	: 	: 	: 	: 
BEDPL,PC,FRI2	36.5 	: 	: 	: 	: 	: 
BEDPL,PC,FRI3	45.4 	: 	: 	: 	: 	: 
BEDPL,PC,FRJ	41.9 	: 	: 	: 	: 	: 
BEDPL,PC,FRJ1	43.6 	: 	: 	: 	: 	: 
BEDPL,PC,FRJ2	40.5 	: 	: 	: 	: 	: 
BEDPL,PC,FRK	44.6 	: 	: 	: 	: 	: 
BEDPL,PC,FRK1	38.8 	: 	: 	: 	: 	: 
BEDPL,PC,FRK2	45.8 	: 	: 	: 	: 	: 
BEDPL,PC,FRL	48.6 	: 	: 	: 	: 	: 
BEDPL,PC,FRL0	48.6 	: 	: 	: 	: 	: 
BEDPL,PC,FRM	58.3 	: 	: 	: 	: 	: 
BEDPL,PC,FRM0	58.3 	: 	: 	: 	: 	: 
BEDPL,PC,FRY	: c	: 	: 	: 	: 	: 
BEDPL,PC,FRY1	55.7 u	: 	: 	: 	: 	: 
BEDPL,PC,FRY2	59.5 u	: 	: 	: 	: 	: 
BEDPL,PC,FRY3	33.6 u	: 	: 	: 	: 	: 
BEDPL,PC,FRY4	56.3 	: 	: 	: 	: 	: 
BEDPL,PC,FRY5	: c	: 	: 	: 	: 	: 
