accommod,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDRM,PC,GE250,EA	72.39 	71.64 	69.78 	: 	: 	: 
BEDRM,PC,GE250,EL	64.1 	61.7 	60.7 	59.3 	57.2 	57.2 
BEDRM,PC,GE250,ES	79.75 	80.22 	76.65 	75.1 	73.6 	72.1 
BEDRM,PC,GE250,EU27	71.57 	71.95 	70.45 	: 	: 	: 
BEDRM,PC,GE250,EU28	71.48 	71.79 	70.32 	: 	: 	: 
BEDRM,PC,GE250,HR	66.6 	61.3 	61.6 	60.4 	58.6 	: 
BEDRM,PC,GE250,HU	70.6 	67.9 	65.3 	63.7 	: 	: 
BEDRM,PC,GE250,IS	: 	: 	: 	79.7 	72.9 	67.1 
BEDRM,PC,GE250,LT	65.3 	63.4 	58.2 	59.8 	60.5 	61.1 
BEDRM,PC,GE250,LV	57.35 	49.3 	: c	: c	: 	: c
BEDRM,PC,GE250,MT	78.4 	76.8 	75 	72.8 	69.9 	66.5 
BEDRM,PC,GE250,NO	: 	55.7 	56.9 	57.2 	57.5 	57.6 
BEDRM,PC,GE250,PL	69.2 	66.3 	65.1 	60.5 	60.8 	59 
BEDRM,PC,GE250,RO	: 	: 	: 	45.4 	43.7 	42.1 
BEDRM,PC,GE250,SE	70.76 	70.88 	68.72 	65.9 	63.8 	64.6 
BEDRM,PC,GE250,UK	: 	78 	78.3 	: 	75.9 	: 
BEDRM,PC,LT25,BG	21.3 	20.5 	20.6 	20.4 	20.6 	20.3 
BEDRM,PC,LT25,CY	41.1 	39 	32 	34.2 	: 	: 
BEDRM,PC,LT25,CZ	29.3 	26 	26.9 	26.8 	26.4 	20 
BEDRM,PC,LT25,EA	36.29 	34.86 	32.33 	: 	: 	: 
BEDRM,PC,LT25,EL	25.4 	23.9 	24 	23.7 	23 	23 
BEDRM,PC,LT25,ES	39.21 	37.87 	34.9 	31.1 	29.1 	28.7 
BEDRM,PC,LT25,EU27	38.48 	41.78 	40.1 	: 	: 	: 
BEDRM,PC,LT25,EU28	38.6 	41.77 	40.08 	: 	: 	: 
BEDRM,PC,LT25,HR	42.6 	41.3 	39.4 	38 	36.2 	: 
BEDRM,PC,LT25,HU	34.3 	32.6 	30.6 	29.2 	: 	: 
