unit,purpose,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,T,HU	18161591 	17999573 	18573170 	17894808 	16457775 	20305731 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,IE	10362955 	9993138 	9516756 	8352057 	7896544 	8022285 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3855000 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,IT	41064916 	44060794 	34577378 	36329218 b	33327995 	42155530 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,LT	3227905 	3161710 	3402998 	3396253 	3121013 	3283417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,LU	: 	20197 u	22350 u	34234 	66854 	54737 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,LV	: 	4111422 	3868018 	4115911 	4229386 	4741715 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,MT	415493 	405279 	360284 	339022 b	321574 	330686 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,NL	27417182 	27726435 	27375257 	29020721 	29652370 	33326859 b	: 	: 	: 	: 	: 	15412000 	15291000 	15544000 	15976000 	16314000 	15782000 	16394000 	14995000 	14436000 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,NO	16578183 	15870591 	15688166 	16927114 	13484748 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,PL	52558113 	48637419 	44086369 	41937463 b	50630835 	47242930 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,PT	17334510 	16241852 	15781021 	14733797 	14346515 	13546352 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,RO	22573414 	21929908 	20696355 	21697083 	21005630 	19599109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,SE	: 	34348522 	35077922 	30735810 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
