unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,OUT,ACT_INAC,PT	933391 	906879 	758295 	605559 	461091 	648966 
NR,PERS,N1-3,OUT,ACT_INAC,RO	326100 	379231 	282780 	181106 	310572 	233700 
NR,PERS,N1-3,OUT,ACT_INAC,SE	: 	5714394 	6219921 	6154145 	: 	: 
NR,PERS,N1-3,OUT,ACT_INAC,SI	2781350 	2351682 	2502671 	2281716 	2364491 	1918814 
NR,PERS,N1-3,OUT,ACT_INAC,SK	2225911 	1639153 	1189078 	1522791 	814994 b	938147 
NR,PERS,N1-3,OUT,ACT_INAC,UK	: 	: 	: 	: 	18053608 	17442447 
NR,PERS,N1-3,OUT,EDUC,AT	833222 	841921 	668421 	872958 	974402 	872775 
NR,PERS,N1-3,OUT,EDUC,EA	: 	: 	: 	: 	3735712 e	3768327 e
NR,PERS,N1-3,OUT,EDUC,EE	88694 u	93792 u	46434 u	124287 	97154 	: u
NR,PERS,N1-3,OUT,EDUC,ES	1261038 	662556 	462931 b	624526 	758291 	784058 
NR,PERS,N1-3,OUT,EDUC,EU27	: 	: 	3865270 e	: 	3933805 e	4729842 e
NR,PERS,N1-3,OUT,EDUC,EU28	: 	: 	4342530 e	: 	3933263 e	4729096 e
NR,PERS,N1-3,OUT,EDUC,FI	583220 	827311 	681600 	720472 	674736 	891629 
NR,PERS,N1-3,OUT,EDUC,HR	202260 u	: 	421333 u	416415 	: 	: 
NR,PERS,N1-3,OUT,EDUC,LU	: 	: 	: 	: 	: 	95987 
NR,PERS,N1-3,OUT,EDUC,LV	: 	: c	: u	: u	117797 u	155328 u
NR,PERS,N1-3,OUT,EDUC,MT	: 	32852 	20035 u	: 	: 	: 
NR,PERS,N1-3,OUT,EDUC,NL	1360531 	992195 	952842 	902712 	881083 	656746 
NR,PERS,N1-3,OUT,EDUC,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,EDUC,PT	56731 u	86075 u	131822 u	: 	: u	: u
NR,PERS,N1-3,OUT,EDUC,RO	: c	: u	: u	: u	: u	: u
NR,PERS,N1-3,OUT,EDUC,SI	: 	338143 	295935 	380317 	312187 	359314 
NR,PERS,N1-3,OUT,EMP,AT	5076675 	5012146 	4381081 	4395547 	4029926 	4224959 
NR,PERS,N1-3,OUT,EMP,EA	: 	: 	: 	: 	19358144 e	21650245 e
NR,PERS,N1-3,OUT,EMP,EE	618506 	593709 	606363 	700095 	604463 	728394 
NR,PERS,N1-3,OUT,EMP,ES	6283848 	5584603 	5811407 b	4612620 	3634952 	4296707 
NR,PERS,N1-3,OUT,EMP,EU27	: 	: 	27061289 e	: 	20459177 e	24673260 e
NR,PERS,N1-3,OUT,EMP,EU28	: 	: 	28121658 e	: 	20456360 e	24669368 e
NR,PERS,N1-3,OUT,EMP,FI	4669397 	4091183 	4117772 	3875418 	3887388 	4359546 
NR,PERS,N1-3,OUT,EMP,HR	943906 	: 	955773 	1065653 	: 	: 
NR,PERS,N1-3,OUT,EMP,LU	: 	: 	: 	: 	: 	721089 
NR,PERS,N1-3,OUT,EMP,LV	: 	713935 	664701 	531014 	528169 	628709 
NR,PERS,N1-3,OUT,EMP,MT	: 	159592 	111234 	: 	: 	: 
NR,PERS,N1-3,OUT,EMP,NL	6160796 	5663346 	5604132 	5333897 	5455942 	5781395 
NR,PERS,N1-3,OUT,EMP,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,EMP,PT	241113 	586960 	511211 	: 	250942 	442123 
