unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,WORLD,TOTAL,FI	46319231 	44509760 	44730670 	43275161 	45417807 	45839318 
NR,PERS,N1-3,WORLD,TOTAL,FR	192579312 	171381050 	174323992 	196313647 	192901010 	195843901 
NR,PERS,N1-3,WORLD,TOTAL,HR	4057965 	3917900 	5638861 	7358379 	7775021 	7957203 
NR,PERS,N1-3,WORLD,TOTAL,HU	24105736 	23529877 	23100166 	21887961 	19789177 	23152571 
NR,PERS,N1-3,WORLD,TOTAL,IE	14969680 	13430326 	13089478 	11656187 	11143244 	11192881 
NR,PERS,N1-3,WORLD,TOTAL,IT	48265584 	50041595 	40897010 	42172406 b	39075094 	50095552 
NR,PERS,N1-3,WORLD,TOTAL,LT	4102092 	4047017 	4283568 	4237424 	3955144 	4123445 
NR,PERS,N1-3,WORLD,TOTAL,LU	: 	982090 	1235032 	1324352 	1094371 	1045806 
NR,PERS,N1-3,WORLD,TOTAL,LV	: 	4997769 	4718739 	4870293 	4984433 	5652253 
NR,PERS,N1-3,WORLD,TOTAL,MT	686936 	625845 	526112 	485615 b	470418 	450374 
NR,PERS,N1-3,WORLD,TOTAL,NL	36596123 	36036152 	35457282 	37023296 	37588884 	41533613 
NR,PERS,N1-3,WORLD,TOTAL,NO	21362988 	20542670 	20796370 	22358365 	18087274 	: 
NR,PERS,N1-3,WORLD,TOTAL,PL	57157071 	52904608 	48125924 	45571391 b	54386097 	50912065 
NR,PERS,N1-3,WORLD,TOTAL,PT	18267901 	17148730 	16539316 	15339355 	14807606 	14195318 
NR,PERS,N1-3,WORLD,TOTAL,RO	22899514 	22309139 	20979135 	21878189 	21316203 	19832809 
NR,PERS,N1-3,WORLD,TOTAL,SE	: 	40062916 	41297843 	36889955 	: 	: 
NR,PERS,N1-3,WORLD,TOTAL,SI	5315759 	4788057 	4691954 	4974938 	5225547 	4913394 
NR,PERS,N1-3,WORLD,TOTAL,SK	11263401 	10330362 	8232165 	7321260 	6340234 b	4857107 
NR,PERS,N1-3,WORLD,TOTAL,UK	: 	: 	: 	: 	136695428 	138030669 
NR,PERS,N1-3,WORLD,UNK,AT	20951845 	21116817 	18993653 	20023234 	18755481 	18269954 
NR,PERS,N1-3,WORLD,UNK,BE	11552461 b	11235598 	10453466 	8811487 	8867014 	7529520 
NR,PERS,N1-3,WORLD,UNK,BG	6170654 	3709486 	3330047 	4490820 	4212700 	4166656 
NR,PERS,N1-3,WORLD,UNK,CH	: 	15443308 	16412269 	14755502 	16066449 	14003177 
NR,PERS,N1-3,WORLD,UNK,CY	2568437 	2390784 	2268057 	1993481 	1995824 	2236799 
NR,PERS,N1-3,WORLD,UNK,CZ	41734050 	37217274 	34307712 	39851274 	36079523 	38546932 
NR,PERS,N1-3,WORLD,UNK,DE	194010197 	208317536 	214352678 	194436947 	210754951 	200168867 
NR,PERS,N1-3,WORLD,UNK,DK	: 	31658157 	35726462 	34963670 	34333596 b	30296172 
NR,PERS,N1-3,WORLD,UNK,EA	: 	: 	: 	: 	730041216 e	777612277 e
NR,PERS,N1-3,WORLD,UNK,EL	: 	3301238 	3513955 	3832504 	3087896 	5709271 
NR,PERS,N1-3,WORLD,UNK,ES	186418273 	176260975 	168521407 b	167371214 	169389000 	172801146 
NR,PERS,N1-3,WORLD,UNK,EU27	: 	: 	: 	: 	1041243941 e	1099333900 e
NR,PERS,N1-3,WORLD,UNK,EU28	: 	: 	: 	: 	1049002459 e	1107265628 e
NR,PERS,N1-3,WORLD,UNK,FI	46319231 	44509760 	44730670 	43275161 	45417807 	45839318 
NR,PERS,N1-3,WORLD,UNK,FR	192579312 	171381050 	174323992 	196313647 	192901010 	195843901 
NR,PERS,N1-3,WORLD,UNK,HR	4057965 	3917900 	5638861 	7358379 	7775021 	7957203 
NR,PERS,N1-3,WORLD,UNK,HU	24105736 	23529877 	23100166 	21887961 	19789177 	23152571 
