unit,purpose,duration,partner,tripdest,geo\time	2017 	2016 	2015 	2014 	2013 
NR,PERS,N1-3,DOM,SEA,LV	: 	328697 	: 	: 	160291 
NR,PERS,N1-3,DOM,SEA,MT	: 	245484 	: 	: 	321574 
NR,PERS,N1-3,DOM,SEA,NL	: 	3658357 	: 	: 	3759326 
NR,PERS,N1-3,DOM,SEA,NO	1772079 	1921105 	1944989 	2199990 	1705772 
NR,PERS,N1-3,DOM,SEA,PL	: 	4250967 	: 	: 	4003400 
NR,PERS,N1-3,DOM,SEA,PT	: 	3496463 	: 	: 	3696703 
NR,PERS,N1-3,DOM,SEA,RO	1115755 	1254935 	: 	: 	890482 
NR,PERS,N1-3,DOM,SEA,SE	: 	228219 u	: 	: 	: 
NR,PERS,N1-3,DOM,SEA,SI	: 	464316 	: 	: 	505821 
NR,PERS,N1-3,DOM,SEA,SK	: 	: 	: 	: 	: b
NR,PERS,N1-3,DOM,SEA,UK	: 	: 	: 	: 	20831067 
NR,PERS,N1-3,DOM,TOTAL,AT	13388734 	13701664 	: 	: 	12376376 
NR,PERS,N1-3,DOM,TOTAL,BE	4180516 	3203589 	: 	: 	3148329 
NR,PERS,N1-3,DOM,TOTAL,BG	5733767 	3364116 	: 	: 	3846551 
NR,PERS,N1-3,DOM,TOTAL,CH	: 	6893722 	6853942 	: 	7743597 
NR,PERS,N1-3,DOM,TOTAL,CY	1949968 	1903611 	: 	: 	1537768 
NR,PERS,N1-3,DOM,TOTAL,CZ	38692095 	34237876 	: 	: 	33439028 
NR,PERS,N1-3,DOM,TOTAL,DE	158998081 	168656004 	: 	: 	175945063 
NR,PERS,N1-3,DOM,TOTAL,DK	: 	26815133 	: 	: 	29541173 
NR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	: 	676740214 e
NR,PERS,N1-3,DOM,TOTAL,EE	4139192 	4172243 	: 	: 	2341047 
NR,PERS,N1-3,DOM,TOTAL,EL	: 	3060303 	: 	: 	2923276 
NR,PERS,N1-3,DOM,TOTAL,ES	177239149 	168452946 	: 	: 	163427930 
NR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	: 	: 	976196196 e
NR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	: 	: 	981878207 e
NR,PERS,N1-3,DOM,TOTAL,FI	39209211 	37846876 	: 	: 	39005051 
NR,PERS,N1-3,DOM,TOTAL,FR	179119303 	160888964 	: 	: 	181954190 
