c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,DE14	473771 	466747 	450362 	416045 	388424 	383782 	346693 	306709 	286110 	302880 	295012 	280273 	260889 	239325 	223571 	220808 	205823 	212714 	205746 	193689 	188958 	181025 	180261 	: 	: 	: 	: 	196500 
FOR,NR,I551,DE2	8463516 	7746420 	7701621 	7190009 	6870113 	6593125 	6087625 	5860895 	5177313 	5378660 	5436721 	5130427 	4719686 	4431374 	4026237 	4026897 	4066539 	4363075 	3901162 	3748497 	3481683 	3355757 	3307908 	3332308 	3261257 	3607285 	3687457 	4310190 
FOR,NR,I551,DE21	5298881 	4756107 	4771686 	4448828 	4243657 	4043584 	3706676 	3606222 	3097037 	3173078 	3168058 	2935414 	2676661 	2481050 	2237858 	2239944 	2295716 	2543888 	2213766 	2138378 	1963331 	1855753 	1808131 	: 	: 	: 	: 	2450790 
FOR,NR,I551,DE22	281422 	262181 	243960 	232396 	223959 	223113 	209981 	203227 	217249 	235584 	245055 	201750 	191852 	193410 	184782 	164329 	171473 	152066 	135844 	125468 	110165 	109178 	111330 	: 	: 	: 	: 	108355 
FOR,NR,I551,DE23	282984 	272882 	258672 	249335 	233316 	238423 	232211 	222231 	203057 	212522 	210244 	197602 	192134 	191078 	179678 	181614 	178202 	181041 	180754 	191456 	168192 	147827 	150807 	: 	: 	: 	: 	184715 
FOR,NR,I551,DE24	202919 	202016 	192304 	170993 	165936 	165003 	159634 	150715 	139119 	153149 	149823 	148441 	140631 	140946 	137958 	137259 	137380 	137673 	128676 	122207 	128948 	124420 	129998 	: 	: 	: 	: 	149299 
FOR,NR,I551,DE25	1053403 	1002827 	1008702 	958703 	930980 	885841 	826702 	773859 	677559 	751404 	781658 	785144 	728747 	697304 	631353 	629413 	617764 	684894 	604747 	590862 	562131 	574350 	561588 	: 	: 	: 	: 	650453 
FOR,NR,I551,DE26	339506 	335040 	325634 	307413 	296039 	282133 	266189 	259534 	251389 	267853 	265771 	269615 	251923 	248604 	229599 	244641 	238544 	230411 	230445 	208583 	195719 	199668 	208442 	: 	: 	: 	: 	304410 
FOR,NR,I551,DE27	1004401 	915367 	900663 	822341 	776226 	755028 	686232 	645107 	591903 	585070 	616112 	592461 	537738 	478982 	425009 	429697 	427460 	433102 	406930 	371543 	353197 	344561 	337612 	: 	: 	: 	: 	462168 
FOR,NR,I551,DE3	4347342 	4267764 	4135560 	3812615 	3646524 	3463940 	3042535 	2744169 	2409338 	2317972 	2196722 	2001123 	1708706 	1463359 	1165237 	1134005 	1096886 	1151842 	916618 	855129 	808470 	728745 	658065 	653193 	641713 	717792 	551001 	637192 
FOR,NR,I551,DE30	4347342 	4267764 	4135560 	3812615 	3646524 	3463940 	3042535 	2744169 	2409338 	2317972 	2196722 	2001123 	1708706 	1463359 	1165237 	1134005 	1096886 	1151842 	916618 	855129 	808470 	728745 	658065 	653193 	641713 	717792 	551001 	637192 
FOR,NR,I551,DE4	335142 	329496 	319094 	301646 	270513 	273988 	270765 	276806 	250804 	293435 	274785 	267346 	230575 	212297 	202072 	199718 	207925 	199512 	150803 	142571 	140223 	141348 	134835 	85013 	65498 	71254 	: 	: 
FOR,NR,I551,DE40	335142 	329496 	319094 	301646 	270513 	273988 	270765 	276806 	250804 	293435 	274785 	267346 	230575 	212297 	202072 	199718 	207925 	199512 	150803 	142571 	140223 	141348 	134835 	: 	: 	: 	: 	: 
FOR,NR,I551,DE5	240037 	235333 	236982 	220697 	211073 	193301 	202088 	194149 	184033 	178095 	184016 	164933 	151972 	143207 	122476 	122122 	121803 	143440 	119848 	116750 	111707 	103713 	99918 	102134 	86659 	109356 	106248 	101549 
FOR,NR,I551,DE50	240037 	235333 	236982 	220697 	211073 	193301 	202088 	194149 	184033 	178095 	184016 	164933 	151972 	143207 	122476 	122122 	121803 	143440 	119848 	116750 	111707 	103713 	99918 	102134 	86659 	109356 	106248 	101549 
FOR,NR,I551,DE6	1417687 	1346915 	1296471 	1254520 	1139815 	1104443 	977890 	892783 	783196 	722750 	706569 	695095 	601769 	588110 	530105 	505760 	504946 	545827 	512164 	504542 	479850 	451637 	454088 	452476 	477865 	512866 	545042 	634032 
FOR,NR,I551,DE60	1417687 	1346915 	1296471 	1254520 	1139815 	1104443 	977890 	892783 	783196 	722750 	706569 	695095 	601769 	588110 	530105 	505760 	504946 	545827 	512164 	504542 	479850 	451637 	454088 	452476 	477865 	512866 	545042 	634032 
FOR,NR,I551,DE7	3721533 	3580673 	3530127 	3265465 	3167523 	3095013 	2832416 	2744501 	2484974 	2674648 	2758777 	2687546 	2494140 	2444009 	2230500 	2287775 	2401300 	2431046 	2217363 	2178332 	2095205 	2008513 	1988229 	1883168 	1854000 	2042376 	2080953 	2240735 
FOR,NR,I551,DE71	3340340 	3239435 	3207347 	2952340 	2851199 	2753661 	2517665 	2422365 	2158776 	2349519 	2405696 	2348986 	2164934 	2119274 	1909185 	1927313 	2011641 	2064118 	1861266 	1842097 	1758404 	1701991 	1699899 	: 	: 	: 	: 	1826564 
FOR,NR,I551,DE72	104462 	100637 	99930 	94678 	95127 	92902 	92181 	87762 	93678 	96790 	101491 	94176 	94866 	96489 	97823 	103846 	108442 	108081 	97933 	92049 	86271 	85399 	82088 	: 	: 	: 	: 	108725 
FOR,NR,I551,DE73	276731 	240601 	222850 	218447 	221197 	248450 	222570 	234374 	232520 	228339 	251590 	244384 	234340 	228246 	223492 	256616 	281217 	258847 	258164 	244186 	250530 	221123 	206242 	: 	: 	: 	: 	305446 
