unit,partner,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,AFR,I551-I553,ME	: 	2338 	1881 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,MK	1362 	634 	907 	656 	739 	328 	403 	226 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,MT	10738 e	10263 e	15283 e	65469 e	66217 e	48840 	44781 	28573 	20053 	: 	: 	14045 	: 	17504 	20670 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,NL	151844 	137411 	130123 	135117 	120911 b	111535 	114400 	103200 	83400 	83800 	91400 	92700 	101100 	117300 	135800 	172800 	141000 	107778 	108000 	79826 	72000 	56000 	52000 	44000 	: 	: 	: 	: 
NR,AFR,I551-I553,NO	: 	18273 	21875 	25999 	24691 	21814 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8576 	7130 	7964 	7956 	9316 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,PL	19391 	19463 	18513 	18537 	18156 	15090 	11312 	11186 	10409 	8362 	8394 	8531 	7364 	7590 	7511 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,PT	179280 	151164 	149184 	151781 	124705 	96330 	84319 	75446 	73882 	67619 	70030 	58930 	48328 	48259 	44889 	45210 	44101 	46210 	36476 	40427 	36819 	40144 	37195 	46476 	55767 	54810 	57606 	63290 
NR,AFR,I551-I553,RO	18941 	18749 	18662 	18514 	13751 	14078 b	10292 	8875 	7437 	7882 	6979 	7945 	7503 	7151 	4685 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,RS	: 	9204 	10946 	17801 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,SE	26506 e	26120 e	29905 e	25182 e	21696 e	19515 e	20064 	14564 	17379 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,SI	9066 	7590 	6410 	5376 	5618 	4754 b	4120 	3222 	2775 	3681 	2069 	1385 	1526 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,SK	6962 	6678 	7056 	5226 	6500 	6362 	3503 	3228 	2456 	3840 	5866 	2998 	2576 	2796 	2822 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,UK	: 	704970 	815101 	: 	: 	356181 b	283385 	325233 	326025 	297132 	327441 	355534 	314572 	295190 	290000 	283000 	288565 	284000 	388753 	387000 	564567 	253850 	768957 	: 	: 	245000 	243000 	250000 
NR,AFR,I552,AT	6657 	6356 	4613 	4564 	4187 	4071 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,BE	6222 	5428 	4653 	4024 	4113 	3557 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,BG	488 	214 	70 	221 	40 	48 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,CH	: 	5216 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,CY	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,CZ	5051 	4345 	3104 	3222 	2779 	2323 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,DE	16052 	15001 	16917 	14214 	12945 	12222 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,DK	2457 e	1874 e	778 e	234 e	326 	220 b	147 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,EA	361991 e	334982 	292294 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,EE	289 	275 	247 	223 	174 	158 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,EL	30463 e	31487 e	32642 e	26677 e	23735 	25191 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,ES	87238 	77438 	67763 	58023 	45844 	32996 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,EU27	: u	780417 	789922 	307946 e	259955 e	234599 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,EU28	: u	795893 	800374 	316049 e	266048 e	238290 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,FI	264 	192 	258 	327 	430 	408 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,FR	153712 	121572 	97964 	101246 	78657 	71021 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,HR	18200 	15476 	10452 	7404 	6093 	3691 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,HU	1924 	1556 	1478 	868 	928 	469 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,IE	: 	3386 e	2435 e	1710 e	636 e	555 be	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,IS	: 	940 	691 	296 	244 	493 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,IT	71370 	61069 	54031 	42258 	37997 	35035 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,LI	15 	12 	13 	13 	12 	9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,LT	519 	706 	361 	87 	57 	65 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,LU	753 	647 	514 	744 	248 	385 b	301 	78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,LV	176 	231 	155 	87 	119 	117 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,ME	: 	225 	156 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,MK	10 	15 	21 	16 	17 	14 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,MT	195 e	161 e	129 e	698 e	830 e	305 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,NL	2032 	2259 	2515 	1852 	1398 b	1495 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,NO	: 	1546 	1264 	2894 	3639 	628 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,PL	2489 	1998 	2241 	1953 	1848 	2976 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,PT	13247 	6295 	5317 	1742 	1861 b	539 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,RO	550 	371 	581 	270 	307 	251 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,RS	: 	737 	850 	1343 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,SE	2542 e	1617 e	1859 e	2046 e	1510 e	1350 be	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,SI	2608 	1866 	1216 	827 	886 	644 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,SK	741 	613 	564 	378 	423 	521 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552,UK	: 	433460 	487517 	: 	: 	37677 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552_I553,AT	7175 	6812 	5059 	4981 	4823 	4625 b	3340 	2985 	2891 	2985 	2802 	2639 	2406 	1911 	1519 	1468 	2112 	2185 	2338 	2829 	183 	: 	: 	104574 	128772 	145421 	160105 	: 
NR,AFR,I552_I553,BE	6477 	5837 	4984 	4287 	4475 	3926 b	4500 	4220 	4189 	4413 	3635 	4900 	4858 	3850 	4375 	4349 	4031 	5538 	5449 	5618 	6709 	11085 	8263 	6396 	7695 	8432 	: 	: 
NR,AFR,I552_I553,BG	488 	214 	70 	221 	40 	48 b	1 	4 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552_I553,CH	: 	5497 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57 	38 	26 	32 	39 	50 	47 	34 	: 	11977 	13634 	17252 	24020 
NR,AFR,I552_I553,CY	1 	8 	17 	5 	0 	4 b	362 	389 	304 	24 	7 	6 	17 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I552_I553,CZ	5145 	4398 	3211 	3325 	2907 	2405 b	1336 	1691 	1599 	1599 	1367 	2075 	1281 	1395 	1393 	1526 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
