c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551-I553,SE	6840963 	6550337 	6267866 	5455363 	5029656 	4943811 	5005826 	4951119 	4855275 	4728323 	5127774 	4695667 	4883205 	4675923 	4268044 	4275658 	4107836 	3828409 	2594858 	2572920 	3468305 	3568403 	: 	2109381 	1877296 	1808643 	1827710 	1988374 
FOR,NR,I551-I553,SI	3543009 	2990794 	2669204 	2373990 	2226417 	2124724 b	1921390 	1767481 	1731009 	1870439 	1703582 	1571361 	1514898 	1450484 	1325116 	1255339 	1176443 	1037181 	858819 	946284 	945172 	806082 	709399 	726585 	600890 	594917 	: 	: 
FOR,NR,I551-I553,SK	2129507 	1995812 	1700746 	1459974 	1652786 	1510699 	1447702 	1313019 	1282970 	1739705 	1665053 	1593915 	1497652 	1383824 	1368902 	1384670 	1212403 	1045614 	967963 	885742 	804732 	941089 	894654 	901812 	652815 	479969 	622505 	822238 
FOR,NR,I551-I553,UK	: 	43469604 	44274119 	: 	: u	21853784 b	21210608 	20483978 	19425749 	19550044 	21062502 	20954462 	19039289 	17578735 	15879000 	15664000 	19005000 	19005000 	19005000 	18252000 	19200253 	18923909 	19052257 	16427318 	15558984 	14605657 	13493466 	14230932 
FOR,NR,I552,AT	3372679 	3176240 	2895354 	2755066 	2673442 	2545734 b	2331204 	2206798 	2161000 	2130867 	1938382 	1844946 	1769411 	1713155 	1653138 	1545857 	1430442 	1344057 	1283741 	1142371 	795745 	820471 	772206 	360856 	367368 	367356 	359861 	814707 
FOR,NR,I552,BE	1654814 	1526329 	1465635 	1098033 	1065084 	1025107 b	948286 	939448 	901202 	955241 	934706 	932738 	953573 	921159 	989024 	1006478 	974621 	932046 	985173 	956613 	911860 	928476 	952196 	343503 	348532 	358962 	: 	: 
FOR,NR,I552,BG	83591 	66879 	58070 	58424 	64333 	50851 b	18064 	12643 	11300 	15605 	18054 	23296 	21808 	20652 	15968 	3352 	2451 	2613 	2710 	3090 	3752 	6535 	5594 	7121 	9507 	17725 	14750 	27367 
FOR,NR,I552,CH	: 	817572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13306 	13864 	12863 	13337 	13789 	14302 	14894 	15128 	1177597 	1134802 	1127760 	1839172 
FOR,NR,I552,CY	0 	0 	0 	0 	0 	0 b	24427 	23008 	23041 	6827 	7729 	7598 	10207 	7710 	6803 	6038 	998 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,CZ	659927 	613277 	557325 	479181 	417396 	365115 b	228012 	250380 	269402 	352622 	395874 	400071 	385684 	432583 	381128 	299474 	376803 	257413 	732969 	898951 	562195 	450815 	238800 	306766 	: 	: 	: 	: 
