unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N1-3,ES,IE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,ES,IT	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ES,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ES,NL	29942.75 u	: 	: 	: u
THS_EUR,PERS,N1-3,ES,NO	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ES,PL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,ES,PT	: c	: 	: 	8352.78 u
THS_EUR,PERS,N1-3,ES,SI	: c	: 	: 	: 
THS_EUR,PERS,N1-3,ES,SK	: c	: 	: 	: 
THS_EUR,PERS,N1-3,EU28,AT	635897.55 	: 	: 	772659.38 
THS_EUR,PERS,N1-3,EU28,BE	87266.26 	: 	: 	89309.86 
THS_EUR,PERS,N1-3,EU28,BG	18772.59 	: 	: 	12577.23 
THS_EUR,PERS,N1-3,EU28,CH	: 	: 	248578.66 u	166847.48 u
THS_EUR,PERS,N1-3,EU28,CY	23028.63 	: 	: 	19108.7 
THS_EUR,PERS,N1-3,EU28,CZ	51443.97 	: 	: 	54017.1 
THS_EUR,PERS,N1-3,EU28,DE	2193500.93 	: 	: 	2437087.96 
THS_EUR,PERS,N1-3,EU28,DK	: 	: 	: 	282287.89 
THS_EUR,PERS,N1-3,EU28,EE	39002.4 	: 	: 	7182.11 
THS_EUR,PERS,N1-3,EU28,EL	: 	: 	: 	24900.38 
THS_EUR,PERS,N1-3,EU28,ES	594665.25 	: 	: 	297060.66 
THS_EUR,PERS,N1-3,EU28,FI	317048.71 	: 	: 	328626.54 
THS_EUR,PERS,N1-3,EU28,FR	667734.2 	: 	: 	: 
THS_EUR,PERS,N1-3,EU28,HR	29111.11 	: 	: 	47891.28 
THS_EUR,PERS,N1-3,EU28,HU	255008.7 	: 	: 	167489.31 
THS_EUR,PERS,N1-3,EU28,IE	119829.85 	: 	: 	106999.1 
THS_EUR,PERS,N1-3,EU28,IT	349803.08 u	: 	: 	197480.39 u
THS_EUR,PERS,N1-3,EU28,LT	4698.94 	: 	: 	3027.3 
THS_EUR,PERS,N1-3,EU28,LU	: 	: 	: 	13547.41 
THS_EUR,PERS,N1-3,EU28,LV	: 	: 	: 	8012.28 u
THS_EUR,PERS,N1-3,EU28,MT	4115.21 u	: 	: 	4156.03 u
THS_EUR,PERS,N1-3,EU28,NL	205363.68 	: 	: 	82397.53 
THS_EUR,PERS,N1-3,EU28,NO	156975.17 	158082.94 	: 	: 
THS_EUR,PERS,N1-3,EU28,PL	20066.85 	: 	: 	39199.87 
THS_EUR,PERS,N1-3,EU28,PT	20591.51 	: 	: 	51576.41 
THS_EUR,PERS,N1-3,EU28,RO	16530.87 	: 	: 	17736.76 
THS_EUR,PERS,N1-3,EU28,SI	20155.5 	: 	: 	22366.47 
THS_EUR,PERS,N1-3,EU28,SK	43544.31 u	: 	: 	44821.77 u
THS_EUR,PERS,N1-3,EUR,AT	641189.51 	: 	: 	800633.71 
THS_EUR,PERS,N1-3,EUR,BE	88735.3 	: 	: 	90913.12 
THS_EUR,PERS,N1-3,EUR,BG	22917.93 	: 	: 	20986.87 
THS_EUR,PERS,N1-3,EUR,CH	: 	: 	251182.62 u	181157.96 u
THS_EUR,PERS,N1-3,EUR,CY	23028.63 	: 	: 	19181.05 
