unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N1-3,DOM,NPACK,SK	501402.16 	: 	: 	256477.22 
THS_EUR,PERS,N1-3,DOM,PACK,AT	348440.57 	: 	: 	411166.9 
THS_EUR,PERS,N1-3,DOM,PACK,BE	14589.47 bu	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,PACK,BG	8717.87 	: 	: 	8568.97 u
THS_EUR,PERS,N1-3,DOM,PACK,CH	: 	: 	: u	: u
THS_EUR,PERS,N1-3,DOM,PACK,CY	11833.78 	: 	: 	11196.18 
THS_EUR,PERS,N1-3,DOM,PACK,CZ	11156.3 u	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,PACK,DE	1598833.81 	: 	: 	1789445.17 
THS_EUR,PERS,N1-3,DOM,PACK,DK	: 	: 	: 	252655.55 
THS_EUR,PERS,N1-3,DOM,PACK,EA	: 	: 	: 	3120585.04 e
THS_EUR,PERS,N1-3,DOM,PACK,EE	18798.13 	: 	: 	2130.5 u
THS_EUR,PERS,N1-3,DOM,PACK,EL	: 	: 	: 	18575.5 
THS_EUR,PERS,N1-3,DOM,PACK,ES	390043.04 	: 	: 	207700.31 
THS_EUR,PERS,N1-3,DOM,PACK,EU27	: 	: 	: 	4117269.84 e
THS_EUR,PERS,N1-3,DOM,PACK,EU28	: 	: 	: 	4128663.25 e
THS_EUR,PERS,N1-3,DOM,PACK,FI	40705.26 u	: 	: 	42340.89 
THS_EUR,PERS,N1-3,DOM,PACK,FR	297176.61 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,PACK,HR	: 	: 	: 	14341.87 
THS_EUR,PERS,N1-3,DOM,PACK,HU	8810.02 	: 	: 	7207.25 
THS_EUR,PERS,N1-3,DOM,PACK,IE	53713.73 	: 	: 	54439.74 
THS_EUR,PERS,N1-3,DOM,PACK,IT	231759.48 u	: 	: 	90236.95 u
THS_EUR,PERS,N1-3,DOM,PACK,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,PACK,LV	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,PACK,NL	11028.64 u	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,PACK,NO	123529.34 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,PACK,PL	6175.9 u	: 	: 	13011 
THS_EUR,PERS,N1-3,DOM,PACK,PT	10823.61 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,PACK,RO	9002.3 	: 	: 	10652.21 
THS_EUR,PERS,N1-3,DOM,PACK,SE	: 	: 	: 	174065.09 
THS_EUR,PERS,N1-3,DOM,PACK,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,PACK,SK	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,TOTAL,AT	1756473.44 	: 	: 	1618274.85 
THS_EUR,PERS,N1-3,DOM,TOTAL,BE	346106.11 b	: 	: 	225324.19 
THS_EUR,PERS,N1-3,DOM,TOTAL,BG	173655.3 	: 	: 	162008.16 
THS_EUR,PERS,N1-3,DOM,TOTAL,CH	: 	: 	867966.81 	802639.94 
THS_EUR,PERS,N1-3,DOM,TOTAL,CY	121395.98 	: 	: 	104826.99 
THS_EUR,PERS,N1-3,DOM,TOTAL,CZ	824972.3 	: 	: 	587701.59 
THS_EUR,PERS,N1-3,DOM,TOTAL,DE	13172793.97 	: 	: 	12723397.25 
THS_EUR,PERS,N1-3,DOM,TOTAL,DK	: 	: 	: 	3804051.36 
