unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,ASI_OTH,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,UK	: 	: 	: 	: 	15404.15 u	11065.57 u
THS_EUR,PERS,N1-3,AT,AT	1756473.44 	1783930.58 	1677039.56 	1618274.85 	1498800.73 	1378005.39 
THS_EUR,PERS,N1-3,AT,BE	: u	12635.63 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,BG	: 	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AT,CH	: 	132705.95 u	191842.56 	115632.65 	168584.95 u	107575.39 u
THS_EUR,PERS,N1-3,AT,CY	: c	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,CZ	40040.62 	43730.58 	43952.92 	48904.87 	50000.25 	40554.95 
THS_EUR,PERS,N1-3,AT,DE	999984.11 	1061468.46 	1085693.54 	797664.65 	1079924.83 	986473.72 
THS_EUR,PERS,N1-3,AT,DK	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,EE	: c	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AT,EL	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,ES	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,FI	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,FR	54029.04 u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,HR	26051.22 	19546.02 	39551.73 	35655.93 	28725.86 	29009.36 u
THS_EUR,PERS,N1-3,AT,HU	61841.47 	57638.11 	39123.38 	51476.88 	38133.84 	31487.54 
THS_EUR,PERS,N1-3,AT,IE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,IT	101389.93 u	: u	: u	: u	57369.55 u	179146.24 
THS_EUR,PERS,N1-3,AT,LT	1790.57 u	1812.38 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,LU	: 	7387.98 u	6304.66 u	7972.06 u	4309.38 u	3435.58 u
THS_EUR,PERS,N1-3,AT,LV	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,MT	: c	: c	: c	: u	: u	: u
THS_EUR,PERS,N1-3,AT,NL	32447.34 u	17755.18 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,NO	: u	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AT,PL	17818.02 	14997.1 	16557.29 	16442.26 b	: u	: u
THS_EUR,PERS,N1-3,AT,PT	: c	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AT,RO	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AT,SI	16991.74 	11688.58 	13199.41 	9543.45 	17103.64 	10171.91 
THS_EUR,PERS,N1-3,AT,SK	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AT,UK	: 	: 	: 	: 	21606.01 	11863.59 u
THS_EUR,PERS,N1-3,AU,AT	: c	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AU,DE	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,DK	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,HR	: u	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AU,IE	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AU,LT	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AU,NL	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,NO	: u	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,PL	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AU,PT	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AU,SI	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AU,UK	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,BE,AT	: c	: u	: u	: u	: u	: u
