unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
THS_EUR,PERS,N1-3,OUT,HU	453533.29 	397817.32 	286459.36 	285363.03 	241577.65 	188056.08 	211007 	211899 	165109 	188768 	124922 	135215 	166285 	79917 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,IE	795185.36 	567486.62 	634152.86 	550569.94 	497711.47 	501844.28 	460200 	467800 	454000 	602000 	609800 	548600 	387400 	289000 	269300 	229800 	169500 	92691 	100310 	100478 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,IT	1206750.64 	946588.58 	908801.11 	691099.21 b	877962.71 	1094675.7 	946253 	1031262 	1247921 	1187154 	989882 	1002765 	687856 	705903 	547424 	609329 	504566 	544541 	517823 	897083 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,LT	70858.58 	72826.53 	74264.29 	72784.61 	67989.96 	64268.37 	53804 	50157 	65501 	119267 	86381 	89432 	66301 	53846 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,LU	: 	158781.32 	205756.18 	207712.31 	152173.65 	143485.38 	171970 	155990 	174590 	134150 	: 	390686 	345558 	350474 	300783 	301507 	127550 	126397 	101747 	85247 	85793 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,LV	: 	68852.04 	80426.14 	52770.9 	56511.04 	68006.06 	84187 	70375 	68675 	94701 	88697 	66824 	60875 	26311 	25433 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,MT	62078.66 	49940.19 	38406.76 	34303.2 b	34427.92 	28525.77 	26553 	19291 	17872 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,NL	1372414.71 	845731.95 	783075.1 	758979.35 	821607.52 	849114.18 b	731000 	771000 	808000 	700000 	728000 	607000 	616000 	686000 	667000 	806000 	420000 	462856 	383898 	354557 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,NO	1452059.17 	1400815.36 	1407882.19 	1630119.57 	1323294 	: 	1325609 	997589 	871812 	1083333 	984594 	104068 	899091 	775535 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,PL	613059.82 	420192.46 	413864.63 	336134.8 b	537673.29 	621680.03 	82513 e	97630 	101673 	148059 	76645 	177109 e	109371 e	223116 e	109101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,PT	107240.4 	100630.45 	87794.31 	72196.58 	41517.76 	58415.32 	48985 	79049 	79473 	: u	61407 	58238 	64078 	61386 	40326 	40739 	38081 	37383 	26430 	13976 	34738 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,RO	31903.13 	35556.13 	28641.91 	16275.03 	27128.93 	25753.52 	13078 	15622 	25407 	18650 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,SE	: 	1024577.81 	1310148.81 	951723.83 	: 	: 	1379654 	1094649 	881431 	1137470 	1072746 	1019840 	: 	: 	: 	: 	: 	: 	: 	: 	653840 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,SI	166557.01 	126121.32 	135780.71 	124434.36 	129866.3 	116000.69 	122343 	129776 	116552 	100728 	94311 	82297 	78912 	68693 	48801 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,SK	183921.59 	135212.48 	102096.31 	113925.42 	57115.69 b	96250.99 	117990 	93205 	65293 	88644 	65254 	48097 	42552 	32559 	53908 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,UK	: 	: 	: 	: 	2471548.18 	: u	1977438 	1706859 	2009114 	2873361 	3274688 	: 	: 	5624024 	5060889 	5388093 	5128048 	4320419 	1865545 	1539544 	1204673 	717623 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,AT	3066613.17 	3017469.14 	2811901.38 	2843246.61 	2565561.8 	2407683.56 	2151814 	2370373 	1953469 	1698480 	1710167 	1661203 	1208150 	2039876 	1807938 	5635895 	1482260 	1692191 	: 	: 	: 	917131 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,WORLD,BE	1300085.3 b	1323957.22 	1118398.22 	1006346.95 	1048592.5 	841868.52 	886254 	703773 	688330 	698448 	687355 	615530 	836769 	821606 	637168 	495507 	464776 	468717 	376624 	396072 	: 	: 	: 	: 	: 	: 	: 	: 
