duration,dest,purpose,tinfo,unit,geo\time	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 	2000Q4 	2000Q3 	2000Q2 	2000Q1 	1999Q4 	1999Q3 	1999Q2 	1999Q1 	1998Q4 	1998Q3 	1998Q2 	1998Q1 	1997Q4 	1997Q3 	1997Q2 	1997Q1 	1996Q4 	1996Q3 	1996Q2 	1996Q1 	1995Q4 	1995Q3 	1995Q2 	1995Q1 
N1-3,DOM,PERS,M,NR,CY	7969 	414284 	20792 	3168 	8732 	460315 	23101 	3216 	9206 	512041 	21055 	3362 	9884 	457999 	23469 	3437 	10181 	487750 	23943 	3168 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	2797969 	3981381 	: 	: 	: 	: 	: 	: 	3437360 	4152144 	4291822 	2459094 	3133565 	4869286 	3984805 	3129835 	3517905 	4858558 	5067646 	3768385 	3835218 	5855681 	3485650 	3754218 	3288563 	5567435 	6030697 	3787587 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,DE	25114469 	20742550 	24011299 	20487526 	27565150 	23222064 	24378538 	24174506 	28657357 	21363001 	24176304 	22363354 	23778927 	16821400 	27174855 	23638102 	21134946 	18591814 	22770404 	23087068 	10797164 	10303755 	11323786 	5130016 	5130016 	8562367 	11135747 	10386000 	6197000 	5021000 	9105000 	7386000 	10996000 	6952000 	9777000 	7699000 	7207000 	5453000 	6940000 	3666000 	2481000 	3312000 	4560000 	7198000 	5924000 	3722000 	5887346 	8582887 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,EL	941431 	872512 	1054921 	961459 	1285181 	1505681 	1718985 	1036435 	1141725 	1360518 	1308509 	1352408 	1168562 	1410968 	1464947 	1579055 	1400752 	1171292 	1654938 	1526426 	1951636 	1804921 	2093099 	1647587 	1163679 	1104920 	1071508 	1473864 	1423386 	876247 	1065743 	874794 	380289 	454985 	649196 	448789 	550121 	468489 	528227 	558343 	443195 	408240 	587404 	423031 	489448 	249349 	366020 	512257 	679426 	656446 	766880 	634385 	399265 	496548 	897697 	669230 	752628 	782374 	1228104 	1368983 	1239214 	1772304 	2693610 	1844445 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,ES	17213993 	20558157 	22686824 	15680378 	16690015 	19221127 	22020774 	16540069 	18182652 	20235627 	22715346 	17215074 	19025962 	19630905 	19726946 	16934884 	18775464 	18582703 	17657530 	14212369 	16240051 	20300906 	22060295 	16937789 	17494200 	20023780 	20014660 	18683420 	21138108 	24687800 	27021680 	20757880 	19635411 	23571400 	26246690 	19745720 	20320763 	23268600 	22772190 	19316490 	19845980 	22996700 	24846660 	20328640 	21542860 	21455600 	22548740 	20609180 	7507246 	11885299 	11533773 	10122963 	2559014 	2908719 	2566304 	1886227 	1411980 	2861233 	1934730 	2199244 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,FI	5143000 	7205000 	6454000 	4380000 	5295000 	7971000 	6088000 	4100000 	3991000 	5508000 	5523000 	3477000 	3804000 	5887000 	5038000 	3782000 	3560000 	5830000 	5272000 	4008000 	3592000 	5527000 	5032000 	3215000 	3752000 	5910000 	5643000 	3569000 	3830000 	5840000 	4393000 	3510000 	3478000 	5441000 	4665000 	3179000 	3381000 	4977000 	4463000 	2818000 	3122000 	4662000 	3328000 	2456000 	2900000 	4194000 	3638000 	2511000 	3379000 	6706000 	5323000 	2697000 	2744000 	6406000 	4986000 	2970000 	3305000 	6609000 	5964000 	3186000 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,FR	23360996 	24347958 	26558156 	17568373 	21460085 	22116451 	26771908 	16488475 	21510315 	23997138 	28795317 	16734031 	20543573 	23876224 	23149483 	21576774 	24274579 	24425616 	28801374 	20060821 	23910773 	24688307 	29207374 	19587875 	26901886 	23637535 	24386315 	21365892 	18412000 	22650000 	25594000 	13839000 	16660000 	23182000 	21005000 	12815000 	16632000 	21060000 	19984000 	13044000 	: 	: 	: 	: 	14960000 	19093000 	20389000 	13420000 	14252000 	19857000 	20694000 	12669000 	13673000 	20122000 	21259000 	11981000 	14563000 	21386000 	20843000 	14379000 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,HR	589610 	808719 	857142 	422738 	447257 	434769 	404548 	298932 	497969 	815600 	756524 	450284 	517093 	971379 	749465 	338466 	199800 	534437 	594754 	483476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,HU	2576447 	2915405 	2877573 	2257906 	2449644 	2847612 	2529154 	1984984 	2352045 	2901954 	2800049 	2042390 	2806469 	3422335 	3258807 	2649955 	3507110 	3753810 	4035763 	3156677 	3764492 	2509775 	3675369 	2994625 	2690221 	3408515 	3355825 	2661274 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	861000 	993000 	885000 	765000 	1033000 	1163000 	908000 	900000 	895000 	994000 	1002000 	789000 	845000 	893000 	726000 	729000 	394000 	772000 	714000 	595000 	675000 	677000 	663000 	672000 	672000 	660000 	635000 	640000 	666000 	698000 	612000 	602000 	669000 	648000 	538000 	582000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59120 	242590 	146233 	61372 	: 	: 	: 	: 
