unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,WORLD,CY	1402370 	1297550 	1239566 	1111090 	1051445 	1232492 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,CZ	21390393 	18977831 	17441143 	19708974 	18326261 	19679409 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,DE	93988468 	104198690 	104888560 	94029597 	102251230 	98784720 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,DK	: 	19908207 	22214379 	22110771 	21570785 b	18870153 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3953200 	3949600 	: 	4650000 	5136200 	: 	: 
NR,PERS,N1-3,WORLD,EA	: 	: 	: 	389011611 e	396290499 e	404085038 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,EE	3018772 	2992551 	2515832 	2533287 	1781794 	1813285 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,EL	: 	1433087 	1579747 	1693928 	1425062 	2749255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,ES	102557523 	95850185 	91367973 b	83086699 	84614036 	86453206 	: 	: 	: 	: 	: 	81301581 	86627160 	85817660 	82499590 	78506770 	94138380 	92492038 	43080283 	9107147 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,EU27	: 	: 	589960069 e	577736290 e	571466421 e	581663697 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,EU28	: 	: 	592420480 e	581482852 e	575643970 e	585729965 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,FI	24956040 	24184077 	24042202 	23460842 	24801381 	25020682 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25544000 	: 	: 	: 
NR,PERS,N1-3,WORLD,FR	105328361 	91863468 	93780902 	105556338 	104653851 	105949227 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81423000 	82454000 	82481886 	84662003 	: 	: 	: 
NR,PERS,N1-3,WORLD,HR	1991587 	1959133 	2778748 	3890091 	4190195 	4082385 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,HU	12043639 	11700993 	11542092 	11033501 	9961409 	11822319 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,IE	8012920 	7228071 	6985478 	6040993 	5842192 	5868127 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2254000 	2277000 	: 	2103000 	: 	: 	: 
NR,PERS,N1-3,WORLD,IT	24060688 	25424548 	21392604 	22134614 b	19997694 	26286323 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,LT	2250528 	2277168 	2339706 	2289727 	2221233 	2238041 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,LU	: 	465197 	564541 	623587 	539578 	514979 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	250000 	177000 	149000 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,LV	: 	3223912 	3043094 	3144005 	3099854 	3772198 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,MT	313070 	288353 	233611 	222967 b	223461 	212476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,NL	20003818 	19751760 	19620751 	20435230 	20988168 	23134196 b	: 	: 	: 	: 	: 	9880000 	9824000 	10237000 	10244000 	10628000 	9678000 	9825000 	9316000 	8754000 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,NO	9848941 	9502715 	9714487 	10462995 	8604374 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,PL	28679723 	27279217 	25071994 	24050453 b	24455021 	25254782 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,PT	11165181 	10258475 	9796315 	9293124 	9074999 	8961655 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
