purpose,wstatus,duration,unit,geo\time	2016 	2013 
NTIME_FAM,UNE,N_GE1,NR,NL	27689 	12913 
NTIME_FAM,UNE,N_GE1,NR,SI	968 u	6769 u
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,AT	429894 	345349 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,BE	1021233 	: 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,BG	786101 	591069 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,CH	94709 u	65374 u
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,CY	27675 e	51583 e
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,CZ	182168 	262553 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,DE	4401482 	4539459 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,DK	103326 	60143 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,EA	16359553 	16519582 e
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,EE	46860 u	65795 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,EL	592496 	581118 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,ES	1862929 	3818105 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,EU27	25143695 	28577246 e
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,EU28	25403201 	28723769 e
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,FI	: c	22089 u
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,FR	1610939 	1094323 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,HR	259506 	177913 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,HU	583299 	: 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,IE	134325 	99278 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,IT	4094361 	3245178 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,LT	110842 	133729 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,LU	7643 u	6722 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,LV	61907 	26739 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,ME	: c	: 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,MT	16377 	14119 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,NL	227471 	157157 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,PL	3000622 	6230000 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,PT	1589323 	1572615 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,RO	1639025 	1280567 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,SE	184332 	: 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,SI	112280 	97116 e
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,SK	153038 	255148 
NTIME_WRK_STU,ACT_INAC,N_GE1,NR,UK	2132520 	2259700 
NTIME_WRK_STU,EDUC,N_GE1,NR,EA	: u	: u
NTIME_WRK_STU,EDUC,N_GE1,NR,ES	209287 	384577 
NTIME_WRK_STU,EDUC,N_GE1,NR,EU27	: u	: u
NTIME_WRK_STU,EDUC,N_GE1,NR,EU28	: u	: u
NTIME_WRK_STU,EDUC,N_GE1,NR,FI	: 	0 u
NTIME_WRK_STU,EDUC,N_GE1,NR,HR	: 	27499 
NTIME_WRK_STU,EDUC,N_GE1,NR,LU	: 	353 
NTIME_WRK_STU,EDUC,N_GE1,NR,LV	5242 	: 
NTIME_WRK_STU,EDUC,N_GE1,NR,NL	61153 	41445 
NTIME_WRK_STU,EDUC,N_GE1,NR,SI	11115 u	12895 e
NTIME_WRK_STU,EMP,N_GE1,NR,EA	: u	: u
NTIME_WRK_STU,EMP,N_GE1,NR,ES	1447103 	2858710 
NTIME_WRK_STU,EMP,N_GE1,NR,EU27	: u	: u
NTIME_WRK_STU,EMP,N_GE1,NR,EU28	: u	: u
NTIME_WRK_STU,EMP,N_GE1,NR,FI	: c	16698 u
NTIME_WRK_STU,EMP,N_GE1,NR,HR	: 	102504 
NTIME_WRK_STU,EMP,N_GE1,NR,LU	: 	5266 
NTIME_WRK_STU,EMP,N_GE1,NR,LV	53821 	: 
NTIME_WRK_STU,EMP,N_GE1,NR,NL	123350 	111319 
NTIME_WRK_STU,EMP,N_GE1,NR,SI	62866 	55762 e
NTIME_WRK_STU,INAC_OTH,N_GE1,NR,EA	: u	: u
NTIME_WRK_STU,INAC_OTH,N_GE1,NR,ES	73180 u	286575 
NTIME_WRK_STU,INAC_OTH,N_GE1,NR,EU27	: u	: u
NTIME_WRK_STU,INAC_OTH,N_GE1,NR,EU28	: u	: u
NTIME_WRK_STU,INAC_OTH,N_GE1,NR,FI	: c	2347 u
NTIME_WRK_STU,INAC_OTH,N_GE1,NR,HR	: 	9404 
NTIME_WRK_STU,INAC_OTH,N_GE1,NR,LU	: 	286 
NTIME_WRK_STU,INAC_OTH,N_GE1,NR,LV	2409 	: 
NTIME_WRK_STU,INAC_OTH,N_GE1,NR,NL	20769 	4393 
NTIME_WRK_STU,INAC_OTH,N_GE1,NR,SI	29937 	17582 e
NTIME_WRK_STU,UNE,N_GE1,NR,EA	: u	: u
NTIME_WRK_STU,UNE,N_GE1,NR,ES	133359 	288242 
NTIME_WRK_STU,UNE,N_GE1,NR,EU27	: u	: u
NTIME_WRK_STU,UNE,N_GE1,NR,EU28	: u	: u
NTIME_WRK_STU,UNE,N_GE1,NR,FI	: 	3044 u
NTIME_WRK_STU,UNE,N_GE1,NR,HR	: 	38505 
NTIME_WRK_STU,UNE,N_GE1,NR,LU	: 	816 
NTIME_WRK_STU,UNE,N_GE1,NR,LV	434 	: 
NTIME_WRK_STU,UNE,N_GE1,NR,NL	22199 	0 
NTIME_WRK_STU,UNE,N_GE1,NR,SI	8362 u	10877 u
OTH,ACT_INAC,N_GE1,NR,AT	100492 	142519 
OTH,ACT_INAC,N_GE1,NR,BE	897023 	: 
OTH,ACT_INAC,N_GE1,NR,BG	255649 	164650 
OTH,ACT_INAC,N_GE1,NR,CH	94882 u	152859 u
OTH,ACT_INAC,N_GE1,NR,CY	32314 e	24927 e
OTH,ACT_INAC,N_GE1,NR,CZ	85927 u	199853 
OTH,ACT_INAC,N_GE1,NR,DE	1988673 	1603759 
OTH,ACT_INAC,N_GE1,NR,DK	341671 	302968 
OTH,ACT_INAC,N_GE1,NR,EA	8906417 	7415178 e
OTH,ACT_INAC,N_GE1,NR,EE	41316 u	93777 
OTH,ACT_INAC,N_GE1,NR,EL	432580 	255746 
OTH,ACT_INAC,N_GE1,NR,ES	685359 	: 
OTH,ACT_INAC,N_GE1,NR,EU27	12805350 	12623757 e
OTH,ACT_INAC,N_GE1,NR,EU28	12947100 	12752516 e
OTH,ACT_INAC,N_GE1,NR,FI	: c	65148 
OTH,ACT_INAC,N_GE1,NR,FR	1515301 	1374604 
OTH,ACT_INAC,N_GE1,NR,HR	141750 	135637 
OTH,ACT_INAC,N_GE1,NR,HU	381363 	: 
OTH,ACT_INAC,N_GE1,NR,IE	72132 	74736 
OTH,ACT_INAC,N_GE1,NR,IT	1858658 	1166922 
OTH,ACT_INAC,N_GE1,NR,LT	418083 	464390 
OTH,ACT_INAC,N_GE1,NR,LU	16907 	10747 
OTH,ACT_INAC,N_GE1,NR,LV	12416 	368074 
OTH,ACT_INAC,N_GE1,NR,ME	: c	: 
OTH,ACT_INAC,N_GE1,NR,MT	19117 	27906 
OTH,ACT_INAC,N_GE1,NR,NL	299704 	277006 
OTH,ACT_INAC,N_GE1,NR,PL	614499 	490000 
OTH,ACT_INAC,N_GE1,NR,PT	755878 	658457 
OTH,ACT_INAC,N_GE1,NR,RO	599003 	649909 
OTH,ACT_INAC,N_GE1,NR,SE	216902 	: 
