purpose,age,duration,unit,geo\time	2016 	2013 
HLTH,Y35-44,N_GE1,NR,UK	54030 	: 
HLTH,Y45-54,N_GE1,NR,AT	: c	: 
HLTH,Y45-54,N_GE1,NR,BE	193316 	: 
HLTH,Y45-54,N_GE1,NR,BG	23704 	: 
HLTH,Y45-54,N_GE1,NR,CH	18046 u	: 
HLTH,Y45-54,N_GE1,NR,CY	2155 u	: 
HLTH,Y45-54,N_GE1,NR,CZ	: c	: 
HLTH,Y45-54,N_GE1,NR,DE	816350 u	: 
HLTH,Y45-54,N_GE1,NR,DK	7083 	: 
HLTH,Y45-54,N_GE1,NR,EA	1912168 	: 
HLTH,Y45-54,N_GE1,NR,EE	: c	: 
HLTH,Y45-54,N_GE1,NR,EL	26304 	: 
HLTH,Y45-54,N_GE1,NR,ES	229412 	: 
HLTH,Y45-54,N_GE1,NR,EU27	2565892 	: 
HLTH,Y45-54,N_GE1,NR,EU28	2594278 	: 
HLTH,Y45-54,N_GE1,NR,FI	: c	: 
HLTH,Y45-54,N_GE1,NR,FR	155747 	: 
HLTH,Y45-54,N_GE1,NR,HR	28386 	: 
HLTH,Y45-54,N_GE1,NR,HU	121162 	: 
HLTH,Y45-54,N_GE1,NR,IE	15956 	: 
HLTH,Y45-54,N_GE1,NR,IT	182904 u	: 
HLTH,Y45-54,N_GE1,NR,LT	5828 	: 
HLTH,Y45-54,N_GE1,NR,LU	: c	: 
HLTH,Y45-54,N_GE1,NR,LV	2294 	: 
HLTH,Y45-54,N_GE1,NR,ME	: c	: 
HLTH,Y45-54,N_GE1,NR,MT	: c	: 
HLTH,Y45-54,N_GE1,NR,NL	54581 	: 
HLTH,Y45-54,N_GE1,NR,PL	268023 	: 
HLTH,Y45-54,N_GE1,NR,PT	140419 	: 
HLTH,Y45-54,N_GE1,NR,RO	35104 	: 
HLTH,Y45-54,N_GE1,NR,SE	71176 	: 
HLTH,Y45-54,N_GE1,NR,SI	14574 	: 
