c_resid,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,NR,I551-I553,CST_A,SI	1477701 	1300411 	1206843 	1161647 	1124533 	1120717 
FOR,NR,I551-I553,CST_A,SK	0 	0 	0 	0 	0 	0 
FOR,NR,I551-I553,CST_A,UK	: 	65160760 	64049531 	: 	: 	20048228 
FOR,NR,I551-I553,NCST_A,AT	86044321 	83398372 	80304956 	78099096 	78433546 	77158431 
FOR,NR,I551-I553,NCST_A,BE	16887923 	15337724 	17082946 	: 	13820926 	13753719 
FOR,NR,I551-I553,NCST_A,BG	3256459 	2882799 	2636042 	2557708 	2349771 	2193291 
FOR,NR,I551-I553,NCST_A,CH	: 	23982739 	: 	: 	: 	: 
FOR,NR,I551-I553,NCST_A,CY	339706 	309504 	292605 	0 	0 	0 
FOR,NR,I551-I553,NCST_A,CZ	26257013 	24268149 	23286515 	22110112 	22144896 	21793985 
FOR,NR,I551-I553,NCST_A,DE	76768960 	73828095 	72842319 	69097147 	65945120 	63327565 
FOR,NR,I551-I553,NCST_A,DK	982887 	959328 	885695 	818622 	792540 	753003 
FOR,NR,I551-I553,NCST_A,EA	473640073 e	456657582 	447128892 	: 	: 	: 
FOR,NR,I551-I553,NCST_A,EE	474142 	406159 	378248 	413598 	417200 	373824 
FOR,NR,I551-I553,NCST_A,EL	1543517 e	1183714 e	1237443 e	1136510 e	907119 	746816 e
FOR,NR,I551-I553,NCST_A,ES	37450719 	34686658 	31612904 	28157025 	25521171 	25127092 
FOR,NR,I551-I553,NCST_A,EU27	: u	733495627 e	717344674 	553033964 e	561262483 e	543973653 e
FOR,NR,I551-I553,NCST_A,EU28	: u	737390360 e	720557312 	555770651 e	563651399 e	545477108 e
FOR,NR,I551-I553,NCST_A,FI	3353707 	2866809 	2638177 	2918976 	3034725 	2909608 
FOR,NR,I551-I553,NCST_A,FR	97662881 	89827067 	95071732 	95476595 	96781332 	92965052 
FOR,NR,I551-I553,NCST_A,HR	4480936 	3894733 	3212638 	2694426 	2388916 	2053385 
FOR,NR,I551-I553,NCST_A,HU	14941781 	13802045 	12962395 	12351330 	11982883 	11392183 
FOR,NR,I551-I553,NCST_A,IE	: 	4800126 e	3763972 e	3537350 e	3379041 	: 
FOR,NR,I551-I553,NCST_A,IS	: 	798173 	584586 	448401 	390440 	312842 
FOR,NR,I551-I553,NCST_A,IT	108090217 	103820651 	99704605 	94326480 	92822834 	90874447 
FOR,NR,I551-I553,NCST_A,LI	146892 	127747 	110465 	130202 	132491 	136276 
FOR,NR,I551-I553,NCST_A,LT	3000273 	2853479 	2638731 	2608818 	2494372 	2294162 
FOR,NR,I551-I553,NCST_A,LU	2573589 	2637701 	2655733 	2513585 	2313124 	2298068 
FOR,NR,I551-I553,NCST_A,LV	267844 	214396 	217710 	223113 	204803 	184221 
FOR,NR,I551-I553,NCST_A,ME	: 	305268 	254399 	: 	: 	198353 
FOR,NR,I551-I553,NCST_A,MK	1289111 	1050917 	1020943 	900148 	: 	: 
FOR,NR,I551-I553,NCST_A,MT	0 	0 	0 	0 	0 	0 
FOR,NR,I551-I553,NCST_A,NL	29538345 	26102096 	24081895 	22086889 	20627287 b	18516402 
FOR,NR,I551-I553,NCST_A,NO	: 	2329671 	2143299 	2065551 	2007420 	2108402 
FOR,NR,I551-I553,NCST_A,PL	12346411 	11511603 	10060311 	9432697 	9161037 	8800942 
FOR,NR,I551-I553,NCST_A,PT	4351878 	3395158 	2897873 	2390693 	2138661 	1907189 
FOR,NR,I551-I553,NCST_A,RO	5056304 	4575515 	4182049 	3527226 	3274694 	3090922 
FOR,NR,I551-I553,NCST_A,RS	: 	2735528 	2402065 	2074680 	1879208 	1766627 
FOR,NR,I551-I553,NCST_A,SE	4723298 	4546186 	4602278 	4232112 	4088860 	3990478 
FOR,NR,I551-I553,NCST_A,SI	7000318 	5951659 	5322243 	4842976 	4763329 	4581589 
FOR,NR,I551-I553,NCST_A,SK	5316945 	5038214 	4384800 	3852147 	4277598 	4039410 
FOR,NR,I551-I553,NCST_A,UK	: 	214292330 	211600497 	: 	: 	85407300 
FOR,NR,I551-I553,TOTAL,AT	86044321 	83398372 	80304956 	78099096 	78433546 	77158431 
FOR,NR,I551-I553,TOTAL,BE	18656843 	17063194 	18852087 	: 	16511721 	16432646 
FOR,NR,I551-I553,TOTAL,BG	17105567 	16150666 	13352281 	14077798 	14370426 	13451440 
FOR,NR,I551-I553,TOTAL,CH	: 	23982739 	: 	: 	: 	: 
FOR,NR,I551-I553,TOTAL,CY	15946809 	14504702 	12550320 	12884399 	13152589 	13488127 
FOR,NR,I551-I553,TOTAL,CZ	26257013 	24268149 	23286515 	22110112 	22144896 	21793985 
FOR,NR,I551-I553,TOTAL,DE	83111219 	79946914 	78827773 	74805253 	71191942 	68161503 
FOR,NR,I551-I553,TOTAL,DK	11914787 	11630004 	11171416 	10608119 	9914273 	9608124 
FOR,NR,I551-I553,TOTAL,EA	1081660974 e	1032258038 	988214798 	: 	: 	: 
FOR,NR,I551-I553,TOTAL,EE	4150419 	4014581 	3770207 	3919299 	3909326 	3823039 
FOR,NR,I551-I553,TOTAL,EL	89284386 e	80025756 e	78254524 e	74675156 e	68992640 	61054383 e
FOR,NR,I551-I553,TOTAL,ES	305907462 	294556428 	269418103 	259635794 	252447766 	243389006 
FOR,NR,I551-I553,TOTAL,EU27	: u	1411950513 	1356468031 	1146438009 e	1132214059 e	1076478856 
FOR,NR,I551-I553,TOTAL,EU28	: u	1484015095 	1422151041 	1211064155 e	1191592955 e	1133558823 
FOR,NR,I551-I553,TOTAL,FI	6742834 	5771275 	5510350 	5710702 	5860447 	5802959 
FOR,NR,I551-I553,TOTAL,FR	133499991 	123913410 	130464997 	130908700 	132251136 	125038453 
FOR,NR,I551-I553,TOTAL,HR	80176804 	72064582 	65683010 	61072661 	59378896 	57079967 b
FOR,NR,I551-I553,TOTAL,HU	14941781 	13802045 	12962395 	12351330 	11982883 	11392183 b
FOR,NR,I551-I553,TOTAL,IE	: 	16190381 e	13462348 e	11276424 e	10871806 e	11839245 be
