c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I552,CZ	2177771 	2044693 	1983840 	1856540 	1771892 	1568197 b	1117488 	1187033 	1305506 	1760160 	2224165 	2301421 	2141706 	2309047 	2222352 	1865439 	2036519 	1497246 	3160000 	3685000 	2449709 	1910082 	1155763 	1096306 	854000 	527000 	353000 	404000 
FOR,NR,I552,DE	10179750 	9786957 	9551650 	9311682 	8754726 	8533554 b	7842865 	7439474 	6910930 	7509944 	6745895 	6808248 	6218148 	5610921 	5054854 	4913466 	4887979 	4805542 	4676768 	4564621 	4629982 	4679991 	4646721 	4812030 	1672676 	1886653 	1972609 	4884224 
FOR,NR,I552,DK	2301272 	2183204 	1940088 	1411938 	1402675 	1460442 b	1555652 	1389267 	1291698 	1503442 	1685990 	1513648 	1465031 	1531783 	1774628 	1831009 	1814633 	1912627 	1847686 	2061665 	2167140 	2218560 	456800 	: 	: 	: 	: 	: 
FOR,NR,I552,EA	195325455 e	181949992 	172788554 	: 	: 	: 	: 	: 	: 	143510829 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EE	486623 	455228 	402256 	403623 	372451 	324356 b	247784 	180394 	163390 	184530 	221044 	218900 	176351 	130692 	171198 	105037 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EL	14939554 e	13298309 e	13889428 e	13016493 e	11246909 	9959485 be	10996034 	10198261 	10736317 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,ES	62415927 	59831876 	54762267 	53708588 	51624209 	50059965 b	49622261 	45318329 	45505018 	53868570 	55057857 	58035975 	56629300 	60694139 	66723370 	69875300 	74302062 	77952903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EU27	: u	380984659 	368677854 	197052815 e	202887265 e	194654846 b	: 	: 	: 	157451263 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EU28	: u	415139373 	397831543 	226689510 e	227165631 e	217023276 b	: 	: 	: 	161127721 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,FI	694914 	495713 	513273 	573218 	584919 	493727 b	424651 	385426 	379757 	377542 	334261 	303156 	263663 	246807 	197419 	176372 	154480 	161621 	149795 	161866 	166429 	119657 	103236 	102588 	41739 	: 	: 	: 
FOR,NR,I552,FR	18304878 	17730393 	19963741 	20743832 	21364161 	20790902 b	20867550 	19674448 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,HR	39379924 	34154714 	29153689 	26083210 	24278366 	22368430 b	2895719 	2788114 	3878151 	3327800 	3079686 	2781645 	1965452 	2006270 	2101602 	1814761 	1989958 	1321335 	923738 	982000 	950732 	730897 	548474 	771489 	542807 	: 	: 	: 
