unit,nace_r2,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,I551,AME,ES	14410851 	12305013 	11017947 	10004361 	9550987 	9503512 	9759859 	8498826 	7146182 	7078230 	7121921 	6789958 	6352796 	6161370 	6147464 	6525878 	7221695 	7315819 	6286471 	6157446 	5697009 	5770861 	615686 	1271126 	510509 	676303 	423942 	460621 
NR,I551,AME,EU27	: u	85142296 	82826531 	77502987 e	75016781 	71382536 	71319930 	66166315 	59871567 	63185569 	69849537 	68617582 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,EU28	: u	85852652 	83539561 	78100983 e	75584139 	71866439 	71744177 	66525755 	60187331 	63565794 	70274571 	68951856 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,FI	364257 	318890 	281316 	269142 	248155 	265208 	263669 	231382 	220461 	256922 	269896 	253963 	254321 	251666 	237161 	243613 	259617 	262082 	259123 	238093 	247134 	224670 	226977 	14767 	10219 	: 	: 	229374 
NR,I551,AME,FR	12929776 	11020688 	12023559 	11700399 	11771841 	10636378 	9770614 	9141659 	8413176 	8990898 	10072921 	9247505 	9235041 	8223547 	7711366 	10401644 	11528003 	12379005 	10639049 	9992319 	7919050 	6871308 	6541294 	6909741 	890623 	880972 	773213 	902754 
NR,I551,AME,HR	913038 	710356 	713030 	597996 	567358 	483903 b	424247 	359440 	315764 	380225 	425034 	334274 	263828 	238697 	166065 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,HU	963397 	858488 	860797 	774407 	706885 	636912 	583685 	469632 	412744 	527444 	584469 	584998 	549020 	500983 	449036 	436676 	455198 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,IE	: 	3839082 e	3141605 e	2580091 e	2497551 e	2688334 be	4563904 e	4234358 e	4300737 e	4277546 	4779285 e	4751863 e	4538711 e	4956992 e	: 	4641238 	4881000 	5918000 	3312000 	: 	3380000 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,IS	: 	1266137 	820563 	587362 	411112 	315936 	282096 	176177 	154117 	152376 	159680 	154348 	150189 	133451 	127489 	128203 	133993 	120822 	103982 	96730 	81070 	59284 	: 	: 	: 	: 	: 	: 
NR,I551,AME,IT	16510446 	15214026 	15661952 	15337963 	15142882 	14705758 	14774746 	13412419 	12259124 	13194994 	14766405 	13960770 	13037598 	11926104 	9901361 	10667829 	11344827 	11817119 	11988067 	11411251 	10303673 	9584592 	8756952 	1908706 	1692447 	1676251 	: 	7362536 
NR,I551,AME,LI	9160 	6917 	6123 	6466 	6141 	6781 	5463 	4679 	4452 	5498 	6890 	6385 	6166 	5865 	5257 	5725 	8435 	8106 	7976 	8335 	8932 	7390 	7808 	: 	: 	: 	: 	: 
NR,I551,AME,LT	115583 	98558 	80319 	99146 	78545 	73610 	61071 	59025 	40088 	58037 	52913 	57971 	62234 	55200 	36653 	39372 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,LU	97002 	103130 	103533 	88755 	79393 	80816 b	74810 	63393 	57489 	73022 	70266 	70797 	65144 	62291 	61314 	69178 	69683 	83081 	82134 	77902 	67326 	59418 	51796 	65577 	64690 	62356 	58631 	81893 
NR,I551,AME,LV	131385 	102207 	82086 	79863 	80880 	60584 b	56450 	59562 	45297 	56120 	50603 	66288 	52393 	56625 	42521 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,ME	: 	50564 	46227 	: 	: 	24741 	22764 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,MK	42927 	36072 	31692 	27462 	26852 	22447 	24948 	23864 	21647 	22109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,MT	239415 e	187695 e	175976 e	160188 e	123348 e	133160 	111297 	97730 	101991 	126691 	128287 	118368 	112864 	142023 	107849 	: 	176343 	184131 	185952 	204173 	197619 	192735 	191476 	218824 	243296 	266006 	167314 	202845 
NR,I551,AME,NL	3589266 	2951807 	2705562 	2550232 	2372845 	2283890 	2282500 	2185900 	1825900 	1910100 	2246600 	2341900 	2126600 	2081900 	1881000 	2127700 	2372000 	2401112 	2628000 	2214805 	2083000 	1599000 	1661000 	1484000 	138400 	142400 	121300 	141400 
NR,I551,AME,NO	: 	563565 	505397 	485535 	390397 	378381 	375674 	366634 	302991 	347866 	368610 	365421 	357701 	352735 	326508 	386755 	413567 	437338 	461454 	415168 	375408 	368959 	374169 	: 	: 	: 	: 	: 
NR,I551,AME,PL	779079 	801591 	665878 	630865 	593498 	529846 	463512 	450355 	388517 	431226 	499619 	511022 	502110 	468951 	360395 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,PT	4769322 	3587993 	3066928 	2902906 	2555691 	2273438 	2064495 	1785586 	1482342 	1674192 	1632371 	1506835 	1371504 	1293723 	1256221 	1361957 	1504019 	1684303 	1407579 	1381019 	1089288 	1012254 	1025911 	282377 	228300 	254861 	287295 	1336209 
NR,I551,AME,RO	360756 	317240 	311820 	260716 	212093 	209596 b	212355 	198570 	170573 	207921 	250626 	241823 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,RS	: 	93371 	91024 	67086 	57357 	52065 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,SE	892572 	642228 	617695 	578825 	537758 	530098 	502542 	474260 	401648 	447436 	485084 	468379 	465231 	415569 	394864 	445191 	474333 	445891 	421943 	389824 	382217 	336810 	336036 	: 	: 	: 	: 	352872 
NR,I551,AME,SI	231863 	193629 	183749 	163031 	153327 	143875 	126276 	119261 	111159 	139873 	135207 	131017 	112045 	93562 	72064 	74670 	68806 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,SK	138134 	130345 	115315 	83888 	93441 	89527 	89132 	77710 	62598 	84251 	92290 	86437 	94508 	97026 	88950 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
