c_resid,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,PCH_PRE,TOTAL,EU27	: u	4.59 	4.46 	2.44 e	5.58 	1.5 
FOR,PCH_PRE,TOTAL,EU28	: u	4.6 	4.47 	2.38 e	5.45 	1.6 
FOR,PCH_PRE,TOTAL,FI	15.14 	6.34 	-2.47 	-2.26 	-0.9 	5 
FOR,PCH_PRE,TOTAL,FR	8.8 	-5.66 	1.23 	-0.09 	7 	2.6 
FOR,PCH_PRE,TOTAL,HR	6.12 	5.14 	5.08 	-0.05 	0.1 	4.6 b
FOR,PCH_PRE,TOTAL,HU	8.07 	6.39 	4.12 	2.76 	4.3 	13.3 
FOR,PCH_PRE,TOTAL,IE	: 	19.59 e	24.48 e	0.11 e	-8.2 e	: 
FOR,PCH_PRE,TOTAL,IS	: 	26.53 	29.63 	18.78 	15.9 	8.5 
FOR,PCH_PRE,TOTAL,IT	3.13 	1.78 	1.81 	0.83 	3 	2.2 
FOR,PCH_PRE,TOTAL,LI	16.25 	19.04 	-17.04 	-2.28 	0.2 	-1 
FOR,PCH_PRE,TOTAL,LT	4 	8.13 	-0.19 	3.78 	8.4 	10.1 
FOR,PCH_PRE,TOTAL,LU	-4.22 	0.46 	3.12 	8.83 	-0.8 	11.1 b
FOR,PCH_PRE,TOTAL,LV	9.34 	4.78 	: c	10.26 	7 	3.6 b
FOR,PCH_PRE,TOTAL,ME	: 	10.16 	: 	: 	: 	-1 
FOR,PCH_PRE,TOTAL,MK	23.02 	3.23 	15.87 	3.9 	9.4 	9 
FOR,PCH_PRE,TOTAL,MT	6.73 	0.63 	1.47 	3.05 	8.1 	1.9 
FOR,PCH_PRE,TOTAL,NL	13.7 	6.73 	7.55 	9.99 	8.4 	1.5 
FOR,PCH_PRE,TOTAL,NO	: 	9.74 	7.31 	10.12 	0.4 	3.1 
FOR,PCH_PRE,TOTAL,PL	5.58 	14.3 	5.95 	5.31 	7.5 	12.2 
FOR,PCH_PRE,TOTAL,PT	8.97 	10.86 	7.34 	10.81 	9.4 	4.8 
FOR,PCH_PRE,TOTAL,RO	9.1 	7.3 	17.04 	10.6 	5.5 	0.7 b
FOR,PCH_PRE,TOTAL,RS	: 	13.88 	15.78 	10.39 	6.5 	: 
FOR,PCH_PRE,TOTAL,SE	5.57 	5.26 	13.2 	7.95 	3.4 	1.8 
FOR,PCH_PRE,TOTAL,SI	11.24 	9.79 	5.74 	2.19 	1.3 	3.6 
FOR,PCH_PRE,TOTAL,SK	4.09 	12.1 	14.84 	-10.13 	6 	1.6 
FOR,PCH_PRE,TOTAL,TR	: 	-31.85 	-1 	8.68 	: 	: 
FOR,PCH_PRE,TOTAL,UK	: 	2.12 	: 	: 	17.08 	-1 b
NAT,NR,100-249,BG	2544075 	2525574 	2145705 	1923324 	1868905 	1719298 
NAT,NR,100-249,CY	292648 	310388 	361538 	337783 	: 	: 
NAT,NR,100-249,CZ	2442627 	3796572 	3457244 	1859213 	1716328 	1762274 
NAT,NR,100-249,DE	60206078 	56750906 	54199353 	51767665 	49206093 	47267801 
NAT,NR,100-249,EA	: u	: u	: u	: 	: 	: 
NAT,NR,100-249,EL	2935587 	2934838 	2800473 	2894741 	2857541 	2639067 
NAT,NR,100-249,ES	34799838 	34507642 	33294461 	32466598 	31324598 	31449757 
NAT,NR,100-249,EU27	: u	: u	: u	: u	: u	: 
NAT,NR,100-249,EU28	: u	: u	: u	: u	: u	: 
