unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,OUT,ACC,LU	48.31 	49.03 	42.43 	39.2 	40.8 
EUR,PERS,N1-3,OUT,ACC,LV	21.78 	25.59 	19.1 	17.38 	11.99 
EUR,PERS,N1-3,OUT,ACC,MT	52.74 	57.96 	56.27 b	43.09 	46.62 
EUR,PERS,N1-3,OUT,ACC,NL	33.18 	31.38 	29.92 	36.35 	38.55 
EUR,PERS,N1-3,OUT,ACC,PL	24.14 	25.37 	19.83 b	35.6 	32.57 
EUR,PERS,N1-3,OUT,ACC,PT	29.93 	26.53 	29.8 	26.98 	28.52 
EUR,PERS,N1-3,OUT,ACC,RO	26.6 	24.94 	27.44 	29.07 	30.72 
EUR,PERS,N1-3,OUT,ACC,SE	51.79 	49.15 	30.04 	: 	: 
EUR,PERS,N1-3,OUT,ACC,SI	16.58 	17.02 	13.45 	13.56 	13.17 
EUR,PERS,N1-3,OUT,ACC,SK	23.37 	22.7 	15.02 	19.55 b	18.54 
EUR,PERS,N1-3,OUT,ACC,UK	: 	: 	: 	70.07 	62.72 
EUR,PERS,N1-3,OUT,DUR,AT	3.45 	4.98 	7.25 	2.52 	0.35 
EUR,PERS,N1-3,OUT,DUR,BE	2.68 	5.54 	6.21 	7.71 	7.17 
EUR,PERS,N1-3,OUT,DUR,BG	0 	0 	0 	0 	0 
EUR,PERS,N1-3,OUT,DUR,CH	3.54 	5.84 	5.35 	: 	: 
EUR,PERS,N1-3,OUT,DUR,CY	0 	0 	0.18 	3.49 	1.6 
EUR,PERS,N1-3,OUT,DUR,CZ	0 	0 	0.1 	0 	1.32 
EUR,PERS,N1-3,OUT,DUR,DE	11.09 	15.73 	5.98 	22.58 	8.17 
EUR,PERS,N1-3,OUT,DUR,DK	21.84 	20.59 	19.13 b	19.15 b	14.9 
EUR,PERS,N1-3,OUT,DUR,EA	: 	: 	3.94 e	11.53 	5.56 
EUR,PERS,N1-3,OUT,DUR,EE	0.6 	2.31 	7.75 	3.38 	6.74 
EUR,PERS,N1-3,OUT,DUR,EL	3.21 	0 	1.13 	0 	24.64 
