unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,DOM,TOTAL,FI	139.74 	142.96 	141.41 	144.94 	147.99 
EUR,PERS,N1-3,DOM,TOTAL,FR	131.59 	129.4 	126.47 	123.05 	122.7 
EUR,PERS,N1-3,DOM,TOTAL,HR	93.5 	82.94 	82.31 	89.1 	78.77 
EUR,PERS,N1-3,DOM,TOTAL,HU	54.27 	50.53 	47.2 	44.14 	41.13 
EUR,PERS,N1-3,DOM,TOTAL,IE	165.63 	162.81 	166.53 	161.7 	159.59 
EUR,PERS,N1-3,DOM,TOTAL,IT	174.51 	169.1 	135.71 b	154.16 	158.79 
EUR,PERS,N1-3,DOM,TOTAL,LT	57.4 	52.06 	45.4 	39.62 	42.34 
EUR,PERS,N1-3,DOM,TOTAL,LU	259.51 u	308.73 u	278.11 	170.25 	95.47 
EUR,PERS,N1-3,DOM,TOTAL,LV	32.1 	34.6 	32.33 	35.83 	30.15 
EUR,PERS,N1-3,DOM,TOTAL,MT	148.69 	135.73 	138.96 b	106.46 	124.33 
EUR,PERS,N1-3,DOM,TOTAL,NL	85.3 	76.65 	71.2 	66.22 	62.65 
EUR,PERS,N1-3,DOM,TOTAL,PL	62.51 	59.53 	51.36 b	107.91 	111.97 
EUR,PERS,N1-3,DOM,TOTAL,PT	60.15 	62.91 	57.55 	42.35 	46.82 
EUR,PERS,N1-3,DOM,TOTAL,RO	73.57 	66.44 	61.61 	57.56 	49.31 
EUR,PERS,N1-3,DOM,TOTAL,SE	123.12 	119.92 	105.73 	: 	: 
EUR,PERS,N1-3,DOM,TOTAL,SI	69.14 	68.32 	67.71 	62.59 	60.74 
EUR,PERS,N1-3,DOM,TOTAL,SK	93.65 	91.32 	97.45 	85.33 b	122.28 
EUR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	161.44 	167.37 
EUR,PERS,N1-3,DOM,TRA,AT	51.45 	56.6 	54.64 	54.55 	47.54 
EUR,PERS,N1-3,DOM,TRA,BE	20.68 	18.65 	24.76 	24.03 	26.74 
EUR,PERS,N1-3,DOM,TRA,BG	19.51 	21.3 	29.83 	24.8 	22.56 
EUR,PERS,N1-3,DOM,TRA,CH	31 	29.63 	33.12 	31.81 	31.68 
EUR,PERS,N1-3,DOM,TRA,CY	13.56 	20.83 	21.79 	21.08 	23.31 
EUR,PERS,N1-3,DOM,TRA,CZ	8.77 	8.79 	8.94 	8.96 	8.62 
EUR,PERS,N1-3,DOM,TRA,DE	53.72 	54.31 	58.7 	60.95 	61.5 
EUR,PERS,N1-3,DOM,TRA,DK	65.79 	55.93 	73.93 b	59.98 b	32.24 
EUR,PERS,N1-3,DOM,TRA,EA	: 	: 	39.05 e	39.47 	39.27 
EUR,PERS,N1-3,DOM,TRA,EE	19.83 	24.57 	21.05 	21.66 	20.35 
EUR,PERS,N1-3,DOM,TRA,EL	43.09 	41.6 	42.89 	42.03 	36.63 
EUR,PERS,N1-3,DOM,TRA,ES	25.74 	28.42 b	20.76 	20.2 	18.16 
EUR,PERS,N1-3,DOM,TRA,EU27	: 	36.51 	36.2 e	38.26 	37.05 
EUR,PERS,N1-3,DOM,TRA,EU28	: 	36.49 	36.15 e	38.21 	37.03 
EUR,PERS,N1-3,DOM,TRA,FI	39.28 	43.02 	44.31 	45.29 	47.58 
EUR,PERS,N1-3,DOM,TRA,FR	39.56 	41.08 	40.83 	40.62 	41.09 
EUR,PERS,N1-3,DOM,TRA,HR	34.6 	32.32 	28.64 	29.96 	33.66 
EUR,PERS,N1-3,DOM,TRA,HU	12.02 	11.61 	12.12 	12.05 	11.37 
EUR,PERS,N1-3,DOM,TRA,IE	26.85 	27.52 	30.49 	30.86 	31.18 
EUR,PERS,N1-3,DOM,TRA,IT	53.4 	50.41 	47.44 b	48.9 	50.48 
EUR,PERS,N1-3,DOM,TRA,LT	16.18 	15.56 	11.81 	9.87 	10.01 
EUR,PERS,N1-3,DOM,TRA,LU	94.49 u	113.49 u	135.23 	62.26 	31.29 
EUR,PERS,N1-3,DOM,TRA,LV	12.35 	13.52 	12.82 	14.6 	12.18 
EUR,PERS,N1-3,DOM,TRA,MT	10.41 	10.26 	10.77 b	9.06 	9 
EUR,PERS,N1-3,DOM,TRA,NL	17.93 	17.72 	19.2 	16.62 	16.48 
EUR,PERS,N1-3,DOM,TRA,PL	16.1 	15.46 	14.25 b	33.42 	34.82 
EUR,PERS,N1-3,DOM,TRA,PT	21.55 	19.32 	21.18 	18.03 	18.58 
EUR,PERS,N1-3,DOM,TRA,RO	26.01 	24.61 	23 	20.89 	12.41 
EUR,PERS,N1-3,DOM,TRA,SE	28.56 	31.61 	29.13 	: 	: 
EUR,PERS,N1-3,DOM,TRA,SI	14.16 	14.27 	14.75 	15.83 	16.44 
EUR,PERS,N1-3,DOM,TRA,SK	16.8 	17.33 	26.5 	17.14 b	30.62 
EUR,PERS,N1-3,DOM,TRA,UK	: 	: 	: 	42.93 	44.94 
EUR,PERS,N1-3,OUT,ACC,AT	130.65 	141.13 	146.05 	145.99 	147.83 
EUR,PERS,N1-3,OUT,ACC,BE	104.09 	90.42 	102.26 	110.17 	110.45 
EUR,PERS,N1-3,OUT,ACC,BG	41.85 	56.08 	44.36 	43.89 	42.02 
EUR,PERS,N1-3,OUT,ACC,CH	136 	121.12 	124.53 	148.27 	114.01 
EUR,PERS,N1-3,OUT,ACC,CY	88.87 	96.56 	94.88 	95.65 	120.63 
EUR,PERS,N1-3,OUT,ACC,CZ	41.57 	35.9 	35.52 	36.8 	32.32 
EUR,PERS,N1-3,OUT,ACC,DE	108.4 	113.41 	110.47 	118.86 	119.61 
EUR,PERS,N1-3,OUT,ACC,DK	112.89 	98.79 	90.7 b	91.34 b	77.66 
EUR,PERS,N1-3,OUT,ACC,EA	: 	: 	93.82 e	100.45 	98.02 
EUR,PERS,N1-3,OUT,ACC,EE	49.07 	44.58 	50.19 	53.39 	51.83 
EUR,PERS,N1-3,OUT,ACC,EL	74.31 	73.3 	77.24 	80.27 	44.99 
EUR,PERS,N1-3,OUT,ACC,ES	94.6 	86.27 b	74.62 	68.9 	54.27 
EUR,PERS,N1-3,OUT,ACC,EU27	: 	90.69 	85.29 e	104.07 	99.25 
EUR,PERS,N1-3,OUT,ACC,EU28	: 	90.02 	84.42 e	102.95 	98.24 
EUR,PERS,N1-3,OUT,ACC,FI	72.98 	73 	73.35 	76.96 	76.87 
EUR,PERS,N1-3,OUT,ACC,FR	98.7 	93.85 	92.66 	85.94 	86.35 
EUR,PERS,N1-3,OUT,ACC,HR	55.56 	48.78 	39.08 	40.59 	45.52 
EUR,PERS,N1-3,OUT,ACC,HU	20.92 	20.52 	23.07 	25.42 	22.22 
